,instance_folder,instance_name,sample,rel_regret,obj,obj_pi,method,time_limit_initial,time_limit_rescheduling,time_limit_pi
0,j30,PSP1,0,0.0,inf,inf,reactive,60,10,60
1,j30,PSP1,1,0.0,inf,inf,reactive,60,10,60
2,j30,PSP1,2,0.0,inf,inf,reactive,60,10,60
3,j30,PSP1,3,0.0,inf,inf,reactive,60,10,60
4,j30,PSP1,4,0.0,inf,inf,reactive,60,10,60
5,j30,PSP1,5,0.0,inf,inf,reactive,60,10,60
6,j30,PSP1,6,0.0,inf,inf,reactive,60,10,60
7,j30,PSP1,7,0.0,inf,inf,reactive,60,10,60
8,j30,PSP1,8,0.0,inf,inf,reactive,60,10,60
9,j30,PSP1,9,0.0,inf,inf,reactive,60,10,60
10,j30,PSP1,10,0.0,inf,inf,reactive,60,10,60
11,j30,PSP1,11,0.0,inf,inf,reactive,60,10,60
12,j30,PSP1,12,0.0,inf,inf,reactive,60,10,60
13,j30,PSP1,13,0.0,inf,inf,reactive,60,10,60
14,j30,PSP1,14,0.0,inf,inf,reactive,60,10,60
15,j30,PSP1,15,0.0,inf,inf,reactive,60,10,60
16,j30,PSP1,16,0.0,inf,inf,reactive,60,10,60
17,j30,PSP1,17,0.0,inf,inf,reactive,60,10,60
18,j30,PSP1,18,0.0,inf,inf,reactive,60,10,60
19,j30,PSP1,19,0.0,inf,inf,reactive,60,10,60
20,j30,PSP1,20,0.0,inf,inf,reactive,60,10,60
21,j30,PSP1,21,0.0,inf,inf,reactive,60,10,60
22,j30,PSP1,22,0.0,inf,inf,reactive,60,10,60
23,j30,PSP1,23,0.0,inf,inf,reactive,60,10,60
24,j30,PSP1,24,0.0,inf,inf,reactive,60,10,60
25,j30,PSP1,25,0.0,inf,inf,reactive,60,10,60
26,j30,PSP1,26,0.0,inf,inf,reactive,60,10,60
27,j30,PSP1,27,0.0,inf,inf,reactive,60,10,60
28,j30,PSP1,28,0.0,inf,inf,reactive,60,10,60
29,j30,PSP1,29,0.0,inf,inf,reactive,60,10,60
30,j30,PSP1,30,0.0,inf,inf,reactive,60,10,60
31,j30,PSP1,31,0.0,inf,inf,reactive,60,10,60
32,j30,PSP1,32,0.0,inf,inf,reactive,60,10,60
33,j30,PSP1,33,0.0,inf,inf,reactive,60,10,60
34,j30,PSP1,34,0.0,inf,inf,reactive,60,10,60
35,j30,PSP1,35,0.0,inf,inf,reactive,60,10,60
36,j30,PSP1,36,0.0,inf,inf,reactive,60,10,60
37,j30,PSP1,37,0.0,inf,inf,reactive,60,10,60
38,j30,PSP1,38,0.0,inf,inf,reactive,60,10,60
39,j30,PSP1,39,0.0,inf,inf,reactive,60,10,60
40,j30,PSP1,40,0.0,inf,inf,reactive,60,10,60
41,j30,PSP1,41,0.0,inf,inf,reactive,60,10,60
42,j30,PSP1,42,0.0,inf,inf,reactive,60,10,60
43,j30,PSP1,43,0.0,inf,inf,reactive,60,10,60
44,j30,PSP1,44,0.0,inf,inf,reactive,60,10,60
45,j30,PSP1,45,0.0,inf,inf,reactive,60,10,60
46,j30,PSP1,46,0.0,inf,inf,reactive,60,10,60
47,j30,PSP1,47,0.0,inf,inf,reactive,60,10,60
48,j30,PSP1,48,0.0,inf,inf,reactive,60,10,60
49,j30,PSP1,49,0.0,inf,inf,reactive,60,10,60
50,j30,PSP2,0,0.0,inf,inf,reactive,60,10,60
51,j30,PSP2,1,0.0,inf,inf,reactive,60,10,60
52,j30,PSP2,2,0.0,inf,inf,reactive,60,10,60
53,j30,PSP2,3,0.0,inf,inf,reactive,60,10,60
54,j30,PSP2,4,0.0,inf,inf,reactive,60,10,60
55,j30,PSP2,5,0.0,inf,inf,reactive,60,10,60
56,j30,PSP2,6,0.0,inf,inf,reactive,60,10,60
57,j30,PSP2,7,0.0,inf,inf,reactive,60,10,60
58,j30,PSP2,8,0.0,inf,inf,reactive,60,10,60
59,j30,PSP2,9,0.0,inf,inf,reactive,60,10,60
60,j30,PSP2,10,0.0,inf,inf,reactive,60,10,60
61,j30,PSP2,11,0.0,inf,inf,reactive,60,10,60
62,j30,PSP2,12,0.0,inf,inf,reactive,60,10,60
63,j30,PSP2,13,0.0,inf,inf,reactive,60,10,60
64,j30,PSP2,14,0.0,inf,inf,reactive,60,10,60
65,j30,PSP2,15,0.0,inf,inf,reactive,60,10,60
66,j30,PSP2,16,0.0,inf,inf,reactive,60,10,60
