,instance_folder,instance_name,sample,rel_regret,obj,obj_pi,method
,instance_folder,instance_name,sample,relative_regret,obj,obj_pi,method
0,j10,PSP1,0,0.0,27.0,27.0,reactive
1,j10,PSP1,1,100.0,inf,26.0,reactive
2,j10,PSP1,2,0.0,26.0,26.0,reactive
3,j10,PSP1,3,0.0,29.0,29.0,reactive
4,j10,PSP1,4,0.0,26.0,26.0,reactive
5,j10,PSP1,5,100.0,inf,26.0,reactive
6,j10,PSP1,6,0.0,27.0,27.0,reactive
7,j10,PSP1,7,3.7037037037037037,28.0,27.0,reactive
8,j10,PSP1,8,0.0,27.0,27.0,reactive
9,j10,PSP1,9,0.0,26.0,26.0,reactive
10,j10,PSP1,10,0.0,26.0,26.0,reactive
11,j10,PSP1,11,0.0,26.0,26.0,reactive
12,j10,PSP1,12,100.0,inf,26.0,reactive
13,j10,PSP1,13,0.0,26.0,26.0,reactive
14,j10,PSP1,14,0.0,26.0,26.0,reactive
15,j10,PSP1,15,0.0,26.0,26.0,reactive
16,j10,PSP1,16,0.0,27.0,27.0,reactive
17,j10,PSP1,17,0.0,28.0,28.0,reactive
18,j10,PSP1,18,0.0,26.0,26.0,reactive
19,j10,PSP1,19,100.0,inf,26.0,reactive
20,j10,PSP1,20,0.0,26.0,26.0,reactive
21,j10,PSP1,21,100.0,inf,26.0,reactive
22,j10,PSP1,22,0.0,26.0,26.0,reactive
23,j10,PSP1,23,0.0,26.0,26.0,reactive
24,j10,PSP1,24,0.0,26.0,26.0,reactive
25,j10,PSP1,25,0.0,26.0,26.0,reactive
26,j10,PSP1,26,0.0,26.0,26.0,reactive
27,j10,PSP1,27,0.0,26.0,26.0,reactive
28,j10,PSP1,28,0.0,26.0,26.0,reactive
29,j10,PSP1,29,0.0,26.0,26.0,reactive
30,j10,PSP1,30,0.0,26.0,26.0,reactive
31,j10,PSP1,31,0.0,26.0,26.0,reactive
32,j10,PSP1,32,0.0,28.0,28.0,reactive
33,j10,PSP1,33,0.0,26.0,26.0,reactive
34,j10,PSP1,34,0.0,26.0,26.0,reactive
35,j10,PSP1,35,0.0,26.0,26.0,reactive
36,j10,PSP1,36,0.0,28.0,28.0,reactive
37,j10,PSP1,37,0.0,26.0,26.0,reactive
38,j10,PSP1,38,0.0,28.0,28.0,reactive
39,j10,PSP1,39,0.0,26.0,26.0,reactive
40,j10,PSP1,40,0.0,26.0,26.0,reactive
41,j10,PSP1,41,0.0,26.0,26.0,reactive
42,j10,PSP1,42,0.0,26.0,26.0,reactive
43,j10,PSP1,43,0.0,26.0,26.0,reactive
44,j10,PSP1,44,100.0,inf,26.0,reactive
45,j10,PSP1,45,0.0,26.0,26.0,reactive
46,j10,PSP1,46,0.0,26.0,26.0,reactive
47,j10,PSP1,47,0.0,26.0,26.0,reactive
48,j10,PSP1,48,0.0,26.0,26.0,reactive
49,j10,PSP1,49,0.0,26.0,26.0,reactive
50,j10,PSP2,0,0.0,inf,inf,reactive
