instance_name,method,test_sample_id,obj,obj_pi,rel_regret
j10_1,STNU,0,26.0,26,0.0
j10_1,STNU,1,26.0,26,0.0
j10_1,STNU,2,26.0,26,0.0
j10_1,STNU,3,26.0,26,0.0
j10_1,STNU,4,26.0,26,0.0
j10_1,STNU,5,27.0,26,3.8461538461538463
j10_1,STNU,6,26.0,26,0.0
j10_1,STNU,7,26.0,26,0.0
j10_1,STNU,8,26.0,26,0.0
j10_1,STNU,9,26.0,26,0.0
j10_1,STNU,10,26.0,26,0.0
j10_1,STNU,11,26.0,26,0.0
j10_1,STNU,12,26.0,26,0.0
j10_1,STNU,13,27.0,27,0.0
j10_1,STNU,14,28.0,28,0.0
j10_1,STNU,15,28.0,28,0.0
j10_1,STNU,16,26.0,26,0.0
j10_1,STNU,17,26.0,26,0.0
j10_1,STNU,18,26.0,26,0.0
j10_1,STNU,19,26.0,26,0.0
j10_1,STNU,20,26.0,26,0.0
j10_1,STNU,21,26.0,26,0.0
j10_1,STNU,22,28.0,28,0.0
j10_1,STNU,23,28.0,27,3.7037037037037037
j10_1,STNU,24,26.0,26,0.0
j10_1,STNU,25,26.0,26,0.0
j10_1,STNU,26,26.0,26,0.0
j10_1,STNU,27,26.0,26,0.0
j10_1,STNU,28,26.0,26,0.0
j10_1,STNU,29,26.0,26,0.0
j10_1,STNU,30,26.0,26,0.0
j10_1,STNU,31,26.0,26,0.0
j10_1,STNU,32,27.0,27,0.0
j10_1,STNU,33,26.0,26,0.0
j10_1,STNU,34,27.0,27,0.0
j10_1,STNU,35,26.0,26,0.0
j10_1,STNU,36,26.0,26,0.0
j10_1,STNU,37,26.0,26,0.0
j10_1,STNU,38,26.0,26,0.0
j10_1,STNU,39,26.0,26,0.0
j10_1,STNU,40,26.0,26,0.0
j10_1,STNU,41,26.0,26,0.0
j10_1,STNU,42,26.0,26,0.0
j10_1,STNU,43,26.0,26,0.0
j10_1,STNU,44,26.0,26,0.0
j10_1,STNU,45,26.0,26,0.0
j10_1,STNU,46,26.0,26,0.0
j10_1,STNU,47,26.0,26,0.0
j10_1,STNU,48,27.0,27,0.0
j10_1,STNU,49,26.0,26,0.0
j10_2,STNU,0,inf,inf,0
j10_2,STNU,1,inf,inf,0
j10_2,STNU,2,inf,inf,0
j10_2,STNU,3,inf,inf,0
j10_2,STNU,4,inf,inf,0
j10_2,STNU,5,inf,inf,0
j10_2,STNU,6,inf,inf,0
j10_2,STNU,7,inf,inf,0
j10_2,STNU,8,inf,inf,0
j10_2,STNU,9,inf,inf,0
j10_2,STNU,10,inf,inf,0
j10_2,STNU,11,inf,inf,0
j10_2,STNU,12,inf,inf,0
j10_2,STNU,13,inf,inf,0
j10_2,STNU,14,inf,inf,0
j10_2,STNU,15,inf,inf,0
j10_2,STNU,16,inf,inf,0
j10_2,STNU,17,inf,inf,0
j10_2,STNU,18,inf,inf,0
j10_2,STNU,19,inf,inf,0
j10_2,STNU,20,inf,inf,0
j10_2,STNU,21,inf,inf,0
j10_2,STNU,22,inf,inf,0
j10_2,STNU,23,inf,inf,0
j10_2,STNU,24,inf,inf,0
j10_2,STNU,25,inf,inf,0
j10_2,STNU,26,inf,inf,0
j10_2,STNU,27,inf,inf,0
j10_2,STNU,28,inf,inf,0
j10_2,STNU,29,inf,inf,0
j10_2,STNU,30,inf,inf,0
j10_2,STNU,31,inf,inf,0
j10_2,STNU,32,inf,inf,0
j10_2,STNU,33,inf,inf,0
j10_2,STNU,34,inf,inf,0
j10_2,STNU,35,inf,inf,0
j10_2,STNU,36,inf,inf,0
j10_2,STNU,37,inf,inf,0
j10_2,STNU,38,inf,inf,0
j10_2,STNU,39,inf,inf,0
j10_2,STNU,40,inf,inf,0
j10_2,STNU,41,inf,inf,0
j10_2,STNU,42,inf,inf,0
j10_2,STNU,43,inf,inf,0
j10_2,STNU,44,inf,inf,0
j10_2,STNU,45,inf,inf,0
j10_2,STNU,46,inf,inf,0
j10_2,STNU,47,inf,inf,0
j10_2,STNU,48,inf,inf,0
j10_2,STNU,49,inf,inf,0
j10_3,STNU,0,inf,36,100
j10_3,STNU,1,inf,37,100
j10_3,STNU,2,inf,37,100
j10_3,STNU,3,inf,35,100
j10_3,STNU,4,inf,34,100
j10_3,STNU,5,inf,39,100
j10_3,STNU,6,inf,37,100
j10_3,STNU,7,inf,34,100
j10_3,STNU,8,inf,38,100
j10_3,STNU,9,inf,33,100
j10_3,STNU,10,inf,34,100
j10_3,STNU,11,inf,36,100
j10_3,STNU,12,inf,35,100
j10_3,STNU,13,inf,34,100
j10_3,STNU,14,inf,36,100
j10_3,STNU,15,inf,38,100
j10_3,STNU,16,inf,38,100
j10_3,STNU,17,inf,34,100
j10_3,STNU,18,inf,34,100
j10_3,STNU,19,inf,34,100
j10_3,STNU,20,inf,35,100
j10_3,STNU,21,inf,35,100
j10_3,STNU,22,inf,35,100
j10_3,STNU,23,inf,34,100
j10_3,STNU,24,inf,34,100
j10_3,STNU,25,inf,37,100
j10_3,STNU,26,inf,35,100
j10_3,STNU,27,inf,35,100
j10_3,STNU,28,inf,38,100
j10_3,STNU,29,inf,33,100
j10_3,STNU,30,inf,37,100
j10_3,STNU,31,inf,38,100
j10_3,STNU,32,inf,34,100
j10_3,STNU,33,inf,33,100
j10_3,STNU,34,inf,36,100
j10_3,STNU,35,inf,33,100
j10_3,STNU,36,inf,33,100
j10_3,STNU,37,inf,34,100
j10_3,STNU,38,inf,38,100
j10_3,STNU,39,inf,33,100
j10_3,STNU,40,inf,37,100
j10_3,STNU,41,inf,35,100
j10_3,STNU,42,inf,37,100
j10_3,STNU,43,inf,33,100
j10_3,STNU,44,inf,34,100
j10_3,STNU,45,inf,33,100
j10_3,STNU,46,inf,39,100
j10_3,STNU,47,inf,37,100
j10_3,STNU,48,inf,36,100
j10_3,STNU,49,inf,34,100
j10_4,STNU,0,inf,37,100
j10_4,STNU,1,inf,41,100
j10_4,STNU,2,inf,35,100
j10_4,STNU,3,inf,33,100
j10_4,STNU,4,inf,35,100
j10_4,STNU,5,inf,34,100
j10_4,STNU,6,inf,34,100
j10_4,STNU,7,inf,40,100
j10_4,STNU,8,inf,34,100
j10_4,STNU,9,inf,34,100
j10_4,STNU,10,inf,39,100
j10_4,STNU,11,inf,38,100
j10_4,STNU,12,inf,39,100
j10_4,STNU,13,inf,35,100
j10_4,STNU,14,inf,36,100
j10_4,STNU,15,inf,34,100
j10_4,STNU,16,inf,36,100
j10_4,STNU,17,inf,36,100
j10_4,STNU,18,inf,36,100
j10_4,STNU,19,inf,37,100
j10_4,STNU,20,inf,35,100
j10_4,STNU,21,inf,36,100
j10_4,STNU,22,inf,37,100
j10_4,STNU,23,inf,36,100
j10_4,STNU,24,inf,36,100
j10_4,STNU,25,inf,39,100
j10_4,STNU,26,inf,36,100
j10_4,STNU,27,inf,40,100
j10_4,STNU,28,inf,37,100
j10_4,STNU,29,inf,40,100
j10_4,STNU,30,inf,38,100
j10_4,STNU,31,inf,37,100
j10_4,STNU,32,inf,34,100
j10_4,STNU,33,inf,37,100
j10_4,STNU,34,inf,43,100
j10_4,STNU,35,inf,32,100
j10_4,STNU,36,inf,32,100
j10_4,STNU,37,inf,36,100
j10_4,STNU,38,inf,34,100
j10_4,STNU,39,inf,34,100
j10_4,STNU,40,inf,38,100
j10_4,STNU,41,inf,32,100
j10_4,STNU,42,inf,34,100
j10_4,STNU,43,inf,36,100
j10_4,STNU,44,inf,38,100
j10_4,STNU,45,inf,36,100
j10_4,STNU,46,inf,33,100
j10_4,STNU,47,inf,36,100
j10_4,STNU,48,inf,36,100
j10_4,STNU,49,inf,35,100
j10_5,STNU,0,inf,27,100
j10_5,STNU,1,inf,32,100
j10_5,STNU,2,inf,29,100
j10_5,STNU,3,inf,28,100
j10_5,STNU,4,inf,35,100
j10_5,STNU,5,inf,32,100
j10_5,STNU,6,inf,29,100
j10_5,STNU,7,inf,31,100
j10_5,STNU,8,inf,29,100
j10_5,STNU,9,inf,24,100
j10_5,STNU,10,inf,32,100
j10_5,STNU,11,inf,30,100
j10_5,STNU,12,inf,31,100
j10_5,STNU,13,inf,29,100
j10_5,STNU,14,inf,30,100
j10_5,STNU,15,inf,30,100
j10_5,STNU,16,inf,28,100
j10_5,STNU,17,inf,33,100
j10_5,STNU,18,inf,30,100
j10_5,STNU,19,inf,33,100
j10_5,STNU,20,inf,29,100
j10_5,STNU,21,inf,29,100
j10_5,STNU,22,inf,32,100
j10_5,STNU,23,inf,31,100
j10_5,STNU,24,inf,35,100
j10_5,STNU,25,inf,28,100
j10_5,STNU,26,inf,34,100
j10_5,STNU,27,inf,31,100
j10_5,STNU,28,inf,28,100
j10_5,STNU,29,inf,29,100
j10_5,STNU,30,inf,30,100
j10_5,STNU,31,inf,29,100
j10_5,STNU,32,inf,30,100
j10_5,STNU,33,inf,28,100
j10_5,STNU,34,inf,29,100
j10_5,STNU,35,inf,30,100
j10_5,STNU,36,inf,30,100
j10_5,STNU,37,inf,32,100
j10_5,STNU,38,inf,33,100
j10_5,STNU,39,inf,31,100
j10_5,STNU,40,inf,25,100
j10_5,STNU,41,inf,31,100
j10_5,STNU,42,inf,33,100
j10_5,STNU,43,inf,30,100
j10_5,STNU,44,inf,29,100
j10_5,STNU,45,inf,30,100
j10_5,STNU,46,inf,31,100
j10_5,STNU,47,inf,30,100
j10_5,STNU,48,inf,31,100
j10_5,STNU,49,inf,30,100
j10_6,STNU,0,inf,35,100
j10_6,STNU,1,inf,inf,0
j10_6,STNU,2,inf,inf,0
j10_6,STNU,3,inf,inf,0
j10_6,STNU,4,inf,inf,0
j10_6,STNU,5,inf,inf,0
j10_6,STNU,6,inf,inf,0
j10_6,STNU,7,inf,inf,0
j10_6,STNU,8,inf,inf,0
j10_6,STNU,9,inf,inf,0
j10_6,STNU,10,inf,inf,0
j10_6,STNU,11,inf,32,100
j10_6,STNU,12,inf,32,100
j10_6,STNU,13,inf,inf,0
j10_6,STNU,14,inf,inf,0
j10_6,STNU,15,inf,inf,0
j10_6,STNU,16,inf,32,100
j10_6,STNU,17,inf,inf,0
j10_6,STNU,18,inf,inf,0
j10_6,STNU,19,inf,inf,0
j10_6,STNU,20,inf,inf,0
j10_6,STNU,21,inf,inf,0
j10_6,STNU,22,inf,33,100
j10_6,STNU,23,inf,inf,0
j10_6,STNU,24,inf,inf,0
j10_6,STNU,25,inf,inf,0
j10_6,STNU,26,inf,inf,0
j10_6,STNU,27,inf,inf,0
j10_6,STNU,28,inf,inf,0
j10_6,STNU,29,inf,inf,0
j10_6,STNU,30,inf,inf,0
j10_6,STNU,31,inf,inf,0
j10_6,STNU,32,inf,inf,0
j10_6,STNU,33,inf,inf,0
j10_6,STNU,34,inf,inf,0
j10_6,STNU,35,inf,inf,0
j10_6,STNU,36,inf,inf,0
j10_6,STNU,37,inf,34,100
j10_6,STNU,38,inf,inf,0
j10_6,STNU,39,inf,inf,0
