instance_name,method,test_sample_id,obj,obj_pi,rel_regret
j10_1,STNU,0,26.0,26.0,0.0
j10_1,STNU,1,26.0,26.0,0.0
j10_1,STNU,2,26.0,26.0,0.0
j10_1,STNU,3,26.0,26.0,0.0
j10_1,STNU,4,26.0,26.0,0.0
j10_2,STNU,0,inf,inf,0.0
j10_2,STNU,1,inf,inf,0.0
j10_2,STNU,2,inf,inf,0.0
j10_2,STNU,3,inf,inf,0.0
j10_2,STNU,4,inf,inf,0.0
j10_3,STNU,0,inf,36.0,100.0
j10_3,STNU,1,inf,37.0,100.0
j10_3,STNU,2,inf,35.0,100.0
j10_3,STNU,3,inf,36.0,100.0
j10_3,STNU,4,inf,37.0,100.0
j10_4,STNU,0,inf,37.0,100.0
j10_4,STNU,1,inf,36.0,100.0
j10_4,STNU,2,inf,34.0,100.0
j10_4,STNU,3,inf,39.0,100.0
j10_4,STNU,4,inf,33.0,100.0
j10_5,STNU,0,inf,32.0,100.0
j10_5,STNU,1,inf,30.0,100.0
j10_5,STNU,2,inf,30.0,100.0
j10_5,STNU,3,inf,26.0,100.0
j10_5,STNU,4,inf,34.0,100.0
j10_6,STNU,0,inf,inf,0.0
j10_6,STNU,1,inf,inf,0.0
j10_6,STNU,2,inf,inf,0.0
j10_6,STNU,3,inf,inf,0.0
j10_6,STNU,4,inf,32.0,100.0
