instance_id,method,real_durations,rel_regret
4,proactive,"[0, 10, 5, 3, 7, 1, 2, 5, 5, 3, 2, 3, 3, 9, 10, 11, 6, 8, 7, 5, 9, 10, 7, 9, 5, 9, 5, 1, 2, 2, 3, 0]",21.875
4,proactive,"[0, 10, 6, 4, 9, 1, 5, 5, 4, 5, 4, 4, 6, 6, 6, 6, 5, 11, 8, 3, 9, 9, 5, 5, 8, 6, 3, 1, 1, 1, 3, 0]",30.337078651685392
4,proactive,"[0, 6, 6, 5, 11, 1, 4, 5, 2, 2, 4, 2, 3, 12, 6, 10, 2, 7, 5, 5, 11, 6, 3, 9, 4, 7, 2, 1, 1, 3, 3, 0]",41.46341463414634
4,proactive,"[0, 6, 8, 4, 11, 1, 3, 3, 2, 5, 6, 4, 4, 8, 10, 8, 6, 12, 6, 6, 10, 8, 4, 5, 8, 8, 5, 1, 1, 3, 5, 0]",31.818181818181817
4,proactive,"[0, 7, 7, 5, 9, 1, 4, 5, 5, 2, 6, 4, 7, 8, 6, 9, 4, 8, 5, 6, 8, 8, 3, 9, 5, 6, 2, 1, 1, 3, 5, 0]",41.46341463414634
4,proactive,"[0, 7, 8, 5, 6, 1, 2, 5, 2, 5, 2, 3, 3, 12, 11, 6, 6, 9, 7, 3, 7, 8, 7, 7, 4, 6, 3, 1, 2, 2, 5, 0]",40.963855421686745
11,proactive,"[0, 4, 8, 7, 6, 7, 5, 3, 1, 1, 7, 7, 1, 6, 9, 9, 1, 2, 6, 2, 5, 1, 4, 6, 1, 2, 2, 2, 2, 1, 7, 0]",0.0
11,proactive,"[0, 4, 9, 11, 2, 7, 5, 5, 1, 1, 5, 7, 1, 6, 9, 7, 1, 2, 6, 2, 5, 3, 4, 7, 1, 3, 5, 1, 2, 1, 7, 0]",0.0
11,proactive,"[0, 4, 9, 6, 6, 6, 7, 3, 1, 1, 6, 8, 1, 5, 6, 7, 1, 2, 7, 1, 4, 2, 2, 6, 1, 2, 2, 2, 2, 1, 6, 0]",0.0
11,proactive,"[0, 5, 7, 8, 3, 12, 5, 4, 1, 1, 3, 8, 1, 7, 6, 11, 1, 2, 7, 2, 8, 3, 4, 6, 1, 3, 3, 1, 1, 3, 4, 0]",0.0
11,proactive,"[0, 5, 8, 10, 3, 6, 8, 5, 1, 1, 3, 5, 1, 4, 9, 9, 1, 3, 4, 1, 7, 2, 3, 7, 1, 2, 2, 2, 1, 1, 7, 0]",0.0
11,proactive,"[0, 6, 7, 6, 6, 8, 9, 3, 1, 1, 7, 7, 1, 4, 6, 8, 1, 1, 4, 2, 5, 2, 3, 5, 1, 1, 5, 2, 1, 3, 6, 0]",0.0
