instance_folder,instance_id,obj,method,time_limit_rescheduling,time_limit_initial,solver_calls,feasibility,real_durations,estimated_start_times,start_times,time_offline,time_online,mode,estimated_durations
j10,1,inf,reactive_mean,2,30,1,False,"[0, 2, 9, 1, 1, 2, 5, 11, 2, 3, 1, 0]","[0, 3, 0, 0, 0, 7, 20, 10, 24, 12, 5, 26]",,inf,inf,mean,"[0, 2, 9, 1, 1, 2, 5, 11, 2, 3, 1, 0]"
j10,1,26.0,reactive_mean,2,30,1,True,"[0, 1, 7, 1, 2, 1, 3, 8, 1, 5, 1, 0]","[0, 3, 0, 0, 0, 7, 20, 10, 24, 12, 5, 26]","[0, 3, 0, 0, 0, 7, 20, 10, 24, 12, 5, 26]",0.04767775535583496,0.4127681255340576,mean,"[0, 1, 7, 1, 2, 1, 3, 8, 1, 5, 1, 0]"
j10,1,26.0,reactive_mean,2,30,1,True,"[0, 1, 9, 1, 3, 1, 4, 10, 2, 4, 1, 0]","[0, 3, 0, 0, 0, 7, 20, 10, 24, 12, 5, 26]","[0, 3, 0, 0, 0, 7, 20, 10, 24, 12, 5, 26]",0.04839205741882324,0.2740490436553955,mean,"[0, 1, 9, 1, 3, 1, 4, 10, 2, 4, 1, 0]"
j10,1,inf,reactive_mean,2,30,1,False,"[0, 2, 12, 1, 3, 2, 3, 7, 2, 4, 1, 0]","[0, 3, 0, 0, 0, 7, 20, 10, 24, 12, 5, 26]",,inf,inf,mean,"[0, 2, 12, 1, 3, 2, 5, 10, 2, 6, 1, 0]"
j10,1,inf,reactive_mean,2,30,1,False,"[0, 2, 6, 1, 2, 1, 2, 11, 2, 5, 1, 0]","[0, 3, 0, 0, 0, 7, 20, 10, 24, 12, 5, 26]",,inf,inf,mean,"[0, 2, 6, 1, 2, 1, 5, 11, 2, 5, 1, 0]"
j10,1,26.0,reactive_mean,2,30,1,True,"[0, 2, 6, 3, 3, 2, 3, 7, 2, 7, 1, 0]","[0, 3, 0, 0, 0, 7, 20, 10, 24, 12, 5, 26]","[0, 3, 0, 0, 0, 7, 20, 10, 24, 12, 5, 26]",0.045554161071777344,0.2698361873626709,mean,"[0, 2, 6, 3, 3, 2, 3, 7, 2, 7, 1, 0]"
j10,1,inf,reactive_mean,2,30,1,False,"[0, 1, 7, 1, 3, 1, 2, 11, 2, 4, 1, 0]","[0, 3, 0, 0, 0, 7, 20, 10, 24, 12, 5, 26]",,inf,inf,mean,"[0, 1, 7, 1, 3, 1, 5, 11, 2, 4, 1, 0]"
j10,1,26.0,reactive_mean,2,30,1,True,"[0, 3, 6, 1, 2, 3, 4, 7, 1, 4, 1, 0]","[0, 3, 0, 0, 0, 7, 20, 10, 24, 12, 5, 26]","[0, 3, 0, 0, 0, 7, 20, 10, 24, 12, 5, 26]",0.04661917686462402,0.3327372074127197,mean,"[0, 3, 6, 1, 2, 3, 4, 7, 1, 4, 1, 0]"
j10,1,inf,reactive_mean,2,30,1,False,"[0, 3, 11, 1, 2, 2, 5, 12, 1, 3, 1, 0]","[0, 3, 0, 0, 0, 7, 20, 10, 24, 12, 5, 26]",,inf,inf,mean,"[0, 3, 11, 1, 2, 2, 5, 10, 2, 6, 1, 0]"
j10,1,26.0,reactive_mean,2,30,1,True,"[0, 3, 8, 2, 1, 3, 2, 6, 2, 4, 1, 0]","[0, 3, 0, 0, 0, 7, 20, 10, 24, 12, 5, 26]","[0, 3, 0, 0, 0, 7, 16, 10, 24, 12, 5, 26]",0.04598402976989746,0.2721748352050781,mean,"[0, 3, 8, 2, 1, 3, 2, 6, 2, 4, 1, 0]"
