instance_folder,instance_id,obj,method,time_limit_rescheduling,time_limit_initial,solver_calls,feasibility,real_durations,estimated_start_times,start_times,time_offline,time_online,mode,estimated_durations
j10,1,31.0,reactive_robust,2,30,1,True,"[0, 2, 9, 1, 1, 2, 5, 11, 2, 3, 1, 0]","[0, 4, 0, 0, 0, 7, 26, 13, 26, 13, 6, 31]","[0, 4, 0, 0, 0, 7, 26, 13, 26, 13, 6, 31]",0.19401884078979492,0.46146607398986816,robust,"[0, 2, 9, 1, 1, 2, 5, 11, 2, 3, 1, 0]"
j10,1,26.0,reactive_robust,2,30,1,True,"[0, 1, 7, 1, 2, 1, 3, 8, 1, 5, 1, 0]","[0, 4, 0, 0, 0, 7, 26, 13, 26, 13, 6, 31]","[0, 4, 0, 0, 0, 7, 8, 13, 24, 13, 6, 26]",0.048564910888671875,0.4845261573791504,robust,"[0, 1, 7, 1, 2, 1, 3, 8, 1, 5, 1, 0]"
j10,1,31.0,reactive_robust,2,30,1,True,"[0, 1, 9, 1, 3, 1, 4, 10, 2, 4, 1, 0]","[0, 4, 0, 0, 0, 7, 26, 13, 26, 13, 6, 31]","[0, 4, 0, 0, 0, 7, 26, 13, 26, 13, 6, 31]",0.04589104652404785,0.4617881774902344,robust,"[0, 1, 9, 1, 3, 1, 4, 10, 2, 4, 1, 0]"
j10,1,26.0,reactive_robust,2,30,1,True,"[0, 2, 12, 1, 3, 2, 3, 7, 2, 4, 1, 0]","[0, 4, 0, 0, 0, 7, 26, 13, 26, 13, 6, 31]","[0, 4, 0, 0, 0, 7, 20, 13, 24, 13, 6, 26]",0.0450901985168457,0.4876370429992676,robust,"[0, 2, 12, 1, 3, 2, 3, 7, 2, 4, 1, 0]"
j10,1,26.0,reactive_robust,2,30,1,True,"[0, 2, 6, 1, 2, 1, 2, 11, 2, 5, 1, 0]","[0, 4, 0, 0, 0, 7, 26, 13, 26, 13, 6, 31]","[0, 4, 0, 0, 0, 7, 8, 13, 24, 13, 6, 26]",0.04551076889038086,0.4628720283508301,robust,"[0, 2, 6, 1, 2, 1, 2, 11, 2, 5, 1, 0]"
j10,1,26.0,reactive_robust,2,30,1,True,"[0, 2, 6, 3, 3, 2, 3, 7, 2, 7, 1, 0]","[0, 4, 0, 0, 0, 7, 26, 13, 26, 13, 6, 31]","[0, 4, 0, 0, 0, 7, 9, 13, 24, 13, 6, 26]",0.04705309867858887,0.47334790229797363,robust,"[0, 2, 6, 3, 3, 2, 3, 7, 2, 7, 1, 0]"
j10,1,26.0,reactive_robust,2,30,1,True,"[0, 1, 7, 1, 3, 1, 2, 11, 2, 4, 1, 0]","[0, 4, 0, 0, 0, 7, 26, 13, 26, 13, 6, 31]","[0, 4, 0, 0, 0, 7, 8, 13, 24, 13, 6, 26]",0.046981096267700195,0.4896199703216553,robust,"[0, 1, 7, 1, 3, 1, 2, 11, 2, 4, 1, 0]"
j10,1,26.0,reactive_robust,2,30,1,True,"[0, 3, 6, 1, 2, 3, 4, 7, 1, 4, 1, 0]","[0, 4, 0, 0, 0, 7, 26, 13, 26, 13, 6, 31]","[0, 4, 0, 0, 0, 7, 20, 13, 24, 13, 6, 26]",0.046601057052612305,0.4569699764251709,robust,"[0, 3, 6, 1, 2, 3, 4, 7, 1, 4, 1, 0]"
j10,1,31.0,reactive_robust,2,30,1,True,"[0, 3, 11, 1, 2, 2, 5, 12, 1, 3, 1, 0]","[0, 4, 0, 0, 0, 7, 26, 13, 26, 13, 6, 31]","[0, 4, 0, 0, 0, 7, 26, 13, 26, 13, 6, 31]",0.04594898223876953,0.46004390716552734,robust,"[0, 3, 11, 1, 2, 2, 5, 12, 1, 3, 1, 0]"
j10,1,26.0,reactive_robust,2,30,1,True,"[0, 3, 8, 2, 1, 3, 2, 6, 2, 4, 1, 0]","[0, 4, 0, 0, 0, 7, 26, 13, 26, 13, 6, 31]","[0, 4, 0, 0, 0, 7, 10, 13, 24, 13, 6, 26]",0.04747200012207031,0.4563140869140625,robust,"[0, 3, 8, 2, 1, 3, 2, 6, 2, 4, 1, 0]"
j10,3,38.0,reactive_robust,2,30,1,True,"[0, 1, 7, 1, 6, 4, 2, 2, 2, 7, 7, 0]","[0, 9, 0, 18, 24, 11, 20, 21, 32, 28, 24, 38]","[0, 9, 0, 18, 24, 11, 20, 21, 32, 28, 24, 38]",0.0496981143951416,0.46202921867370605,robust,"[0, 1, 7, 1, 6, 4, 2, 2, 2, 7, 7, 0]"
j10,3,38.0,reactive_robust,2,30,1,True,"[0, 1, 8, 3, 7, 5, 1, 4, 6, 9, 7, 0]","[0, 9, 0, 18, 24, 11, 20, 21, 32, 28, 24, 38]","[0, 9, 0, 18, 24, 11, 20, 21, 32, 28, 24, 38]",0.04759812355041504,0.4524059295654297,robust,"[0, 1, 8, 3, 7, 5, 1, 4, 6, 9, 7, 0]"
j10,3,40.0,reactive_robust,2,30,1,True,"[0, 1, 6, 1, 11, 5, 1, 3, 3, 12, 3, 0]","[0, 9, 0, 18, 24, 11, 20, 21, 32, 28, 24, 38]","[0, 9, 0, 18, 24, 11, 20, 21, 32, 28, 24, 38]",0.047677040100097656,0.40810227394104004,robust,"[0, 1, 6, 1, 11, 5, 1, 3, 3, 13, 3, 0]"
j10,3,38.0,reactive_robust,2,30,1,True,"[0, 1, 5, 2, 11, 4, 2, 2, 6, 7, 3, 0]","[0, 9, 0, 18, 24, 11, 20, 21, 32, 28, 24, 38]","[0, 9, 0, 18, 24, 11, 20, 21, 32, 28, 24, 38]",0.047373056411743164,0.45333027839660645,robust,"[0, 1, 5, 2, 11, 4, 2, 2, 6, 7, 3, 0]"
j10,3,40.0,reactive_robust,2,30,1,True,"[0, 1, 4, 2, 9, 5, 2, 2, 5, 12, 4, 0]","[0, 9, 0, 18, 24, 11, 20, 21, 32, 28, 24, 38]","[0, 9, 0, 18, 24, 11, 20, 21, 32, 28, 24, 38]",0.0475771427154541,0.4071829319000244,robust,"[0, 1, 4, 2, 9, 5, 2, 2, 5, 13, 4, 0]"
j10,3,38.0,reactive_robust,2,30,1,True,"[0, 1, 5, 1, 6, 4, 1, 4, 6, 6, 6, 0]","[0, 9, 0, 18, 24, 11, 20, 21, 32, 28, 24, 38]","[0, 9, 0, 18, 24, 11, 20, 21, 32, 28, 24, 38]",0.048506975173950195,0.45090818405151367,robust,"[0, 1, 5, 1, 6, 4, 1, 4, 6, 6, 6, 0]"
