instance_folder,instance_id,obj,method,time_limit_rescheduling,time_limit_initial,solver_calls,feasibility,real_durations,start_times,time_offline,time_online,mode
j20,1,inf,reactive_quantile_0.9,2,30,1,False,"[0, 7, 1, 6, 2, 2, 1, 6, 2, 9, 2, 2, 10, 1, 4, 1, 3, 1, 6, 6, 5, 0]",,0.04814791679382324,1.5020370483398438e-05,quantile_0.9
j20,1,inf,reactive_quantile_0.9,2,30,1,False,"[0, 8, 2, 6, 1, 2, 3, 7, 1, 8, 1, 2, 7, 1, 4, 1, 1, 1, 5, 5, 2, 0]",,0.049247026443481445,1.4781951904296875e-05,quantile_0.9
j20,1,inf,reactive_quantile_0.9,2,30,1,False,"[0, 6, 1, 6, 2, 2, 3, 6, 1, 6, 2, 3, 8, 1, 4, 1, 1, 3, 5, 5, 5, 0]",,0.04792904853820801,1.621246337890625e-05,quantile_0.9
j20,1,inf,reactive_quantile_0.9,2,30,1,False,"[0, 8, 2, 7, 3, 1, 1, 8, 1, 6, 2, 1, 8, 1, 3, 1, 1, 2, 5, 5, 2, 0]",,0.04913687705993652,2.002716064453125e-05,quantile_0.9
j20,1,inf,reactive_quantile_0.9,2,30,1,False,"[0, 4, 2, 11, 3, 1, 2, 8, 1, 8, 2, 2, 6, 1, 6, 1, 1, 1, 8, 6, 3, 0]",,0.047345876693725586,1.5020370483398438e-05,quantile_0.9
j20,1,inf,reactive_quantile_0.9,2,30,1,False,"[0, 4, 1, 8, 1, 2, 3, 10, 2, 6, 1, 3, 10, 1, 7, 1, 1, 1, 5, 6, 3, 0]",,0.04608011245727539,1.5735626220703125e-05,quantile_0.9
j20,1,inf,reactive_quantile_0.9,2,30,1,False,"[0, 4, 2, 9, 2, 2, 3, 11, 1, 9, 2, 3, 11, 1, 3, 1, 1, 2, 6, 6, 3, 0]",,0.04641580581665039,1.6927719116210938e-05,quantile_0.9
j20,3,inf,reactive_quantile_0.9,2,30,1,False,"[0, 6, 8, 4, 5, 5, 9, 1, 3, 8, 1, 6, 8, 5, 11, 6, 4, 8, 4, 10, 3, 0]",,0.05237984657287598,1.71661376953125e-05,quantile_0.9
j20,3,inf,reactive_quantile_0.9,2,30,1,False,"[0, 7, 5, 7, 6, 2, 7, 1, 3, 6, 1, 6, 8, 9, 6, 7, 4, 10, 5, 6, 4, 0]",,0.04925370216369629,1.621246337890625e-05,quantile_0.9
j20,3,inf,reactive_quantile_0.9,2,30,1,False,"[0, 11, 9, 5, 4, 2, 6, 2, 2, 6, 2, 5, 5, 9, 10, 6, 3, 9, 4, 9, 3, 0]",,0.05036330223083496,1.5735626220703125e-05,quantile_0.9
j20,3,inf,reactive_quantile_0.9,2,30,1,False,"[0, 8, 9, 3, 4, 5, 6, 2, 2, 5, 1, 6, 7, 9, 8, 3, 6, 9, 5, 8, 2, 0]",,0.04863595962524414,1.621246337890625e-05,quantile_0.9
j20,4,inf,reactive_quantile_0.9,2,30,1,False,"[0, 1, 3, 4, 5, 2, 1, 2, 1, 7, 2, 1, 2, 6, 2, 1, 1, 8, 4, 2, 9, 0]",,0.04692196846008301,1.7881393432617188e-05,quantile_0.9
j20,4,inf,reactive_quantile_0.9,2,30,1,False,"[0, 1, 3, 4, 7, 1, 1, 2, 2, 9, 6, 3, 1, 3, 2, 1, 1, 9, 4, 4, 6, 0]",,0.046109914779663086,1.71661376953125e-05,quantile_0.9
j20,4,inf,reactive_quantile_0.9,2,30,1,False,"[0, 1, 3, 6, 4, 1, 1, 4, 1, 7, 5, 1, 1, 3, 1, 1, 1, 7, 4, 3, 9, 0]",,0.04677104949951172,1.5020370483398438e-05,quantile_0.9
j20,4,inf,reactive_quantile_0.9,2,30,1,False,"[0, 1, 2, 3, 8, 2, 1, 4, 1, 10, 5, 2, 2, 3, 2, 1, 1, 10, 6, 2, 10, 0]",,0.047840118408203125,1.71661376953125e-05,quantile_0.9
j20,4,inf,reactive_quantile_0.9,2,30,1,False,"[0, 1, 3, 5, 6, 2, 1, 5, 1, 11, 3, 3, 1, 3, 1, 1, 1, 11, 4, 4, 7, 0]",,0.046514034271240234,1.4066696166992188e-05,quantile_0.9
j20,7,68.0,reactive_quantile_0.9,2,30,16,True,"[0, 8, 1, 6, 2, 4, 2, 6, 1, 6, 10, 2, 6, 3, 1, 10, 5, 7, 2, 2, 7, 0]","[0, 0, 14, 0, 25, 18, 42, 12, 12, 42, 9, 58, 27, 12, 35, 21, 62, 42, 61, 51, 33, 68]",0.05981922149658203,0.8657739162445068,quantile_0.9
j20,7,68.0,reactive_quantile_0.9,2,30,13,True,"[0, 9, 2, 12, 1, 7, 2, 7, 2, 5, 12, 2, 3, 3, 2, 11, 4, 4, 1, 2, 6, 0]","[0, 0, 14, 0, 25, 18, 42, 12, 12, 42, 9, 58, 27, 12, 35, 21, 62, 42, 61, 51, 33, 68]",0.055090904235839844,0.6931283473968506,quantile_0.9
j20,7,68.0,reactive_quantile_0.9,2,30,16,True,"[0, 5, 1, 11, 2, 5, 2, 6, 1, 8, 12, 2, 3, 3, 2, 10, 3, 4, 2, 2, 7, 0]","[0, 0, 14, 0, 25, 18, 42, 12, 12, 42, 9, 58, 27, 12, 35, 21, 62, 42, 61, 51, 33, 68]",0.059992074966430664,0.8141498565673828,quantile_0.9
j20,7,68.0,reactive_quantile_0.9,2,30,14,True,"[0, 9, 1, 11, 2, 4, 3, 6, 1, 6, 8, 2, 4, 3, 1, 12, 4, 6, 2, 4, 9, 0]","[0, 0, 14, 0, 25, 18, 42, 12, 12, 42, 9, 58, 27, 12, 35, 21, 62, 42, 61, 51, 33, 68]",0.05725812911987305,0.6796329021453857,quantile_0.9
j20,7,68.0,reactive_quantile_0.9,2,30,18,True,"[0, 8, 2, 7, 2, 3, 1, 8, 1, 6, 9, 1, 4, 2, 1, 7, 4, 6, 1, 2, 9, 0]","[0, 0, 14, 0, 25, 18, 42, 12, 12, 42, 9, 58, 27, 12, 35, 21, 62, 42, 61, 51, 33, 68]",0.05660200119018555,0.8792331218719482,quantile_0.9
j20,7,69.0,reactive_quantile_0.9,2,30,14,True,"[0, 7, 1, 9, 2, 6, 2, 6, 2, 9, 9, 1, 6, 6, 2, 6, 7, 5, 1, 3, 7, 0]","[0, 0, 14, 0, 25, 18, 42, 12, 12, 42, 9, 58, 27, 12, 35, 21, 62, 42, 61, 51, 33, 68]",0.05829191207885742,0.6654903888702393,quantile_0.9
j20,7,68.0,reactive_quantile_0.9,2,30,16,True,"[0, 9, 2, 7, 1, 5, 1, 10, 1, 9, 7, 1, 6, 3, 1, 8, 6, 4, 1, 2, 9, 0]","[0, 0, 14, 0, 25, 18, 42, 12, 12, 42, 9, 58, 27, 12, 35, 21, 62, 42, 61, 51, 33, 68]",0.05438709259033203,0.8570408821105957,quantile_0.9
j20,7,68.0,reactive_quantile_0.9,2,30,14,True,"[0, 7, 1, 12, 1, 4, 3, 8, 2, 5, 12, 2, 3, 4, 1, 12, 3, 4, 1, 3, 9, 0]","[0, 0, 14, 0, 25, 18, 42, 12, 12, 42, 9, 58, 27, 12, 35, 21, 62, 42, 61, 51, 33, 68]",0.0555269718170166,0.6648430824279785,quantile_0.9
j20,7,68.0,reactive_quantile_0.9,2,30,14,True,"[0, 7, 1, 11, 1, 4, 2, 6, 2, 8, 7, 2, 6, 6, 2, 12, 3, 6, 2, 2, 8, 0]","[0, 0, 14, 0, 25, 18, 42, 12, 12, 42, 9, 58, 27, 12, 35, 21, 62, 42, 61, 51, 33, 68]",0.05404496192932129,0.6968441009521484,quantile_0.9
j20,7,68.0,reactive_quantile_0.9,2,30,16,True,"[0, 6, 1, 11, 2, 7, 2, 6, 2, 5, 11, 2, 3, 3, 2, 11, 3, 3, 1, 4, 8, 0]","[0, 0, 14, 0, 25, 18, 42, 12, 12, 42, 9, 58, 27, 12, 35, 21, 62, 42, 61, 51, 33, 68]",0.06037306785583496,0.8092300891876221,quantile_0.9
j20,8,80.0,reactive_quantile_0.9,2,30,15,True,"[0, 8, 9, 6, 2, 1, 3, 7, 4, 6, 7, 10, 9, 12, 7, 4, 2, 5, 2, 1, 1, 0]","[0, 0, 9, 9, 12, 0, 29, 1, 0, 46, 0, 34, 20, 67, 71, 47, 40, 57, 64, 46, 64, 80]",0.11724591255187988,0.9797189235687256,quantile_0.9
j20,8,82.0,reactive_quantile_0.9,2,30,14,True,"[0, 7, 9, 11, 1, 1, 4, 8, 5, 7, 12, 6, 6, 7, 11, 3, 3, 3, 2, 1, 2, 0]","[0, 0, 9, 9, 12, 0, 29, 1, 0, 46, 0, 34, 20, 67, 71, 47, 40, 57, 64, 46, 64, 80]",0.1164848804473877,0.9154191017150879,quantile_0.9
j20,8,80.0,reactive_quantile_0.9,2,30,13,True,"[0, 5, 5, 11, 2, 1, 5, 6, 5, 6, 12, 9, 6, 7, 9, 6, 2, 4, 5, 1, 1, 0]","[0, 0, 9, 9, 12, 0, 29, 1, 0, 46, 0, 34, 20, 67, 71, 47, 40, 57, 64, 46, 64, 80]",0.11870408058166504,0.9066870212554932,quantile_0.9
j20,8,80.0,reactive_quantile_0.9,2,30,14,True,"[0, 7, 9, 6, 2, 1, 5, 5, 6, 6, 10, 7, 7, 8, 7, 2, 4, 4, 5, 1, 3, 0]","[0, 0, 9, 9, 12, 0, 29, 1, 0, 46, 0, 34, 20, 67, 71, 47, 40, 57, 64, 46, 64, 80]",0.1250760555267334,1.0845539569854736,quantile_0.9
j20,8,80.0,reactive_quantile_0.9,2,30,15,True,"[0, 9, 8, 11, 2, 1, 5, 4, 4, 8, 8, 7, 8, 10, 8, 2, 2, 4, 3, 1, 2, 0]","[0, 0, 9, 9, 12, 0, 29, 1, 0, 46, 0, 34, 20, 67, 71, 47, 40, 57, 64, 46, 64, 80]",0.1174628734588623,0.9404349327087402,quantile_0.9
j20,8,80.0,reactive_quantile_0.9,2,30,16,True,"[0, 8, 5, 6, 2, 1, 3, 8, 6, 10, 9, 11, 8, 11, 6, 5, 2, 6, 2, 1, 3, 0]","[0, 0, 9, 9, 12, 0, 29, 1, 0, 46, 0, 34, 20, 67, 71, 47, 40, 57, 64, 46, 64, 80]",0.11573362350463867,1.07078218460083,quantile_0.9
j20,8,80.0,reactive_quantile_0.9,2,30,15,True,"[0, 9, 9, 7, 1, 1, 2, 6, 4, 11, 8, 10, 6, 7, 6, 4, 2, 7, 2, 1, 1, 0]","[0, 0, 9, 9, 12, 0, 29, 1, 0, 46, 0, 34, 20, 67, 71, 47, 40, 57, 64, 46, 64, 80]",0.11679577827453613,1.016921043395996,quantile_0.9
j20,8,80.0,reactive_quantile_0.9,2,30,17,True,"[0, 6, 9, 7, 1, 1, 4, 7, 5, 8, 10, 10, 7, 8, 6, 3, 4, 5, 5, 1, 1, 0]","[0, 0, 9, 9, 12, 0, 29, 1, 0, 46, 0, 34, 20, 67, 71, 47, 40, 57, 64, 46, 64, 80]",0.11545801162719727,1.1004369258880615,quantile_0.9
j20,8,82.0,reactive_quantile_0.9,2,30,18,True,"[0, 6, 7, 10, 1, 1, 2, 5, 6, 7, 11, 10, 7, 6, 11, 2, 3, 3, 3, 1, 2, 0]","[0, 0, 9, 9, 12, 0, 29, 1, 0, 46, 0, 34, 20, 67, 71, 47, 40, 57, 64, 46, 64, 80]",0.1152801513671875,1.2481250762939453,quantile_0.9
j20,8,82.0,reactive_quantile_0.9,2,30,15,True,"[0, 6, 9, 10, 2, 1, 4, 4, 7, 6, 9, 7, 7, 11, 11, 6, 3, 3, 3, 1, 1, 0]","[0, 0, 9, 9, 12, 0, 29, 1, 0, 46, 0, 34, 20, 67, 71, 47, 40, 57, 64, 46, 64, 80]",0.11747097969055176,1.0019938945770264,quantile_0.9
j20,9,inf,reactive_quantile_0.9,2,30,1,False,"[0, 4, 1, 10, 11, 6, 2, 6, 2, 12, 6, 3, 6, 3, 3, 2, 8, 7, 4, 3, 2, 0]",,0.04834890365600586,1.7881393432617188e-05,quantile_0.9
j20,9,inf,reactive_quantile_0.9,2,30,1,False,"[0, 3, 1, 9, 7, 6, 5, 5, 1, 7, 8, 4, 6, 2, 3, 5, 8, 9, 5, 6, 3, 0]",,0.048764944076538086,1.7881393432617188e-05,quantile_0.9
j20,9,inf,reactive_quantile_0.9,2,30,1,False,"[0, 4, 1, 12, 6, 5, 4, 7, 1, 12, 11, 3, 7, 6, 2, 4, 5, 8, 5, 7, 3, 0]",,0.04948925971984863,2.002716064453125e-05,quantile_0.9
j20,9,inf,reactive_quantile_0.9,2,30,1,False,"[0, 2, 1, 11, 6, 5, 3, 5, 2, 9, 7, 3, 9, 6, 5, 4, 4, 9, 4, 6, 2, 0]",,0.049575090408325195,1.6927719116210938e-05,quantile_0.9
j20,10,inf,reactive_quantile_0.9,2,30,1,False,"[0, 3, 6, 3, 3, 5, 2, 1, 1, 3, 1, 3, 8, 2, 6, 2, 7, 5, 2, 4, 1, 0]",,0.05248618125915527,1.5020370483398438e-05,quantile_0.9
j20,10,inf,reactive_quantile_0.9,2,30,1,False,"[0, 3, 7, 4, 4, 4, 2, 1, 1, 5, 1, 3, 5, 1, 8, 4, 4, 3, 1, 5, 2, 0]",,0.04916501045227051,1.5020370483398438e-05,quantile_0.9
j20,11,inf,reactive_quantile_0.9,2,30,1,False,"[0, 1, 2, 9, 9, 6, 6, 2, 8, 2, 5, 2, 3, 2, 3, 4, 4, 6, 2, 10, 6, 0]",,0.0483860969543457,1.4781951904296875e-05,quantile_0.9
j20,11,inf,reactive_quantile_0.9,2,30,1,False,"[0, 1, 2, 6, 8, 6, 3, 1, 9, 4, 3, 2, 3, 5, 6, 3, 4, 8, 2, 8, 9, 0]",,0.04804182052612305,1.71661376953125e-05,quantile_0.9
j20,11,inf,reactive_quantile_0.9,2,30,1,False,"[0, 1, 2, 11, 8, 5, 4, 2, 6, 2, 3, 3, 4, 3, 2, 4, 6, 9, 5, 11, 6, 0]",,0.04845094680786133,1.5020370483398438e-05,quantile_0.9
j20,11,inf,reactive_quantile_0.9,2,30,1,False,"[0, 1, 4, 6, 7, 8, 3, 2, 7, 2, 4, 1, 6, 2, 6, 4, 7, 6, 2, 8, 8, 0]",,0.04945111274719238,3.0994415283203125e-05,quantile_0.9
j20,11,inf,reactive_quantile_0.9,2,30,1,False,"[0, 1, 3, 8, 9, 8, 4, 1, 6, 3, 4, 3, 4, 2, 3, 5, 7, 5, 4, 11, 6, 0]",,0.04828190803527832,1.5020370483398438e-05,quantile_0.9
j20,11,inf,reactive_quantile_0.9,2,30,1,False,"[0, 1, 4, 7, 9, 6, 2, 2, 11, 2, 3, 2, 2, 3, 5, 4, 4, 9, 2, 9, 5, 0]",,0.04810810089111328,1.5974044799804688e-05,quantile_0.9
j20,11,inf,reactive_quantile_0.9,2,30,1,False,"[0, 1, 5, 6, 8, 5, 4, 2, 11, 3, 2, 2, 2, 2, 5, 4, 4, 5, 4, 11, 5, 0]",,0.047775983810424805,1.5020370483398438e-05,quantile_0.9
