instance_folder,instance_id,method,time_limit_cp_stnu,can_build_stnu,dc,obj,feasibility,real_durations,start_times,time_offline,time_online,mode
j20,1,STNU_robust,30,,False,inf,False,"[0, 7, 1, 6, 2, 2, 1, 6, 2, 9, 2, 2, 10, 1, 4, 1, 3, 1, 6, 6, 5, 0]",,inf,inf,robust
j20,1,STNU_robust,30,,False,inf,False,"[0, 8, 2, 6, 1, 2, 3, 7, 1, 8, 1, 2, 7, 1, 4, 1, 1, 1, 5, 5, 2, 0]",,inf,inf,robust
j20,1,STNU_robust,30,,False,inf,False,"[0, 6, 1, 6, 2, 2, 3, 6, 1, 6, 2, 3, 8, 1, 4, 1, 1, 3, 5, 5, 5, 0]",,inf,inf,robust
j20,1,STNU_robust,30,,False,inf,False,"[0, 8, 2, 7, 3, 1, 1, 8, 1, 6, 2, 1, 8, 1, 3, 1, 1, 2, 5, 5, 2, 0]",,inf,inf,robust
j20,1,STNU_robust,30,,False,inf,False,"[0, 4, 2, 11, 3, 1, 2, 8, 1, 8, 2, 2, 6, 1, 6, 1, 1, 1, 8, 6, 3, 0]",,inf,inf,robust
j20,1,STNU_robust,30,,False,inf,False,"[0, 4, 1, 8, 1, 2, 3, 10, 2, 6, 1, 3, 10, 1, 7, 1, 1, 1, 5, 6, 3, 0]",,inf,inf,robust
j20,1,STNU_robust,30,,False,inf,False,"[0, 4, 2, 9, 2, 2, 3, 11, 1, 9, 2, 3, 11, 1, 3, 1, 1, 2, 6, 6, 3, 0]",,inf,inf,robust
j20,3,STNU_robust,30,,False,inf,False,"[0, 6, 8, 4, 5, 5, 9, 1, 3, 8, 1, 6, 8, 5, 11, 6, 4, 8, 4, 10, 3, 0]",,inf,inf,robust
j20,3,STNU_robust,30,,False,inf,False,"[0, 7, 5, 7, 6, 2, 7, 1, 3, 6, 1, 6, 8, 9, 6, 7, 4, 10, 5, 6, 4, 0]",,inf,inf,robust
j20,3,STNU_robust,30,,False,inf,False,"[0, 11, 9, 5, 4, 2, 6, 2, 2, 6, 2, 5, 5, 9, 10, 6, 3, 9, 4, 9, 3, 0]",,inf,inf,robust
j20,3,STNU_robust,30,,False,inf,False,"[0, 8, 9, 3, 4, 5, 6, 2, 2, 5, 1, 6, 7, 9, 8, 3, 6, 9, 5, 8, 2, 0]",,inf,inf,robust
j20,4,STNU_robust,30,,False,inf,False,"[0, 1, 3, 4, 5, 2, 1, 2, 1, 7, 2, 1, 2, 6, 2, 1, 1, 8, 4, 2, 9, 0]",,inf,inf,robust
j20,4,STNU_robust,30,,False,inf,False,"[0, 1, 3, 4, 7, 1, 1, 2, 2, 9, 6, 3, 1, 3, 2, 1, 1, 9, 4, 4, 6, 0]",,inf,inf,robust
j20,4,STNU_robust,30,,False,inf,False,"[0, 1, 3, 6, 4, 1, 1, 4, 1, 7, 5, 1, 1, 3, 1, 1, 1, 7, 4, 3, 9, 0]",,inf,inf,robust
j20,4,STNU_robust,30,,False,inf,False,"[0, 1, 2, 3, 8, 2, 1, 4, 1, 10, 5, 2, 2, 3, 2, 1, 1, 10, 6, 2, 10, 0]",,inf,inf,robust
j20,4,STNU_robust,30,,False,inf,False,"[0, 1, 3, 5, 6, 2, 1, 5, 1, 11, 3, 3, 1, 3, 1, 1, 1, 11, 4, 4, 7, 0]",,inf,inf,robust
j20,7,STNU_robust,30,True,True,67.0,True,"[0, 8, 1, 6, 2, 4, 2, 6, 1, 6, 10, 2, 6, 3, 1, 10, 5, 7, 2, 2, 7, 0]","[0, 0, 16, 2, 18, 8, 38, 8, 0, 41, 8, 57, 20, 12, 34, 21, 61, 39, 60, 47, 31, 67]",0.480853796005249,0.022192955017089844,robust
j20,7,STNU_robust,30,True,True,67.0,True,"[0, 9, 2, 12, 1, 7, 2, 7, 2, 5, 12, 2, 3, 3, 2, 11, 4, 4, 1, 2, 6, 0]","[0, 0, 21, 2, 23, 14, 40, 14, 0, 41, 9, 57, 24, 21, 35, 21, 61, 40, 60, 46, 34, 67]",0.480853796005249,0.021749019622802734,robust
j20,7,STNU_robust,30,True,True,67.0,True,"[0, 5, 1, 11, 2, 5, 2, 6, 1, 8, 12, 2, 3, 3, 2, 10, 3, 4, 2, 2, 7, 0]","[0, 0, 18, 2, 19, 13, 38, 13, 0, 41, 5, 57, 21, 18, 31, 21, 61, 38, 60, 49, 31, 67]",0.480853796005249,0.02165508270263672,robust
j20,7,STNU_robust,30,True,True,68.0,True,"[0, 9, 1, 11, 2, 4, 3, 6, 1, 6, 8, 2, 4, 3, 1, 12, 4, 6, 2, 4, 9, 0]","[0, 0, 17, 2, 19, 13, 42, 13, 0, 42, 9, 58, 21, 17, 35, 21, 62, 42, 61, 48, 33, 68]",0.480853796005249,0.021855831146240234,robust
j20,7,STNU_robust,30,True,True,67.0,True,"[0, 8, 2, 7, 2, 3, 1, 8, 1, 6, 9, 1, 4, 2, 1, 7, 4, 6, 1, 2, 9, 0]","[0, 0, 16, 2, 18, 9, 37, 9, 0, 41, 8, 57, 20, 12, 34, 21, 61, 39, 60, 47, 28, 67]",0.480853796005249,0.022051095962524414,robust
j20,7,STNU_robust,30,True,True,68.0,True,"[0, 7, 1, 9, 2, 6, 2, 6, 2, 9, 9, 1, 6, 6, 2, 6, 7, 5, 1, 3, 7, 0]","[0, 0, 17, 2, 18, 11, 37, 11, 0, 41, 7, 57, 20, 17, 33, 21, 61, 38, 60, 50, 30, 67]",0.480853796005249,0.021768808364868164,robust
j20,7,STNU_robust,30,True,True,67.0,True,"[0, 9, 2, 7, 1, 5, 1, 10, 1, 9, 7, 1, 6, 3, 1, 8, 6, 4, 1, 2, 9, 0]","[0, 0, 16, 2, 19, 9, 38, 9, 0, 41, 9, 57, 20, 14, 35, 21, 61, 40, 60, 50, 29, 67]",0.480853796005249,0.021923065185546875,robust
j20,7,STNU_robust,30,True,True,68.0,True,"[0, 7, 1, 12, 1, 4, 3, 8, 2, 5, 12, 2, 3, 4, 1, 12, 3, 4, 1, 3, 9, 0]","[0, 0, 18, 2, 22, 14, 42, 14, 0, 42, 7, 58, 23, 18, 33, 21, 62, 42, 61, 47, 33, 68]",0.480853796005249,0.022175073623657227,robust
j20,7,STNU_robust,30,True,True,67.0,True,"[0, 7, 1, 11, 1, 4, 2, 6, 2, 8, 7, 2, 6, 6, 2, 12, 3, 6, 2, 2, 8, 0]","[0, 0, 17, 2, 19, 13, 41, 13, 0, 41, 7, 57, 20, 17, 33, 21, 61, 41, 60, 49, 33, 67]",0.480853796005249,0.022958755493164062,robust
j20,7,STNU_robust,30,True,True,67.0,True,"[0, 6, 1, 11, 2, 7, 2, 6, 2, 5, 11, 2, 3, 3, 2, 11, 3, 3, 1, 4, 8, 0]","[0, 0, 20, 2, 21, 13, 41, 13, 0, 41, 6, 57, 23, 20, 32, 21, 61, 41, 60, 46, 33, 67]",0.480853796005249,0.02277374267578125,robust
j20,8,STNU_robust,30,True,True,73.0,True,"[0, 8, 9, 6, 2, 1, 3, 7, 4, 6, 7, 10, 9, 12, 7, 4, 2, 5, 2, 1, 1, 0]","[0, 0, 8, 8, 7, 0, 26, 1, 0, 39, 0, 29, 17, 55, 59, 40, 37, 67, 45, 39, 53, 73]",0.624053955078125,0.027369022369384766,robust
j20,8,STNU_robust,30,True,True,68.0,True,"[0, 7, 9, 11, 1, 1, 4, 8, 5, 7, 12, 6, 6, 7, 11, 3, 3, 3, 2, 1, 2, 0]","[0, 0, 9, 9, 12, 0, 26, 1, 0, 37, 0, 31, 20, 53, 57, 38, 40, 60, 44, 37, 51, 66]",0.624053955078125,0.024314165115356445,robust
j20,8,STNU_robust,30,True,True,67.0,True,"[0, 5, 5, 11, 2, 1, 5, 6, 5, 6, 12, 9, 6, 7, 9, 6, 2, 4, 5, 1, 1, 0]","[0, 0, 7, 7, 12, 0, 24, 1, 0, 38, 0, 29, 18, 54, 58, 39, 38, 61, 45, 38, 52, 67]",0.624053955078125,0.024399995803833008,robust
