instance_folder,instance_id,obj,method,time_limit_rescheduling,time_limit_initial,solver_calls,feasibility,real_durations,estimated_start_times,start_times,time_offline,time_online,mode,estimated_durations,obj_pi
j10,1,29.0,reactive_quantile_0.9,2,60,1,True,"[0, 2, 9, 1, 1, 2, 5, 11, 2, 3, 1, 0]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]",0.11024999618530273,0.24432110786437988,quantile_0.9,"[0, 2, 9, 1, 1, 2, 5, 11, 2, 3, 1, 0]",26.0
j10,1,29.0,reactive_quantile_0.9,2,60,1,True,"[0, 1, 7, 1, 2, 1, 3, 8, 1, 5, 1, 0]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]",0.032727956771850586,0.26857686042785645,quantile_0.9,"[0, 1, 7, 1, 2, 1, 3, 8, 1, 5, 1, 0]",26.0
j10,1,29.0,reactive_quantile_0.9,2,60,1,True,"[0, 1, 9, 1, 3, 1, 4, 10, 2, 4, 1, 0]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]",0.029814958572387695,0.21108603477478027,quantile_0.9,"[0, 1, 9, 1, 3, 1, 4, 10, 2, 4, 1, 0]",26.0
j10,1,26.0,reactive_quantile_0.9,2,60,1,True,"[0, 2, 12, 1, 3, 2, 3, 7, 2, 4, 1, 0]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 3, 0, 0, 0, 7, 19, 12, 24, 12, 5, 26]",0.03081989288330078,0.18596625328063965,quantile_0.9,"[0, 2, 12, 1, 3, 2, 3, 7, 2, 4, 1, 0]",26.0
j10,1,29.0,reactive_quantile_0.9,2,60,1,True,"[0, 2, 6, 1, 2, 1, 2, 11, 2, 5, 1, 0]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]",0.03373599052429199,0.27462196350097656,quantile_0.9,"[0, 2, 6, 1, 2, 1, 2, 11, 2, 5, 1, 0]",26.0
j10,1,26.0,reactive_quantile_0.9,2,60,1,True,"[0, 2, 6, 3, 3, 2, 3, 7, 2, 7, 1, 0]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 3, 0, 0, 0, 7, 9, 12, 24, 12, 5, 26]",0.031903982162475586,0.14968204498291016,quantile_0.9,"[0, 2, 6, 3, 3, 2, 3, 7, 2, 7, 1, 0]",26.0
j10,1,29.0,reactive_quantile_0.9,2,60,1,True,"[0, 1, 7, 1, 3, 1, 2, 11, 2, 4, 1, 0]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]",0.03149604797363281,0.21220898628234863,quantile_0.9,"[0, 1, 7, 1, 3, 1, 2, 11, 2, 4, 1, 0]",26.0
j10,1,29.0,reactive_quantile_0.9,2,60,1,True,"[0, 3, 6, 1, 2, 3, 4, 7, 1, 4, 1, 0]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]",0.030086994171142578,0.20626115798950195,quantile_0.9,"[0, 3, 6, 1, 2, 3, 4, 7, 1, 4, 1, 0]",26.0
j10,1,29.0,reactive_quantile_0.9,2,60,1,True,"[0, 3, 11, 1, 2, 2, 5, 12, 1, 3, 1, 0]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]",0.0319211483001709,0.21294903755187988,quantile_0.9,"[0, 3, 11, 1, 2, 2, 5, 12, 1, 3, 1, 0]",28.0
j10,1,26.0,reactive_quantile_0.9,2,60,1,True,"[0, 3, 8, 2, 1, 3, 2, 6, 2, 4, 1, 0]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 3, 0, 0, 0, 7, 10, 12, 24, 12, 5, 26]",0.03163290023803711,0.17838573455810547,quantile_0.9,"[0, 3, 8, 2, 1, 3, 2, 6, 2, 4, 1, 0]",26.0
