instance_folder,instance_id,method,time_limit,feasibility,obj,time_offline,time_online,start_times,real_durations,mode,nb_scenarios_saa,obj_pi
j10,1,proactive_quantile_0.5,60,False,inf,0.05450701713562012,inf,"[0, 2, 0, 0, 0, 7, 18, 9, 24, 11, 4, 26]","[0, 2, 9, 1, 1, 2, 5, 11, 2, 3, 1, 0]",quantile_0.5,1,26.0
j10,1,proactive_quantile_0.5,60,True,26.0,0.05450701713562012,0.00019097328186035156,"[0, 2, 0, 0, 0, 7, 18, 9, 24, 11, 4, 26]","[0, 1, 7, 1, 2, 1, 3, 8, 1, 5, 1, 0]",quantile_0.5,1,26.0
j10,1,proactive_quantile_0.5,60,False,inf,0.05450701713562012,inf,"[0, 2, 0, 0, 0, 7, 18, 9, 24, 11, 4, 26]","[0, 1, 9, 1, 3, 1, 4, 10, 2, 4, 1, 0]",quantile_0.5,1,26.0
j10,1,proactive_quantile_0.5,60,False,inf,0.05450701713562012,inf,"[0, 2, 0, 0, 0, 7, 18, 9, 24, 11, 4, 26]","[0, 2, 12, 1, 3, 2, 3, 7, 2, 4, 1, 0]",quantile_0.5,1,26.0
j10,1,proactive_quantile_0.5,60,False,inf,0.05450701713562012,inf,"[0, 2, 0, 0, 0, 7, 18, 9, 24, 11, 4, 26]","[0, 2, 6, 1, 2, 1, 2, 11, 2, 5, 1, 0]",quantile_0.5,1,26.0
j10,1,proactive_quantile_0.5,60,False,inf,0.05450701713562012,inf,"[0, 2, 0, 0, 0, 7, 18, 9, 24, 11, 4, 26]","[0, 2, 6, 3, 3, 2, 3, 7, 2, 7, 1, 0]",quantile_0.5,1,26.0
j10,1,proactive_quantile_0.5,60,False,inf,0.05450701713562012,inf,"[0, 2, 0, 0, 0, 7, 18, 9, 24, 11, 4, 26]","[0, 1, 7, 1, 3, 1, 2, 11, 2, 4, 1, 0]",quantile_0.5,1,26.0
j10,1,proactive_quantile_0.5,60,False,inf,0.05450701713562012,inf,"[0, 2, 0, 0, 0, 7, 18, 9, 24, 11, 4, 26]","[0, 3, 6, 1, 2, 3, 4, 7, 1, 4, 1, 0]",quantile_0.5,1,26.0
j10,1,proactive_quantile_0.5,60,False,inf,0.05450701713562012,inf,"[0, 2, 0, 0, 0, 7, 18, 9, 24, 11, 4, 26]","[0, 3, 11, 1, 2, 2, 5, 12, 1, 3, 1, 0]",quantile_0.5,1,28.0
j10,1,proactive_quantile_0.5,60,False,inf,0.05450701713562012,inf,"[0, 2, 0, 0, 0, 7, 18, 9, 24, 11, 4, 26]","[0, 3, 8, 2, 1, 3, 2, 6, 2, 4, 1, 0]",quantile_0.5,1,26.0
j10,3,proactive_quantile_0.5,60,False,inf,0.047785043716430664,inf,"[0, 16, 0, 0, 22, 11, 20, 21, 22, 25, 6, 35]","[0, 1, 7, 1, 6, 4, 2, 2, 2, 7, 7, 0]",quantile_0.5,1,33.0
