,instance_folder,instance_id,sample,sample_durations,time_limit,obj_gap,obj_value,solve_time,solver_status
0,j20,1,0,"[0, 7, 1, 6, 2, 2, 1, 6, 2, 9, 2, 2, 10, 1, 4, 1, 3, 1, 6, 6, 5, 0]",10,0.0,46.0,0.03,Optimal
1,j20,1,1,"[0, 8, 3, 10, 2, 3, 3, 10, 2, 6, 2, 3, 6, 1, 4, 1, 2, 2, 5, 3, 2, 0]",10,,,0.00999999,Infeasible
2,j20,1,2,"[0, 8, 2, 6, 1, 2, 3, 7, 1, 8, 1, 2, 7, 1, 4, 1, 1, 1, 5, 5, 2, 0]",10,0.0,43.0,0.0899999,Optimal
3,j20,1,3,"[0, 6, 1, 6, 2, 2, 3, 6, 1, 6, 2, 3, 8, 1, 4, 1, 1, 3, 5, 5, 5, 0]",10,0.0,42.0,0.0600002,Optimal
4,j20,1,4,"[0, 8, 2, 7, 3, 1, 1, 8, 1, 6, 2, 1, 8, 1, 3, 1, 1, 2, 5, 5, 2, 0]",10,0.0,44.0,0.0699999,Optimal
5,j20,1,5,"[0, 4, 2, 11, 3, 1, 2, 8, 1, 8, 2, 2, 6, 1, 6, 1, 1, 1, 8, 6, 3, 0]",10,0.0,49.0,0.0700002,Optimal
6,j20,1,6,"[0, 4, 1, 8, 1, 2, 3, 10, 2, 6, 1, 3, 10, 1, 7, 1, 1, 1, 5, 6, 3, 0]",10,0.0,50.0,0.0599999,Optimal
7,j20,1,7,"[0, 4, 3, 9, 2, 3, 1, 10, 2, 7, 1, 3, 6, 1, 4, 1, 3, 3, 6, 2, 4, 0]",10,,,0.0,Infeasible
8,j20,1,8,"[0, 5, 3, 10, 3, 1, 3, 11, 2, 6, 1, 2, 11, 1, 7, 1, 3, 1, 4, 3, 3, 0]",10,,,0.00999999,Infeasible
9,j20,1,9,"[0, 4, 2, 9, 2, 2, 3, 11, 1, 9, 2, 3, 11, 1, 3, 1, 1, 2, 6, 6, 3, 0]",10,0.0,50.0,0.0699999,Optimal
10,j20,2,0,"[0, 7, 10, 5, 2, 2, 8, 2, 5, 7, 8, 1, 1, 11, 6, 1, 3, 3, 5, 10, 5, 0]",10,,,0.00999999,Infeasible
11,j20,2,1,"[0, 8, 9, 9, 1, 1, 7, 6, 6, 7, 4, 1, 1, 11, 3, 1, 2, 3, 4, 6, 7, 0]",10,,,0.00999999,Infeasible
12,j20,2,2,"[0, 5, 6, 5, 2, 3, 6, 2, 8, 12, 5, 1, 1, 7, 5, 1, 1, 2, 4, 9, 7, 0]",10,,,0.0,Infeasible
13,j20,2,3,"[0, 6, 10, 5, 2, 2, 7, 2, 9, 7, 6, 1, 1, 8, 3, 1, 1, 3, 6, 11, 7, 0]",10,,,0.00999999,Infeasible
14,j20,2,4,"[0, 7, 11, 6, 2, 3, 5, 2, 7, 8, 5, 1, 1, 9, 6, 1, 3, 2, 3, 7, 4, 0]",10,,,0.0,Infeasible
15,j20,2,5,"[0, 7, 6, 5, 2, 2, 9, 4, 9, 9, 7, 1, 1, 11, 2, 1, 1, 5, 7, 10, 7, 0]",10,,,0.0,Infeasible
16,j20,2,6,"[0, 5, 6, 9, 1, 1, 7, 6, 6, 7, 4, 1, 1, 8, 6, 1, 1, 2, 7, 7, 7, 0]",10,,,0.00999999,Infeasible
17,j20,2,7,"[0, 5, 6, 7, 2, 2, 7, 6, 9, 8, 6, 1, 1, 6, 3, 1, 3, 4, 3, 11, 4, 0]",10,,,0.0,Infeasible
18,j20,2,8,"[0, 6, 10, 5, 1, 2, 6, 4, 6, 11, 8, 1, 1, 8, 2, 1, 2, 2, 4, 11, 3, 0]",10,,,0.00999999,Infeasible
19,j20,2,9,"[0, 5, 9, 6, 2, 3, 9, 6, 8, 12, 4, 1, 1, 9, 2, 1, 2, 4, 7, 11, 3, 0]",10,,,0.0,Infeasible
20,j20,3,0,"[0, 11, 8, 7, 4, 3, 8, 2, 2, 5, 2, 8, 8, 6, 8, 7, 5, 10, 7, 10, 4, 0]",10,,,0.00999999,Infeasible
21,j20,3,1,"[0, 10, 7, 7, 5, 3, 5, 3, 3, 6, 2, 5, 5, 5, 10, 4, 3, 6, 7, 8, 3, 0]",10,,,0.0,Infeasible
22,j20,3,2,"[0, 6, 8, 4, 5, 5, 9, 1, 3, 8, 1, 6, 8, 5, 11, 6, 4, 8, 4, 10, 3, 0]",10,0.0,80.0,0.15,Optimal
23,j20,3,3,"[0, 8, 7, 4, 4, 3, 8, 3, 6, 8, 2, 5, 7, 5, 6, 5, 5, 7, 7, 10, 4, 0]",10,,,0.0,Infeasible
24,j20,3,4,"[0, 6, 5, 4, 5, 5, 5, 1, 6, 7, 1, 7, 7, 5, 9, 7, 6, 10, 8, 11, 2, 0]",10,,,0.0,Infeasible
25,j20,3,5,"[0, 7, 5, 7, 6, 2, 7, 1, 3, 6, 1, 6, 8, 9, 6, 7, 4, 10, 5, 6, 4, 0]",10,0.0,71.0,0.13,Optimal
