,instance_folder,instance_id,sample,sample_durations,time_limit,solve_time,solver_status,obj_gap,obj_value
0,j30,1,0,"[0, 1, 11, 9, 2, 1, 5, 1, 6, 11, 5, 6, 5, 10, 9, 1, 6, 1, 4, 10, 5, 8, 9, 1, 10, 8, 1, 2, 6, 1, 9, 0]",10,0.0,Infeasible,,
1,j30,1,1,"[0, 1, 7, 7, 5, 3, 4, 1, 4, 7, 6, 7, 4, 10, 6, 1, 5, 1, 5, 8, 4, 4, 9, 1, 11, 7, 2, 2, 8, 1, 5, 0]",10,0.0,Infeasible,,
2,j30,1,2,"[0, 1, 7, 9, 2, 3, 8, 1, 3, 11, 8, 7, 6, 6, 9, 2, 7, 1, 4, 7, 3, 5, 9, 1, 11, 10, 2, 2, 7, 1, 5, 0]",10,0.00999999,Infeasible,,
3,j30,1,3,"[0, 1, 6, 8, 4, 2, 7, 1, 7, 8, 5, 6, 5, 7, 8, 1, 5, 1, 6, 11, 5, 8, 9, 1, 11, 9, 2, 1, 7, 1, 9, 0]",10,0.0,Infeasible,,
4,j30,1,4,"[0, 1, 9, 10, 4, 1, 8, 1, 4, 6, 9, 8, 4, 11, 7, 2, 9, 1, 3, 7, 3, 6, 10, 1, 10, 6, 1, 2, 8, 1, 6, 0]",10,0.0,Infeasible,,
5,j30,1,5,"[0, 1, 6, 8, 5, 2, 6, 1, 7, 10, 7, 8, 4, 7, 7, 1, 7, 1, 2, 12, 4, 6, 10, 1, 6, 12, 2, 2, 5, 1, 7, 0]",10,0.0,Infeasible,,
6,j30,1,6,"[0, 1, 7, 11, 2, 3, 4, 1, 3, 7, 5, 7, 7, 7, 6, 1, 9, 1, 6, 9, 3, 7, 6, 1, 9, 7, 3, 2, 8, 1, 5, 0]",10,0.0,Infeasible,,
7,j30,1,7,"[0, 1, 11, 6, 3, 2, 5, 1, 3, 11, 5, 10, 6, 11, 8, 1, 7, 1, 2, 11, 6, 7, 11, 1, 11, 7, 3, 1, 7, 1, 5, 0]",10,0.0,Infeasible,,
8,j30,1,8,"[0, 1, 12, 6, 3, 1, 6, 1, 7, 8, 5, 11, 7, 6, 5, 1, 7, 1, 3, 6, 7, 7, 6, 1, 7, 8, 1, 1, 7, 1, 8, 0]",10,0.0,Infeasible,,
9,j30,1,9,"[0, 1, 9, 9, 4, 3, 7, 1, 7, 9, 7, 10, 8, 6, 8, 2, 5, 1, 5, 11, 4, 4, 8, 1, 8, 8, 1, 1, 5, 1, 9, 0]",10,0.0,Infeasible,,
10,j30,2,0,"[0, 7, 10, 2, 5, 5, 5, 11, 3, 6, 7, 8, 7, 1, 2, 6, 7, 1, 7, 10, 6, 1, 7, 9, 4, 1, 9, 1, 5, 4, 3, 0]",10,0.0,Infeasible,,
11,j30,2,1,"[0, 4, 12, 3, 3, 5, 3, 6, 7, 7, 6, 4, 6, 2, 1, 5, 3, 1, 8, 11, 4, 2, 8, 9, 2, 1, 6, 1, 7, 7, 3, 0]",10,0.0,Infeasible,,
12,j30,2,2,"[0, 8, 6, 5, 3, 6, 5, 6, 7, 7, 8, 6, 4, 1, 1, 5, 6, 1, 9, 9, 4, 2, 5, 5, 4, 1, 7, 1, 5, 6, 1, 0]",10,0.0799999,Optimal,0.0,93.0
13,j30,2,3,"[0, 6, 12, 2, 2, 5, 3, 11, 6, 6, 6, 8, 5, 1, 2, 7, 3, 1, 8, 10, 6, 1, 9, 9, 3, 1, 5, 1, 8, 5, 1, 0]",10,0.00999999,Infeasible,,
14,j30,2,4,"[0, 6, 10, 3, 5, 5, 2, 8, 7, 10, 6, 8, 4, 1, 1, 5, 3, 1, 7, 9, 4, 1, 9, 9, 4, 1, 7, 1, 4, 4, 3, 0]",10,0.05,Optimal,0.0,98.0
15,j30,2,5,"[0, 6, 6, 3, 4, 8, 4, 6, 4, 8, 7, 8, 5, 1, 2, 4, 4, 1, 5, 7, 6, 2, 6, 9, 6, 1, 8, 1, 4, 6, 1, 0]",10,0.0799999,Optimal,0.0,82.0
16,j30,2,6,"[0, 7, 7, 4, 5, 8, 3, 6, 3, 11, 9, 5, 4, 2, 2, 4, 3, 1, 9, 8, 6, 1, 7, 5, 5, 1, 8, 1, 5, 5, 1, 0]",10,0.0,Infeasible,,
17,j30,2,7,"[0, 7, 6, 2, 3, 8, 5, 8, 7, 12, 8, 4, 6, 1, 1, 8, 5, 1, 6, 6, 7, 2, 5, 6, 4, 1, 9, 1, 8, 6, 3, 0]",10,0.0800002,Optimal,0.0,88.0
18,j30,2,8,"[0, 7, 9, 5, 4, 7, 4, 9, 7, 9, 8, 8, 7, 1, 2, 7, 3, 1, 8, 11, 4, 2, 5, 7, 4, 1, 7, 1, 4, 5, 3, 0]",10,0.0,Infeasible,,
19,j30,2,9,"[0, 5, 10, 2, 2, 8, 4, 7, 6, 7, 10, 5, 5, 2, 1, 5, 3, 1, 5, 8, 7, 2, 5, 5, 5, 1, 6, 1, 4, 7, 3, 0]",10,0.0,Infeasible,,
20,j30,3,0,"[0, 7, 6, 1, 1, 3, 2, 1, 2, 1, 3, 1, 5, 2, 6, 6, 1, 1, 4, 6, 7, 8, 9, 2, 4, 7, 5, 10, 2, 2, 2, 0]",10,0.0,Infeasible,,
21,j30,3,1,"[0, 5, 2, 1, 1, 3, 2, 1, 3, 2, 2, 1, 3, 1, 2, 8, 1, 1, 4, 3, 5, 7, 11, 3, 3, 6, 7, 6, 2, 2, 1, 0]",10,0.0,Infeasible,,
22,j30,3,2,"[0, 6, 6, 1, 1, 5, 2, 1, 4, 2, 2, 1, 3, 2, 4, 7, 1, 1, 3, 2, 6, 7, 11, 2, 5, 4, 6, 12, 1, 1, 3, 0]",10,0.0,Infeasible,,
23,j30,3,3,"[0, 6, 3, 2, 1, 5, 1, 1, 4, 1, 4, 1, 2, 2, 3, 6, 1, 1, 5, 2, 5, 8, 11, 4, 4, 7, 6, 11, 2, 2, 2, 0]",10,0.00999999,Infeasible,,
24,j30,3,4,"[0, 4, 5, 1, 1, 5, 1, 1, 6, 2, 5, 2, 2, 2, 2, 9, 1, 1, 4, 2, 7, 8, 7, 5, 3, 3, 5, 10, 1, 1, 1, 0]",10,0.0,Infeasible,,
25,j30,3,5,"[0, 5, 6, 2, 1, 2, 1, 1, 5, 2, 4, 1, 2, 2, 4, 7, 1, 1, 2, 3, 7, 6, 6, 4, 3, 5, 7, 12, 1, 1, 2, 0]",10,0.00999999,Infeasible,,
26,j30,3,6,"[0, 5, 4, 2, 1, 6, 1, 1, 2, 2, 3, 1, 3, 2, 2, 6, 1, 1, 5, 3, 6, 8, 10, 5, 2, 6, 3, 9, 2, 1, 2, 0]",10,0.0,Infeasible,,
27,j30,3,7,"[0, 8, 2, 2, 1, 2, 2, 1, 5, 2, 3, 2, 3, 1, 2, 9, 1, 1, 4, 5, 9, 6, 6, 3, 5, 6, 4, 8, 1, 2, 1, 0]",10,0.00999999,Infeasible,,
