instance_folder,instance_id,method,time_limit,feasibility,obj,time_offline,time_online,start_times,real_durations,mode,obj_pi
j10,1,proactive_SAA_smart,60,True,29.0,0.28833818435668945,0.00027108192443847656,"[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 2, 9, 1, 1, 2, 5, 11, 2, 3, 1, 0]",SAA_smart,26.0
j10,1,proactive_SAA_smart,60,True,29.0,0.28833818435668945,0.00017690658569335938,"[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 1, 7, 1, 2, 1, 3, 8, 1, 5, 1, 0]",SAA_smart,26.0
j10,1,proactive_SAA_smart,60,True,29.0,0.28833818435668945,0.0001990795135498047,"[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 1, 9, 1, 3, 1, 4, 10, 2, 4, 1, 0]",SAA_smart,26.0
j10,1,proactive_SAA_smart,60,True,29.0,0.28833818435668945,0.0002110004425048828,"[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 2, 12, 1, 3, 2, 3, 7, 2, 4, 1, 0]",SAA_smart,26.0
j10,1,proactive_SAA_smart,60,True,29.0,0.28833818435668945,0.00019407272338867188,"[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 2, 6, 1, 2, 1, 2, 11, 2, 5, 1, 0]",SAA_smart,26.0
j10,1,proactive_SAA_smart,60,True,29.0,0.28833818435668945,0.00020885467529296875,"[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 2, 6, 3, 3, 2, 3, 7, 2, 7, 1, 0]",SAA_smart,26.0
j10,1,proactive_SAA_smart,60,True,29.0,0.28833818435668945,0.00018310546875,"[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 1, 7, 1, 3, 1, 2, 11, 2, 4, 1, 0]",SAA_smart,26.0
j10,1,proactive_SAA_smart,60,True,29.0,0.28833818435668945,0.00019884109497070312,"[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 3, 6, 1, 2, 3, 4, 7, 1, 4, 1, 0]",SAA_smart,26.0
j10,1,proactive_SAA_smart,60,True,29.0,0.28833818435668945,0.00020313262939453125,"[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 3, 11, 1, 2, 2, 5, 12, 1, 3, 1, 0]",SAA_smart,28.0
j10,1,proactive_SAA_smart,60,True,29.0,0.28833818435668945,0.00017976760864257812,"[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 3, 8, 2, 1, 3, 2, 6, 2, 4, 1, 0]",SAA_smart,26.0
j10,3,proactive_SAA_smart,60,True,37.0,1.0113129615783691,0.0002319812774658203,"[0, 8, 0, 17, 23, 11, 20, 21, 30, 27, 23, 37]","[0, 1, 7, 1, 6, 4, 2, 2, 2, 7, 7, 0]",SAA_smart,33.0
j10,3,proactive_SAA_smart,60,True,37.0,1.0113129615783691,0.0002512931823730469,"[0, 8, 0, 17, 23, 11, 20, 21, 30, 27, 23, 37]","[0, 1, 8, 3, 7, 5, 1, 4, 6, 9, 7, 0]",SAA_smart,35.0
j10,3,proactive_SAA_smart,60,True,39.0,1.0113129615783691,0.0002002716064453125,"[0, 8, 0, 17, 23, 11, 20, 21, 30, 27, 23, 37]","[0, 1, 6, 1, 11, 5, 1, 3, 3, 12, 3, 0]",SAA_smart,36.0
