instance_folder,instance_id,method,nr_samples,obj,time_limit_SAA,feasibility,real_durations,start_times,time_offline,time_online
j10,1,proactive,10,29.0,600,True,"[0, 2, 9, 1, 1, 2, 5, 11, 2, 3, 1, 0]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]",0.1666250228881836,0.0003383159637451172
j10,1,proactive,10,28.0,600,True,"[0, 1, 7, 1, 2, 1, 3, 8, 1, 5, 1, 0]","[0, 3, 0, 0, 0, 7, 23, 11, 24, 12, 5, 28]",0.16188406944274902,0.0002968311309814453
j10,1,proactive,10,28.0,600,True,"[0, 1, 9, 1, 3, 1, 4, 10, 2, 4, 1, 0]","[0, 3, 0, 0, 0, 7, 23, 11, 24, 12, 5, 28]",0.16923785209655762,0.0003027915954589844
j10,1,proactive,10,inf,600,False,"[0, 2, 12, 1, 3, 2, 3, 7, 2, 4, 1, 0]","[0, 3, 0, 0, 0, 7, 22, 10, 24, 12, 5, 27]",0.17563199996948242,0.0003800392150878906
j10,1,proactive,10,inf,600,False,"[0, 2, 6, 1, 2, 1, 2, 11, 2, 5, 1, 0]","[0, 3, 0, 0, 0, 7, 21, 11, 24, 12, 5, 26]",0.0861208438873291,0.0003268718719482422
j10,1,proactive,10,29.0,600,True,"[0, 2, 6, 3, 3, 2, 3, 7, 2, 7, 1, 0]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]",0.16892099380493164,0.00033092498779296875
j10,1,proactive,10,29.0,600,True,"[0, 1, 7, 1, 3, 1, 2, 11, 2, 4, 1, 0]","[0, 2, 0, 0, 0, 7, 24, 12, 24, 12, 4, 29]",0.17478704452514648,0.0003390312194824219
j10,1,proactive,10,28.0,600,True,"[0, 3, 6, 1, 2, 3, 4, 7, 1, 4, 1, 0]","[0, 3, 0, 0, 0, 7, 23, 12, 24, 12, 5, 28]",0.15829086303710938,0.0003211498260498047
j10,1,proactive,10,29.0,600,True,"[0, 3, 11, 1, 2, 2, 5, 12, 1, 3, 1, 0]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]",0.17460083961486816,0.00032591819763183594
j10,1,proactive,10,29.0,600,True,"[0, 3, 8, 2, 1, 3, 2, 6, 2, 4, 1, 0]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]",0.17549896240234375,0.0003170967102050781
j10,3,proactive,10,36.0,600,True,"[0, 1, 7, 1, 6, 4, 2, 2, 2, 7, 7, 0]","[0, 8, 0, 17, 23, 11, 20, 21, 30, 26, 23, 36]",0.361527681350708,0.00030493736267089844
j10,3,proactive,10,36.0,600,True,"[0, 1, 8, 3, 7, 5, 1, 4, 6, 9, 7, 0]","[0, 8, 0, 17, 23, 11, 20, 21, 30, 26, 23, 36]",1.3423261642456055,0.0003571510314941406
j10,3,proactive,10,39.0,600,True,"[0, 1, 6, 1, 11, 5, 1, 3, 3, 12, 3, 0]","[0, 8, 0, 17, 23, 11, 20, 21, 30, 27, 23, 37]",0.3997459411621094,0.0003299713134765625
j10,3,proactive,10,37.0,600,True,"[0, 1, 5, 2, 11, 4, 2, 2, 6, 7, 3, 0]","[0, 8, 0, 17, 23, 11, 20, 21, 30, 27, 23, 37]",1.5936989784240723,0.0003399848937988281
j10,3,proactive,10,39.0,600,True,"[0, 1, 4, 2, 9, 5, 2, 2, 5, 12, 4, 0]","[0, 8, 0, 17, 23, 11, 20, 21, 30, 27, 23, 37]",1.645719051361084,0.00034499168395996094
j10,3,proactive,10,37.0,600,True,"[0, 1, 5, 1, 6, 4, 1, 4, 6, 6, 6, 0]","[0, 7, 0, 17, 23, 11, 20, 21, 30, 27, 23, 37]",0.45656871795654297,0.0003387928009033203
j10,3,proactive,10,37.0,600,True,"[0, 1, 5, 3, 6, 7, 2, 4, 4, 7, 3, 0]","[0, 8, 0, 17, 23, 11, 20, 21, 29, 27, 23, 37]",0.24573802947998047,0.0003337860107421875
j10,3,proactive,10,39.0,600,True,"[0, 1, 5, 3, 11, 7, 2, 3, 5, 12, 3, 0]","[0, 8, 0, 17, 23, 11, 20, 21, 30, 27, 23, 37]",1.5298070907592773,0.000354766845703125
j10,3,proactive,10,37.0,600,True,"[0, 1, 4, 3, 8, 4, 1, 4, 2, 6, 4, 0]","[0, 8, 0, 17, 23, 11, 20, 21, 30, 27, 23, 37]",1.6557941436767578,0.00034308433532714844
j10,3,proactive,10,37.0,600,True,"[0, 1, 5, 2, 9, 3, 1, 6, 4, 10, 6, 0]","[0, 8, 0, 17, 23, 11, 20, 21, 30, 27, 23, 37]",0.31914496421813965,0.0003247261047363281
