,instance_folder,instance_id,rel_regret,obj,obj_pi,method,time_limit_pi,time_limit_rescheduling,solver_calls,feasibility,feasibility_pi,real_durations,start_times
0,j10,1,100.0,inf,26.0,reactive,60,10,10,False,True,"[0, 2, 9, 1, 1, 2, 5, 11, 2, 3, 1, 0]","[0, 3, 0, 0, 0, 7, 20, 10, 24, 12, 5, 26]"
1,j10,1,0.0,26.0,26.0,reactive,60,10,12,True,True,"[0, 1, 7, 1, 2, 1, 3, 8, 1, 5, 1, 0]","[0, 2, 0, 0, 0, 7, 20, 9, 24, 11, 4, 26]"
2,j10,1,100.0,inf,26.0,reactive,60,10,8,False,True,"[0, 1, 9, 1, 3, 1, 4, 10, 2, 4, 1, 0]","[0, 2, 0, 0, 0, 7, 16, 8, 24, 11, 4, 26]"
3,j10,1,100.0,inf,26.0,reactive,60,10,8,False,True,"[0, 2, 12, 1, 3, 2, 3, 7, 2, 4, 1, 0]","[0, 2, 0, 0, 0, 7, 17, 9, 24, 11, 4, 26]"
4,j10,1,100.0,inf,26.0,reactive,60,10,11,False,True,"[0, 2, 6, 1, 2, 1, 2, 11, 2, 5, 1, 0]","[0, 2, 0, 0, 0, 7, 20, 12, 24, 12, 4, 26]"
5,j10,1,100.0,inf,26.0,reactive,60,10,3,False,True,"[0, 2, 6, 3, 3, 2, 3, 7, 2, 7, 1, 0]","[0, 2, 0, 0, 0, 7, 19, 8, 24, 11, 4, 26]"
6,j10,1,0.0,26.0,26.0,reactive,60,10,12,True,True,"[0, 1, 7, 1, 3, 1, 2, 11, 2, 4, 1, 0]","[0, 2, 0, 4, 0, 7, 8, 12, 24, 11, 8, 26]"
7,j10,1,100.0,inf,26.0,reactive,60,10,8,False,True,"[0, 3, 6, 1, 2, 3, 4, 7, 1, 4, 1, 0]","[0, 2, 0, 0, 0, 7, 19, 8, 24, 11, 4, 26]"
8,j10,1,100.0,inf,26.0,reactive,60,10,8,False,True,"[0, 3, 11, 1, 2, 2, 5, 12, 1, 3, 1, 0]","[0, 2, 0, 0, 0, 7, 21, 10, 24, 11, 4, 26]"
9,j10,1,0.0,26.0,26.0,reactive,60,10,12,True,True,"[0, 3, 8, 2, 1, 3, 2, 6, 2, 4, 1, 0]","[0, 2, 0, 0, 0, 7, 11, 13, 24, 13, 4, 26]"
10,j10,2,0.0,inf,inf,reactive,60,10,1,False,False,"[0, 3, 11, 9, 1, 6, 6, 2, 11, 9, 11, 0]",
11,j10,2,0.0,inf,inf,reactive,60,10,1,False,False,"[0, 4, 8, 10, 1, 9, 11, 2, 11, 5, 9, 0]",
12,j10,2,0.0,inf,inf,reactive,60,10,1,False,False,"[0, 2, 9, 10, 1, 10, 11, 1, 7, 5, 10, 0]",
13,j10,2,0.0,inf,inf,reactive,60,10,1,False,False,"[0, 4, 6, 11, 1, 8, 10, 2, 7, 5, 8, 0]",
14,j10,2,0.0,inf,inf,reactive,60,10,1,False,False,"[0, 2, 10, 6, 1, 10, 7, 1, 10, 6, 6, 0]",
15,j10,2,0.0,inf,inf,reactive,60,10,1,False,False,"[0, 4, 9, 7, 1, 8, 10, 1, 8, 7, 6, 0]",
16,j10,2,0.0,inf,inf,reactive,60,10,1,False,False,"[0, 3, 8, 12, 1, 8, 6, 1, 11, 6, 8, 0]",
17,j10,2,0.0,inf,inf,reactive,60,10,1,False,False,"[0, 2, 6, 12, 1, 11, 11, 2, 8, 6, 11, 0]",
18,j10,2,0.0,inf,inf,reactive,60,10,1,False,False,"[0, 2, 8, 6, 1, 11, 6, 2, 11, 5, 7, 0]",
19,j10,2,0.0,inf,inf,reactive,60,10,1,False,False,"[0, 5, 7, 7, 1, 11, 10, 1, 9, 5, 9, 0]",
20,j10,3,9.090909090909092,36.0,33.0,reactive,60,10,12,True,True,"[0, 1, 4, 2, 8, 7, 2, 2, 2, 11, 6, 0]","[0, 7, 0, 17, 23, 11, 20, 21, 29, 26, 23, 36]"
21,j10,3,100.0,inf,33.0,reactive,60,10,5,False,True,"[0, 1, 5, 2, 11, 3, 3, 2, 6, 8, 6, 0]","[0, 4, 0, 0, 22, 11, 20, 21, 18, 23, 5, 33]"
22,j10,3,100.0,inf,33.0,reactive,60,10,4,False,True,"[0, 1, 8, 3, 6, 6, 2, 3, 4, 10, 6, 0]","[0, 20, 0, 0, 22, 11, 20, 21, 18, 23, 5, 33]"
23,j10,3,100.0,inf,33.0,reactive,60,10,8,False,True,"[0, 1, 4, 3, 6, 7, 3, 6, 4, 6, 6, 0]","[0, 8, 0, 16, 22, 11, 20, 21, 28, 23, 22, 33]"
24,j10,3,0.0,33.0,33.0,reactive,60,10,12,True,True,"[0, 1, 4, 1, 10, 5, 2, 2, 6, 9, 3, 0]","[0, 4, 0, 0, 23, 11, 20, 21, 23, 23, 5, 33]"
25,j10,3,100.0,inf,33.0,reactive,60,10,5,False,True,"[0, 1, 5, 3, 10, 7, 3, 5, 5, 9, 6, 0]","[0, 4, 0, 0, 22, 11, 20, 21, 22, 23, 5, 33]"
26,j10,3,100.0,inf,33.0,reactive,60,10,5,False,True,"[0, 1, 6, 3, 9, 7, 3, 6, 6, 6, 6, 0]","[0, 8, 0, 0, 22, 11, 20, 21, 22, 23, 5, 33]"
27,j10,3,100.0,inf,33.0,reactive,60,10,4,False,True,"[0, 1, 7, 1, 9, 4, 1, 4, 4, 8, 3, 0]","[0, 9, 0, 0, 22, 11, 20, 21, 22, 23, 6, 33]"
28,j10,3,100.0,inf,33.0,reactive,60,10,6,False,True,"[0, 1, 6, 3, 7, 7, 1, 6, 6, 12, 4, 0]","[0, 10, 0, 1, 22, 11, 20, 21, 22, 23, 7, 33]"
29,j10,3,100.0,inf,33.0,reactive,60,10,4,False,True,"[0, 1, 7, 2, 10, 4, 3, 3, 2, 6, 5, 0]","[0, 10, 0, 0, 22, 11, 20, 21, 22, 23, 6, 33]"
30,j10,4,100.0,inf,40.0,reactive,60,10,9,False,True,"[0, 9, 2, 2, 3, 5, 1, 5, 4, 6, 8, 0]","[0, 9, 8, 17, 0, 3, 8, 3, 10, 29, 10, 39]"
31,j10,4,8.108108108108109,40.0,37.0,reactive,60,10,12,True,True,"[0, 8, 2, 4, 1, 9, 1, 5, 3, 6, 4, 0]","[0, 9, 8, 18, 0, 3, 8, 3, 10, 30, 10, 40]"
32,j10,4,100.0,inf,37.0,reactive,60,10,3,False,True,"[0, 9, 1, 3, 2, 9, 1, 3, 5, 11, 6, 0]","[0, 7, 6, 15, 0, 1, 6, 1, 8, 27, 8, 37]"
33,j10,4,100.0,inf,38.0,reactive,60,10,4,False,True,"[0, 9, 2, 5, 3, 9, 1, 6, 3, 9, 6, 0]","[0, 6, 5, 14, 18, 0, 5, 0, 24, 27, 7, 37]"
34,j10,4,100.0,inf,38.0,reactive,60,10,8,False,True,"[0, 9, 2, 5, 1, 7, 1, 5, 3, 11, 6, 0]","[0, 7, 6, 15, 19, 0, 6, 0, 25, 28, 8, 38]"
35,j10,4,100.0,inf,39.0,reactive,60,10,5,False,True,"[0, 6, 2, 4, 1, 6, 1, 6, 4, 9, 7, 0]","[0, 6, 5, 15, 19, 0, 5, 0, 25, 28, 7, 38]"
36,j10,4,100.0,inf,32.0,reactive,60,10,11,False,True,"[0, 6, 1, 2, 3, 9, 1, 2, 5, 10, 7, 0]","[0, 7, 6, 16, 20, 0, 6, 0, 26, 29, 8, 39]"
37,j10,4,100.0,inf,34.0,reactive,60,10,3,False,True,"[0, 9, 2, 5, 1, 9, 1, 4, 5, 10, 5, 0]","[0, 2, 14, 9, 11, 0, 8, 0, 17, 22, 15, 32]"
38,j10,4,100.0,inf,35.0,reactive,60,10,5,False,True,"[0, 7, 2, 3, 2, 6, 1, 2, 7, 10, 6, 0]","[0, 4, 16, 11, 13, 0, 10, 0, 19, 24, 17, 34]"
39,j10,4,100.0,inf,34.0,reactive,60,10,6,False,True,"[0, 7, 2, 3, 1, 5, 1, 2, 6, 8, 8, 0]","[0, 6, 5, 13, 2, 5, 5, 0, 8, 25, 6, 35]"
40,j10,5,100.0,inf,32.0,reactive,60,10,11,False,True,"[0, 7, 9, 2, 2, 1, 9, 3, 2, 2, 10, 0]","[0, 0, 0, 9, 5, 13, 24, 15, 11, 15, 15, 32]"
41,j10,5,100.0,inf,33.0,reactive,60,10,8,False,True,"[0, 8, 9, 2, 2, 2, 9, 7, 1, 4, 7, 0]","[0, 0, 0, 11, 3, 13, 24, 15, 9, 17, 14, 32]"
42,j10,5,100.0,inf,32.0,reactive,60,10,5,False,True,"[0, 9, 6, 2, 1, 2, 7, 5, 1, 4, 9, 0]","[0, 0, 5, 16, 16, 18, 8, 20, 22, 22, 23, 32]"
43,j10,5,100.0,inf,33.0,reactive,60,10,7,False,True,"[0, 8, 8, 1, 1, 2, 7, 3, 1, 3, 7, 0]","[0, 2, 4, 0, 5, 20, 12, 22, 11, 6, 22, 31]"
