instance_folder,instance_id,rel_regret,obj,obj_pi,method,time_limit_pi,time_limit_rescheduling,time_limit_initial,solver_calls,feasibility,feasibility_pi,real_durations,start_times,time_offline,time_online
ubo100,1,0,inf,inf,reactive,60,10,60,1,False,False,"[0, 5, 10, 5, 6, 8, 7, 1, 5, 11, 6, 4, 4, 3, 5, 4, 7, 7, 6, 4, 6, 7, 1, 7, 8, 9, 5, 3, 7, 4, 1, 10, 7, 11, 6, 9, 8, 1, 6, 2, 1, 9, 6, 11, 4, 1, 3, 1, 1, 5, 7, 7, 1, 6, 2, 1, 1, 9, 6, 7, 5, 6, 7, 1, 2, 5, 3, 3, 4, 12, 1, 6, 8, 2, 5, 8, 1, 11, 4, 1, 7, 4, 2, 2, 6, 10, 5, 2, 1, 6, 9, 7, 5, 12, 6, 9, 4, 2, 2, 1, 2, 0]",,0.07254600524902344,1.2159347534179688e-05
ubo100,1,0,inf,inf,reactive,60,10,60,1,False,False,"[0, 3, 10, 6, 6, 5, 10, 3, 3, 10, 5, 5, 5, 3, 7, 3, 7, 8, 4, 4, 8, 11, 1, 11, 5, 7, 3, 3, 5, 2, 1, 7, 5, 11, 5, 11, 6, 1, 2, 2, 1, 10, 9, 10, 5, 1, 7, 1, 1, 3, 6, 9, 2, 9, 1, 1, 1, 8, 9, 11, 5, 8, 5, 1, 2, 4, 5, 4, 7, 9, 2, 8, 7, 2, 9, 8, 1, 7, 5, 1, 5, 6, 5, 3, 7, 12, 4, 2, 1, 7, 10, 7, 2, 12, 10, 8, 2, 1, 4, 1, 1, 0]",,0.06839895248413086,1.0967254638671875e-05
ubo100,1,0,inf,inf,reactive,60,10,60,1,False,False,"[0, 4, 12, 8, 7, 7, 6, 3, 4, 8, 2, 7, 2, 2, 3, 4, 6, 9, 4, 5, 6, 8, 1, 10, 7, 5, 5, 1, 7, 2, 1, 7, 6, 7, 6, 9, 6, 1, 6, 2, 1, 11, 8, 11, 5, 1, 4, 1, 1, 2, 4, 8, 1, 11, 2, 3, 1, 6, 5, 7, 3, 6, 7, 1, 1, 5, 3, 3, 7, 9, 2, 9, 7, 1, 5, 8, 1, 8, 3, 1, 6, 3, 2, 3, 7, 9, 5, 2, 1, 9, 10, 6, 2, 11, 6, 6, 2, 1, 3, 2, 1, 0]",,0.06706619262695312,9.775161743164062e-06
ubo100,1,0,inf,inf,reactive,60,10,60,1,False,False,"[0, 5, 7, 5, 8, 6, 10, 1, 4, 8, 6, 7, 2, 3, 6, 3, 12, 6, 5, 4, 7, 7, 1, 8, 9, 5, 7, 3, 4, 5, 1, 11, 8, 12, 6, 6, 7, 1, 2, 1, 1, 8, 10, 11, 3, 1, 7, 1, 1, 3, 5, 8, 1, 9, 2, 3, 1, 7, 9, 9, 6, 8, 3, 1, 1, 6, 5, 4, 3, 10, 3, 11, 11, 1, 7, 6, 1, 11, 5, 1, 6, 2, 5, 1, 12, 12, 3, 6, 1, 6, 9, 6, 4, 6, 7, 6, 2, 1, 2, 2, 2, 0]",,0.0673069953918457,1.2159347534179688e-05
ubo100,1,0,inf,inf,reactive,60,10,60,1,False,False,"[0, 5, 9, 7, 5, 7, 10, 3, 3, 11, 6, 6, 4, 2, 3, 6, 10, 6, 7, 5, 8, 11, 1, 11, 7, 6, 5, 3, 5, 4, 1, 11, 7, 9, 9, 6, 7, 1, 4, 1, 1, 6, 9, 8, 6, 1, 3, 1, 1, 4, 5, 10, 2, 11, 1, 2, 1, 6, 6, 11, 4, 8, 7, 1, 2, 6, 5, 3, 5, 7, 3, 11, 8, 2, 8, 9, 1, 10, 5, 1, 7, 5, 4, 3, 6, 9, 7, 2, 1, 5, 9, 7, 3, 8, 12, 5, 6, 1, 2, 2, 2, 0]",,0.0666658878326416,1.1920928955078125e-05
ubo100,1,0,inf,inf,reactive,60,10,60,1,False,False,"[0, 4, 10, 9, 5, 8, 8, 3, 6, 8, 4, 7, 2, 3, 7, 2, 11, 5, 6, 2, 5, 11, 1, 11, 7, 6, 5, 2, 6, 2, 1, 10, 6, 6, 5, 8, 5, 1, 2, 2, 1, 10, 6, 10, 5, 1, 5, 1, 1, 4, 4, 8, 1, 7, 1, 3, 1, 5, 9, 6, 5, 7, 4, 1, 2, 5, 5, 4, 3, 7, 1, 11, 11, 2, 5, 5, 1, 8, 2, 1, 6, 6, 4, 1, 9, 11, 7, 6, 1, 6, 11, 4, 5, 12, 8, 5, 5, 2, 5, 1, 2, 0]",,0.06644701957702637,1.4781951904296875e-05
ubo100,1,0,inf,inf,reactive,60,10,60,1,False,False,"[0, 6, 12, 5, 8, 8, 6, 2, 5, 11, 3, 6, 3, 1, 5, 4, 10, 7, 4, 2, 7, 6, 1, 8, 5, 6, 3, 1, 5, 5, 1, 12, 8, 9, 8, 10, 9, 1, 6, 2, 1, 9, 10, 11, 7, 1, 3, 1, 1, 5, 7, 8, 2, 8, 1, 3, 1, 9, 7, 7, 5, 8, 4, 1, 1, 8, 4, 4, 6, 11, 1, 9, 6, 1, 9, 8, 1, 8, 2, 1, 7, 5, 4, 3, 7, 6, 6, 2, 1, 6, 7, 6, 2, 7, 10, 7, 5, 1, 4, 1, 2, 0]",,0.06668210029602051,1.3828277587890625e-05
ubo100,1,0,inf,inf,reactive,60,10,60,1,False,False,"[0, 7, 9, 7, 4, 9, 9, 2, 5, 9, 6, 5, 4, 2, 3, 6, 9, 5, 5, 3, 9, 9, 1, 11, 5, 5, 7, 2, 8, 3, 1, 9, 7, 6, 6, 7, 7, 1, 2, 1, 1, 9, 8, 7, 6, 1, 6, 1, 1, 3, 6, 6, 2, 8, 2, 2, 1, 5, 8, 8, 2, 7, 4, 1, 2, 4, 2, 2, 7, 9, 2, 10, 11, 1, 7, 6, 1, 9, 5, 1, 5, 5, 3, 3, 12, 10, 3, 2, 1, 6, 10, 6, 4, 9, 9, 8, 3, 1, 2, 1, 1, 0]",,0.06572890281677246,1.0251998901367188e-05
ubo100,1,0,inf,inf,reactive,60,10,60,1,False,False,"[0, 7, 9, 8, 8, 7, 6, 3, 7, 7, 6, 6, 3, 2, 5, 2, 12, 7, 8, 6, 8, 10, 1, 9, 9, 5, 6, 1, 7, 2, 1, 10, 5, 12, 8, 9, 7, 1, 5, 1, 1, 8, 10, 9, 3, 1, 3, 1, 1, 3, 4, 11, 1, 6, 2, 2, 1, 7, 7, 11, 3, 5, 7, 1, 2, 5, 3, 5, 5, 7, 1, 10, 10, 1, 8, 6, 1, 6, 4, 1, 3, 2, 4, 3, 7, 8, 5, 2, 1, 6, 9, 8, 4, 11, 12, 7, 4, 1, 5, 2, 2, 0]",,0.06654071807861328,1.4066696166992188e-05
ubo100,1,0,inf,inf,reactive,60,10,60,1,False,False,"[0, 3, 8, 9, 8, 5, 6, 3, 4, 10, 2, 6, 2, 3, 7, 4, 8, 8, 7, 5, 7, 7, 1, 8, 6, 8, 7, 3, 8, 2, 1, 6, 7, 7, 7, 11, 6, 1, 6, 2, 1, 10, 11, 6, 4, 1, 4, 1, 1, 5, 4, 9, 1, 6, 1, 2, 1, 8, 5, 8, 2, 7, 6, 1, 2, 5, 2, 5, 4, 11, 3, 8, 11, 1, 7, 7, 1, 7, 3, 1, 7, 2, 3, 1, 11, 10, 4, 3, 1, 7, 7, 4, 5, 8, 7, 9, 3, 1, 5, 2, 2, 0]",,0.21477198600769043,1.52587890625e-05
