,instance_folder,instance_id,sample,rel_regret,obj,obj_pi,method,real_durations,start_times,time_limit_pi,time_limit_rescheduling,solver_calls,feasibility,feasibility_pi
0,j10,1,0,100.0,inf,26.0,reactive,"[0, 2, 10, 1, 1, 4, 4, 10, 2, 7, 1, 0]","[0, 3, 0, 0, 0, 7, 20, 10, 24, 12, 5, 26]",60,10,8,False,True
1,j10,1,1,0.0,26.0,26.0,reactive,"[0, 1, 8, 1, 4, 2, 3, 8, 1, 4, 1, 0]","[0, 3, 0, 0, 0, 7, 20, 10, 24, 12, 5, 26]",60,10,12,True,True
2,j10,1,2,100.0,inf,26.0,reactive,"[0, 2, 9, 1, 4, 1, 5, 11, 2, 6, 1, 0]","[0, 3, 0, 0, 0, 7, 20, 10, 24, 12, 5, 26]",60,10,10,False,True
3,j10,1,3,100.0,inf,27.0,reactive,"[0, 1, 8, 2, 4, 3, 3, 12, 2, 5, 1, 0]","[0, 3, 0, 0, 0, 7, 20, 10, 24, 12, 5, 26]",60,10,10,False,True
4,j10,1,4,100.0,inf,27.0,reactive,"[0, 4, 12, 3, 2, 2, 3, 11, 2, 4, 1, 0]","[0, 3, 0, 0, 0, 7, 20, 10, 24, 12, 5, 26]",60,10,8,False,True
5,j10,1,5,100.0,inf,26.0,reactive,"[0, 2, 10, 4, 3, 2, 3, 10, 1, 5, 1, 0]","[0, 3, 0, 0, 0, 7, 20, 10, 24, 12, 5, 26]",60,10,4,False,True
6,j10,1,6,100.0,inf,26.0,reactive,"[0, 2, 10, 1, 1, 2, 6, 11, 1, 4, 1, 0]","[0, 3, 0, 0, 0, 7, 20, 10, 24, 12, 5, 26]",60,10,10,False,True
7,j10,1,7,100.0,inf,26.0,reactive,"[0, 2, 10, 2, 3, 4, 3, 11, 2, 7, 1, 0]","[0, 3, 0, 0, 0, 7, 20, 10, 24, 12, 5, 26]",60,10,8,False,True
8,j10,1,8,0.0,26.0,26.0,reactive,"[0, 4, 9, 2, 1, 3, 4, 10, 2, 6, 1, 0]","[0, 3, 0, 0, 0, 7, 20, 10, 24, 12, 5, 26]",60,10,12,True,True
9,j10,1,9,100.0,inf,26.0,reactive,"[0, 2, 11, 4, 2, 2, 6, 7, 1, 6, 1, 0]","[0, 3, 0, 0, 0, 7, 20, 10, 24, 12, 5, 26]",60,10,4,False,True
10,j10,2,0,0.0,inf,inf,reactive,"[0, 5, 7, 10, 1, 8, 7, 1, 7, 6, 11, 0]",,60,10,1,False,False
11,j10,2,1,0.0,inf,inf,reactive,"[0, 5, 6, 7, 1, 11, 11, 2, 8, 9, 9, 0]",,60,10,1,False,False
12,j10,2,2,0.0,inf,inf,reactive,"[0, 3, 9, 12, 1, 9, 11, 2, 10, 9, 11, 0]",,60,10,1,False,False
13,j10,2,3,0.0,inf,inf,reactive,"[0, 2, 7, 7, 1, 8, 7, 2, 8, 9, 7, 0]",,60,10,1,False,False
14,j10,2,4,0.0,inf,inf,reactive,"[0, 5, 7, 7, 1, 10, 11, 1, 10, 6, 10, 0]",,60,10,1,False,False
15,j10,2,5,0.0,inf,inf,reactive,"[0, 3, 6, 9, 1, 7, 9, 1, 10, 7, 8, 0]",,60,10,1,False,False
16,j10,2,6,0.0,inf,inf,reactive,"[0, 4, 6, 8, 1, 8, 7, 1, 11, 6, 8, 0]",,60,10,1,False,False
17,j10,2,7,0.0,inf,inf,reactive,"[0, 2, 6, 12, 1, 7, 9, 2, 11, 9, 8, 0]",,60,10,1,False,False
18,j10,2,8,0.0,inf,inf,reactive,"[0, 2, 11, 7, 1, 11, 7, 2, 9, 6, 7, 0]",,60,10,1,False,False
19,j10,2,9,0.0,inf,inf,reactive,"[0, 4, 11, 11, 1, 9, 12, 1, 9, 5, 9, 0]",,60,10,1,False,False
20,j10,3,0,2.857142857142857,36.0,35.0,reactive,"[0, 1, 6, 4, 11, 5, 1, 4, 3, 12, 4, 0]","[0, 7, 0, 17, 23, 11, 20, 21, 29, 26, 23, 36]",60,10,12,True,True
21,j10,3,1,100.0,inf,34.0,reactive,"[0, 1, 7, 2, 7, 7, 2, 3, 5, 12, 7, 0]","[0, 7, 0, 17, 23, 11, 20, 21, 29, 26, 23, 36]",60,10,10,False,True
22,j10,3,2,100.0,inf,36.0,reactive,"[0, 1, 8, 3, 11, 7, 1, 5, 5, 7, 5, 0]","[0, 7, 0, 17, 23, 11, 20, 21, 29, 26, 23, 36]",60,10,4,False,True
23,j10,3,3,0.0,36.0,36.0,reactive,"[0, 1, 7, 4, 11, 5, 2, 5, 3, 10, 4, 0]","[0, 7, 0, 17, 23, 11, 20, 21, 29, 26, 23, 36]",60,10,12,True,True
24,j10,3,4,100.0,inf,37.0,reactive,"[0, 1, 4, 2, 10, 7, 3, 6, 3, 9, 4, 0]","[0, 7, 0, 17, 23, 11, 20, 21, 29, 26, 23, 36]",60,10,9,False,True
25,j10,3,5,0.0,36.0,36.0,reactive,"[0, 1, 7, 1, 6, 4, 2, 5, 6, 8, 4, 0]","[0, 7, 0, 17, 23, 11, 20, 21, 29, 26, 23, 36]",60,10,12,True,True
26,j10,3,6,5.882352941176471,36.0,34.0,reactive,"[0, 1, 7, 1, 7, 6, 1, 3, 6, 10, 6, 0]","[0, 7, 0, 17, 23, 11, 20, 21, 29, 26, 23, 36]",60,10,12,True,True
27,j10,3,7,100.0,inf,37.0,reactive,"[0, 1, 7, 4, 8, 7, 3, 6, 6, 12, 7, 0]","[0, 7, 0, 17, 23, 11, 20, 21, 29, 26, 23, 36]",60,10,8,False,True
