instance_name,method,nr_samples,test_sample_id,obj,obj_pi,rel_regret
j10_1,proactive,10,0,28.0,26.0,7.6923076923076925
j10_1,proactive,10,1,29.0,26.0,11.538461538461538
j10_1,proactive,10,2,28.0,26.0,7.6923076923076925
j10_1,proactive,10,3,inf,29.0,100.0
j10_1,proactive,10,4,28.0,26.0,7.6923076923076925
j10_1,proactive,10,5,28.0,26.0,7.6923076923076925
j10_1,proactive,10,6,28.0,28.0,0.0
j10_1,proactive,10,7,28.0,26.0,7.6923076923076925
j10_1,proactive,10,8,inf,26.0,100.0
j10_1,proactive,10,9,inf,29.0,100.0
j10_1,proactive,10,10,inf,28.0,100.0
j10_1,proactive,10,11,28.0,26.0,7.6923076923076925
j10_1,proactive,10,12,28.0,26.0,7.6923076923076925
j10_1,proactive,10,13,28.0,26.0,7.6923076923076925
j10_1,proactive,10,14,28.0,26.0,7.6923076923076925
j10_1,proactive,10,15,29.0,26.0,11.538461538461538
j10_1,proactive,10,16,inf,26.0,100.0
j10_1,proactive,10,17,29.0,26.0,11.538461538461538
j10_1,proactive,10,18,inf,27.0,100.0
j10_1,proactive,10,19,28.0,26.0,7.6923076923076925
j10_1,proactive,10,20,28.0,26.0,7.6923076923076925
j10_1,proactive,10,21,28.0,26.0,7.6923076923076925
j10_1,proactive,10,22,28.0,26.0,7.6923076923076925
j10_1,proactive,10,23,28.0,26.0,7.6923076923076925
j10_1,proactive,10,24,28.0,26.0,7.6923076923076925
j10_1,proactive,10,25,28.0,26.0,7.6923076923076925
j10_1,proactive,10,26,29.0,26.0,11.538461538461538
j10_1,proactive,10,27,29.0,26.0,11.538461538461538
j10_1,proactive,10,28,inf,27.0,100.0
j10_1,proactive,10,29,28.0,26.0,7.6923076923076925
j10_1,proactive,10,30,28.0,26.0,7.6923076923076925
j10_1,proactive,10,31,28.0,26.0,7.6923076923076925
j10_1,proactive,10,32,29.0,26.0,11.538461538461538
j10_1,proactive,10,33,28.0,26.0,7.6923076923076925
j10_1,proactive,10,34,29.0,26.0,11.538461538461538
j10_1,proactive,10,35,28.0,28.0,0.0
j10_1,proactive,10,36,28.0,26.0,7.6923076923076925
j10_1,proactive,10,37,inf,30.0,100.0
j10_1,proactive,10,38,28.0,26.0,7.6923076923076925
j10_1,proactive,10,39,29.0,26.0,11.538461538461538
j10_1,proactive,10,40,28.0,26.0,7.6923076923076925
j10_1,proactive,10,41,inf,26.0,100.0
j10_1,proactive,10,42,inf,27.0,100.0
j10_1,proactive,10,43,29.0,26.0,11.538461538461538
j10_1,proactive,10,44,28.0,26.0,7.6923076923076925
j10_1,proactive,10,45,28.0,26.0,7.6923076923076925
j10_1,proactive,10,46,28.0,26.0,7.6923076923076925
j10_1,proactive,10,47,inf,26.0,100.0
j10_1,proactive,10,48,28.0,26.0,7.6923076923076925
j10_1,proactive,10,49,28.0,26.0,7.6923076923076925
j10_2,proactive,10,0,inf,inf,0.0
j10_2,proactive,10,1,inf,inf,0.0
j10_2,proactive,10,2,inf,inf,0.0
j10_2,proactive,10,3,inf,inf,0.0
j10_2,proactive,10,4,inf,inf,0.0
j10_2,proactive,10,5,inf,inf,0.0
j10_2,proactive,10,6,inf,inf,0.0
j10_2,proactive,10,7,inf,inf,0.0
j10_2,proactive,10,8,inf,inf,0.0
j10_2,proactive,10,9,inf,inf,0.0
j10_2,proactive,10,10,inf,inf,0.0
j10_2,proactive,10,11,inf,inf,0.0
j10_2,proactive,10,12,inf,inf,0.0
j10_2,proactive,10,13,inf,inf,0.0
j10_2,proactive,10,14,inf,inf,0.0
j10_2,proactive,10,15,inf,inf,0.0
j10_2,proactive,10,16,inf,inf,0.0
j10_2,proactive,10,17,inf,inf,0.0
j10_2,proactive,10,18,inf,inf,0.0
j10_2,proactive,10,19,inf,inf,0.0
j10_2,proactive,10,20,inf,inf,0.0
j10_2,proactive,10,21,inf,inf,0.0
j10_2,proactive,10,22,inf,inf,0.0
j10_2,proactive,10,23,inf,inf,0.0
j10_2,proactive,10,24,inf,inf,0.0
j10_2,proactive,10,25,inf,inf,0.0
j10_2,proactive,10,26,inf,inf,0.0
