instance_name,method,nr_samples,test_sample_id,obj,obj_pi,rel_regret,time_limit_SAA
j30_1,proactive,1,0,inf,inf,0.0,600.0
j30_1,proactive,1,1,inf,inf,0.0,600.0
j30_1,proactive,1,2,inf,inf,0.0,600.0
j30_1,proactive,1,3,inf,inf,0.0,600.0
j30_1,proactive,1,4,inf,inf,0.0,600.0
j30_1,proactive,1,5,inf,inf,0.0,600.0
j30_1,proactive,1,6,inf,inf,0.0,600.0
j30_1,proactive,1,7,inf,inf,0.0,600.0
j30_1,proactive,1,8,inf,inf,0.0,600.0
j30_1,proactive,1,9,inf,inf,0.0,600.0
j30_1,proactive,1,10,inf,inf,0.0,600.0
j30_1,proactive,1,11,inf,inf,0.0,600.0
j30_1,proactive,1,12,inf,inf,0.0,600.0
j30_1,proactive,1,13,inf,inf,0.0,600.0
j30_1,proactive,1,14,inf,inf,0.0,600.0
j30_1,proactive,1,15,inf,inf,0.0,600.0
j30_1,proactive,1,16,inf,inf,0.0,600.0
j30_1,proactive,1,17,inf,inf,0.0,600.0
j30_1,proactive,1,18,inf,inf,0.0,600.0
j30_1,proactive,1,19,inf,inf,0.0,600.0
j30_1,proactive,1,20,inf,inf,0.0,600.0
j30_1,proactive,1,21,inf,inf,0.0,600.0
j30_1,proactive,1,22,inf,inf,0.0,600.0
j30_1,proactive,1,23,inf,inf,0.0,600.0
j30_1,proactive,1,24,inf,inf,0.0,600.0
j30_1,proactive,1,25,inf,inf,0.0,600.0
j30_1,proactive,1,26,inf,inf,0.0,600.0
j30_1,proactive,1,27,inf,inf,0.0,600.0
j30_1,proactive,1,28,inf,inf,0.0,600.0
j30_1,proactive,1,29,inf,inf,0.0,600.0
j30_1,proactive,1,30,inf,inf,0.0,600.0
j30_1,proactive,1,31,inf,inf,0.0,600.0
j30_1,proactive,1,32,inf,inf,0.0,600.0
j30_1,proactive,1,33,inf,inf,0.0,600.0
j30_1,proactive,1,34,inf,inf,0.0,600.0
j30_1,proactive,1,35,inf,inf,0.0,600.0
j30_1,proactive,1,36,inf,inf,0.0,600.0
j30_1,proactive,1,37,inf,inf,0.0,600.0
j30_1,proactive,1,38,inf,inf,0.0,600.0
j30_1,proactive,1,39,inf,inf,0.0,600.0
j30_1,proactive,1,40,inf,inf,0.0,600.0
j30_1,proactive,1,41,inf,inf,0.0,600.0
j30_1,proactive,1,42,inf,inf,0.0,600.0
j30_1,proactive,1,43,inf,inf,0.0,600.0
j30_1,proactive,1,44,inf,inf,0.0,600.0
