instance_folder,instance_id,method,time_limit_pi,time_limit_cp_stnu,obj,obj_pi,feasibility,feasibility_pi,rel_regret,real_durations,start_times
j10,1,STNU,60,60,26.0,26.0,True,True,0.0,"[0, 2, 9, 1, 1, 2, 5, 11, 2, 3, 1, 0]","[0, 4, 0, 0, 0, 7, 20, 9, 24, 13, 6, 26]"
j10,1,STNU,60,60,26.0,26.0,True,True,0.0,"[0, 1, 7, 1, 2, 1, 3, 8, 1, 5, 1, 0]","[0, 4, 0, 0, 0, 7, 18, 8, 24, 13, 6, 26]"
j10,1,STNU,60,60,26.0,26.0,True,True,0.0,"[0, 1, 9, 1, 3, 1, 4, 10, 2, 4, 1, 0]","[0, 4, 0, 0, 0, 7, 19, 9, 24, 13, 6, 26]"
j10,1,STNU,60,60,26.0,26.0,True,True,0.0,"[0, 2, 12, 1, 3, 2, 3, 7, 2, 4, 1, 0]","[0, 4, 0, 0, 0, 7, 19, 12, 24, 13, 6, 26]"
j10,1,STNU,60,60,26.0,26.0,True,True,0.0,"[0, 2, 6, 1, 2, 1, 2, 11, 2, 5, 1, 0]","[0, 4, 0, 0, 0, 7, 19, 8, 24, 13, 6, 26]"
j10,1,STNU,60,60,26.0,26.0,True,True,0.0,"[0, 2, 6, 3, 3, 2, 3, 7, 2, 7, 1, 0]","[0, 4, 0, 0, 0, 7, 20, 9, 24, 13, 6, 26]"
j10,1,STNU,60,60,26.0,26.0,True,True,0.0,"[0, 1, 7, 1, 3, 1, 2, 11, 2, 4, 1, 0]","[0, 4, 0, 0, 0, 7, 19, 8, 24, 13, 6, 26]"
j10,1,STNU,60,60,26.0,26.0,True,True,0.0,"[0, 3, 6, 1, 2, 3, 4, 7, 1, 4, 1, 0]","[0, 4, 0, 0, 0, 7, 17, 10, 24, 13, 6, 26]"
j10,1,STNU,60,60,28.0,28.0,True,True,0.0,"[0, 3, 11, 1, 2, 2, 5, 12, 1, 3, 1, 0]","[0, 4, 0, 0, 0, 7, 23, 11, 24, 13, 6, 28]"
j10,1,STNU,60,60,26.0,26.0,True,True,0.0,"[0, 3, 8, 2, 1, 3, 2, 6, 2, 4, 1, 0]","[0, 4, 0, 0, 0, 7, 17, 10, 24, 13, 6, 26]"
j10,2,STNU,60,60,inf,inf,False,False,0.0,"[0, 3, 11, 9, 1, 6, 6, 2, 11, 9, 11, 0]",
j10,2,STNU,60,60,inf,inf,False,False,0.0,"[0, 4, 8, 10, 1, 9, 11, 2, 11, 5, 9, 0]",
j10,2,STNU,60,60,inf,inf,False,False,0.0,"[0, 2, 9, 10, 1, 10, 11, 1, 7, 5, 10, 0]",
j10,2,STNU,60,60,inf,inf,False,False,0.0,"[0, 4, 6, 11, 1, 8, 10, 2, 7, 5, 8, 0]",
j10,2,STNU,60,60,inf,inf,False,False,0.0,"[0, 2, 10, 6, 1, 10, 7, 1, 10, 6, 6, 0]",
j10,2,STNU,60,60,inf,inf,False,False,0.0,"[0, 4, 9, 7, 1, 8, 10, 1, 8, 7, 6, 0]",
j10,2,STNU,60,60,inf,inf,False,False,0.0,"[0, 3, 8, 12, 1, 8, 6, 1, 11, 6, 8, 0]",
j10,2,STNU,60,60,inf,inf,False,False,0.0,"[0, 2, 6, 12, 1, 11, 11, 2, 8, 6, 11, 0]",
j10,2,STNU,60,60,inf,inf,False,False,0.0,"[0, 2, 8, 6, 1, 11, 6, 2, 11, 5, 7, 0]",
j10,2,STNU,60,60,inf,inf,False,False,0.0,"[0, 5, 7, 7, 1, 11, 10, 1, 9, 5, 9, 0]",
j10,3,STNU,60,60,inf,34.0,False,True,100.0,"[0, 1, 4, 2, 8, 7, 2, 2, 2, 11, 6, 0]",
j10,3,STNU,60,60,inf,34.0,False,True,100.0,"[0, 1, 5, 2, 11, 3, 3, 2, 6, 8, 6, 0]",
j10,3,STNU,60,60,inf,34.0,False,True,100.0,"[0, 1, 8, 3, 6, 6, 2, 3, 4, 10, 6, 0]",
j10,3,STNU,60,60,inf,37.0,False,True,100.0,"[0, 1, 4, 3, 6, 7, 3, 6, 4, 6, 6, 0]",
j10,3,STNU,60,60,inf,33.0,False,True,100.0,"[0, 1, 4, 1, 10, 5, 2, 2, 6, 9, 3, 0]",
j10,3,STNU,60,60,inf,36.0,False,True,100.0,"[0, 1, 5, 3, 10, 7, 3, 5, 5, 9, 6, 0]",
j10,3,STNU,60,60,inf,37.0,False,True,100.0,"[0, 1, 6, 3, 9, 7, 3, 6, 6, 6, 6, 0]",
j10,3,STNU,60,60,inf,35.0,False,True,100.0,"[0, 1, 7, 1, 9, 4, 1, 4, 4, 8, 3, 0]",
j10,3,STNU,60,60,inf,39.0,False,True,100.0,"[0, 1, 6, 3, 7, 7, 1, 6, 6, 12, 4, 0]",
j10,3,STNU,60,60,inf,34.0,False,True,100.0,"[0, 1, 7, 2, 10, 4, 3, 3, 2, 6, 5, 0]",
j10,4,STNU,60,60,inf,37.0,False,True,100.0,"[0, 9, 2, 2, 3, 5, 1, 5, 4, 6, 8, 0]",
j10,4,STNU,60,60,inf,37.0,False,True,100.0,"[0, 8, 2, 4, 1, 9, 1, 5, 3, 6, 4, 0]",
j10,4,STNU,60,60,inf,38.0,False,True,100.0,"[0, 9, 1, 3, 2, 9, 1, 3, 5, 11, 6, 0]",
j10,4,STNU,60,60,inf,41.0,False,True,100.0,"[0, 9, 2, 5, 3, 9, 1, 6, 3, 9, 6, 0]",
j10,4,STNU,60,60,inf,39.0,False,True,100.0,"[0, 9, 2, 5, 1, 7, 1, 5, 3, 11, 6, 0]",
j10,4,STNU,60,60,inf,36.0,False,True,100.0,"[0, 6, 2, 4, 1, 6, 1, 6, 4, 9, 7, 0]",
j10,4,STNU,60,60,inf,32.0,False,True,100.0,"[0, 6, 1, 2, 3, 9, 1, 2, 5, 10, 7, 0]",
j10,4,STNU,60,60,inf,37.0,False,True,100.0,"[0, 9, 2, 5, 1, 9, 1, 4, 5, 10, 5, 0]",
j10,4,STNU,60,60,inf,34.0,False,True,100.0,"[0, 7, 2, 3, 2, 6, 1, 2, 7, 10, 6, 0]",
j10,4,STNU,60,60,inf,34.0,False,True,100.0,"[0, 7, 2, 3, 1, 5, 1, 2, 6, 8, 8, 0]",
j10,5,STNU,60,60,inf,33.0,False,True,100.0,"[0, 7, 9, 2, 2, 1, 9, 3, 2, 2, 10, 0]",
j10,5,STNU,60,60,inf,31.0,False,True,100.0,"[0, 8, 9, 2, 2, 2, 9, 7, 1, 4, 7, 0]",
j10,5,STNU,60,60,inf,30.0,False,True,100.0,"[0, 9, 6, 2, 1, 2, 7, 5, 1, 4, 9, 0]",
