instance_name,method,test_sample_id,obj,obj_pi,rel_regret
ubo100_1,STNU,0,inf,inf,0
ubo100_1,STNU,1,inf,inf,0
ubo100_2,STNU,0,inf,447.0,100
ubo100_2,STNU,1,inf,inf,0
ubo100_3,STNU,0,inf,inf,0
ubo100_3,STNU,1,inf,inf,0
ubo100_4,STNU,0,inf,376.0,100
ubo100_4,STNU,1,inf,359.0,100
ubo100_5,STNU,0,inf,317.0,100
ubo100_5,STNU,1,inf,339.0,100
ubo100_6,STNU,0,inf,inf,0
ubo100_6,STNU,1,inf,353.0,100
ubo100_7,STNU,0,inf,338.0,100
ubo100_7,STNU,1,inf,355.0,100
ubo100_8,STNU,0,inf,347.0,100
ubo100_8,STNU,1,inf,357.0,100
ubo100_9,STNU,0,inf,374.0,100
ubo100_9,STNU,1,inf,inf,0
