,instance_folder,instance_id,mode,dc
0,j10,1,quantile_0.25,False
1,j10,2,quantile_0.25,False
2,j10,3,quantile_0.25,False
3,j10,4,quantile_0.25,False
4,j10,5,quantile_0.25,False
5,j10,6,quantile_0.25,False
6,j10,7,quantile_0.25,False
7,j10,8,quantile_0.25,False
8,j10,9,quantile_0.25,False
9,j10,10,quantile_0.25,False
10,j10,11,quantile_0.25,False
11,j10,12,quantile_0.25,False
12,j10,13,quantile_0.25,False
13,j10,14,quantile_0.25,False
14,j10,15,quantile_0.25,False
15,j10,16,quantile_0.25,True
16,j10,17,quantile_0.25,False
17,j10,18,quantile_0.25,False
18,j10,19,quantile_0.25,False
19,j10,20,quantile_0.25,False
20,j10,21,quantile_0.25,False
21,j10,22,quantile_0.25,False
22,j10,23,quantile_0.25,False
23,j10,24,quantile_0.25,False
24,j10,25,quantile_0.25,False
25,j10,26,quantile_0.25,False
26,j10,27,quantile_0.25,False
27,j10,28,quantile_0.25,True
28,j10,29,quantile_0.25,False
29,j10,30,quantile_0.25,False
30,j10,31,quantile_0.25,False
31,j10,32,quantile_0.25,False
32,j10,33,quantile_0.25,False
33,j10,34,quantile_0.25,False
34,j10,35,quantile_0.25,False
35,j10,36,quantile_0.25,False
36,j10,37,quantile_0.25,False
37,j10,38,quantile_0.25,False
38,j10,39,quantile_0.25,False
39,j10,40,quantile_0.25,False
40,j10,41,quantile_0.25,False
41,j10,42,quantile_0.25,False
42,j10,43,quantile_0.25,False
43,j10,44,quantile_0.25,False
44,j10,45,quantile_0.25,False
45,j10,46,quantile_0.25,False
46,j10,47,quantile_0.25,False
47,j10,48,quantile_0.25,False
48,j10,49,quantile_0.25,False
49,j20,1,quantile_0.25,False
50,j20,2,quantile_0.25,False
51,j20,3,quantile_0.25,False
52,j20,4,quantile_0.25,False
53,j20,5,quantile_0.25,False
54,j20,6,quantile_0.25,False
55,j20,7,quantile_0.25,False
56,j20,8,quantile_0.25,False
57,j20,9,quantile_0.25,False
58,j20,10,quantile_0.25,False
59,j20,11,quantile_0.25,False
60,j20,12,quantile_0.25,False
61,j20,13,quantile_0.25,False
62,j20,14,quantile_0.25,False
63,j20,15,quantile_0.25,False
64,j20,16,quantile_0.25,False
65,j20,17,quantile_0.25,False
66,j20,18,quantile_0.25,False
67,j20,19,quantile_0.25,True
68,j20,20,quantile_0.25,False
69,j20,21,quantile_0.25,False
70,j20,22,quantile_0.25,False
71,j20,23,quantile_0.25,False
72,j20,24,quantile_0.25,False
73,j20,25,quantile_0.25,False
74,j20,26,quantile_0.25,True
75,j20,27,quantile_0.25,False
76,j20,28,quantile_0.25,False
77,j20,29,quantile_0.25,False
78,j20,30,quantile_0.25,False
79,j20,31,quantile_0.25,False
80,j20,32,quantile_0.25,False
81,j20,33,quantile_0.25,False
82,j20,34,quantile_0.25,False
83,j20,35,quantile_0.25,False
84,j20,36,quantile_0.25,False
85,j20,37,quantile_0.25,False
86,j20,38,quantile_0.25,False
87,j20,39,quantile_0.25,False
88,j20,40,quantile_0.25,False
89,j20,41,quantile_0.25,False
90,j20,42,quantile_0.25,False
91,j20,43,quantile_0.25,False
92,j20,44,quantile_0.25,False
93,j20,45,quantile_0.25,False
94,j20,46,quantile_0.25,False
95,j20,47,quantile_0.25,False
96,j20,48,quantile_0.25,False
97,j20,49,quantile_0.25,False
98,j30,1,quantile_0.25,False
99,j30,2,quantile_0.25,False
100,j30,3,quantile_0.25,False
101,j30,4,quantile_0.25,False
102,j30,5,quantile_0.25,False
103,j30,6,quantile_0.25,False
104,j30,7,quantile_0.25,False
105,j30,8,quantile_0.25,False
106,j30,9,quantile_0.25,False
107,j30,10,quantile_0.25,False
108,j30,11,quantile_0.25,False
109,j30,12,quantile_0.25,False
110,j30,13,quantile_0.25,False
111,j30,14,quantile_0.25,False
112,j30,15,quantile_0.25,False
113,j30,16,quantile_0.25,False
114,j30,17,quantile_0.25,False
115,j30,18,quantile_0.25,False
116,j30,19,quantile_0.25,False
117,j30,20,quantile_0.25,True
118,j30,21,quantile_0.25,False
119,j30,22,quantile_0.25,False
120,j30,23,quantile_0.25,False
121,j30,24,quantile_0.25,False
122,j30,25,quantile_0.25,False
123,j30,26,quantile_0.25,False
124,j30,27,quantile_0.25,False
125,j30,28,quantile_0.25,False
126,j30,29,quantile_0.25,False
127,j30,30,quantile_0.25,False
128,j30,31,quantile_0.25,False
129,j30,32,quantile_0.25,False
