instance_folder,instance_id,rel_regret,obj,obj_pi,method,time_limit_pi,time_limit_rescheduling,time_limit_initial,solver_calls,feasibility,feasibility_pi,real_durations,start_times,time_offline,time_online
ubo50,1,0.0,inf,inf,reactive,10,10,10,1,False,False,"[0, 2, 1, 3, 6, 2, 3, 4, 3, 2, 2, 7, 3, 7, 5, 1, 3, 11, 5, 8, 8, 1, 6, 8, 2, 4, 2, 6, 5, 5, 1, 6, 4, 2, 1, 4, 2, 1, 7, 2, 2, 1, 5, 3, 4, 6, 1, 2, 6, 4, 7, 0]",,0.04695773124694824,8.344650268554688e-06
ubo50,2,0.0,inf,inf,reactive,10,10,10,1,False,False,"[0, 1, 1, 1, 1, 3, 1, 7, 9, 4, 2, 2, 7, 5, 1, 6, 6, 2, 8, 8, 2, 1, 1, 3, 7, 5, 3, 2, 7, 5, 3, 9, 1, 1, 2, 5, 4, 4, 1, 3, 9, 1, 5, 5, 5, 2, 3, 2, 5, 6, 6, 0]",,0.04377293586730957,1.0013580322265625e-05
ubo50,3,50.29585798816568,254.0,169.0,reactive,10,10,10,52,True,True,"[0, 6, 6, 8, 2, 2, 6, 11, 6, 8, 1, 9, 5, 1, 6, 9, 6, 6, 9, 1, 4, 4, 10, 5, 2, 2, 3, 8, 9, 2, 4, 10, 4, 9, 2, 1, 1, 9, 7, 8, 7, 2, 4, 6, 3, 4, 4, 1, 4, 4, 1, 0]","[0, 42, 1, 20, 180, 0, 12, 116, 165, 117, 98, 183, 193, 183, 91, 217, 187, 20, 32, 113, 128, 42, 49, 100, 157, 230, 160, 76, 137, 62, 3, 100, 222, 147, 20, 29, 88, 208, 168, 49, 68, 216, 23, 237, 200, 208, 33, 252, 230, 246, 18, 254]",10.027930736541748,308.2406163215637
ubo50,4,55.67567567567568,288.0,185.0,reactive,10,10,10,52,True,True,"[0, 11, 6, 4, 1, 1, 2, 6, 7, 3, 1, 2, 2, 5, 4, 5, 4, 3, 5, 7, 7, 3, 3, 12, 7, 1, 1, 1, 1, 9, 4, 9, 2, 6, 9, 4, 8, 9, 11, 1, 5, 1, 2, 2, 8, 6, 1, 7, 3, 1, 11, 0]","[0, 163, 10, 46, 192, 30, 77, 0, 20, 151, 218, 52, 71, 163, 175, 208, 192, 131, 218, 201, 138, 232, 122, 138, 201, 250, 171, 214, 157, 220, 129, 97, 56, 59, 109, 184, 33, 252, 84, 232, 19, 262, 159, 263, 280, 264, 136, 238, 277, 274, 195, 288]",10.035217761993408,205.72196507453918
ubo50,5,0.0,inf,inf,reactive,10,10,10,1,False,False,"[0, 5, 7, 3, 8, 1, 10, 4, 3, 1, 11, 2, 5, 2, 4, 7, 7, 2, 6, 1, 4, 2, 9, 5, 5, 10, 4, 4, 2, 11, 1, 3, 1, 10, 3, 8, 6, 6, 1, 9, 2, 1, 1, 7, 1, 1, 6, 9, 6, 6, 5, 0]",,0.036965131759643555,1.1920928955078125e-05
ubo50,6,41.23711340206186,274.0,194.0,reactive,10,10,10,52,True,True,"[0, 5, 8, 7, 8, 1, 6, 11, 3, 10, 8, 7, 1, 7, 6, 8, 5, 1, 9, 3, 1, 5, 2, 3, 6, 1, 7, 6, 1, 1, 7, 7, 1, 2, 10, 8, 4, 9, 5, 10, 7, 4, 2, 6, 1, 1, 6, 6, 8, 2, 1, 0]","[0, 0, 71, 27, 6, 133, 96, 55, 156, 231, 104, 186, 138, 37, 6, 144, 114, 160, 125, 90, 196, 46, 164, 67, 184, 243, 45, 71, 83, 256, 231, 259, 154, 114, 121, 81, 211, 199, 18, 219, 142, 178, 135, 246, 267, 178, 166, 267, 37, 127, 181, 274]",2.0030629634857178,16.95169997215271
ubo50,7,0.0,inf,inf,reactive,10,10,10,1,False,False,"[0, 2, 6, 2, 2, 5, 1, 5, 2, 4, 9, 10, 11, 9, 8, 6, 3, 2, 6, 6, 9, 6, 7, 4, 11, 1, 6, 8, 1, 4, 9, 1, 1, 6, 1, 5, 3, 10, 11, 9, 1, 5, 1, 6, 1, 6, 2, 2, 3, 6, 8, 0]",,0.03451395034790039,8.106231689453125e-06
ubo50,8,0.0,inf,inf,reactive,10,10,10,1,False,False,"[0, 1, 5, 2, 5, 9, 3, 5, 8, 3, 8, 3, 5, 3, 1, 2, 3, 6, 4, 1, 8, 1, 6, 2, 6, 3, 1, 8, 12, 1, 7, 1, 1, 10, 3, 8, 1, 2, 2, 3, 2, 6, 2, 8, 8, 5, 1, 3, 5, 7, 6, 0]",,0.035172224044799805,6.9141387939453125e-06
ubo50,9,54.857142857142854,271.0,175.0,reactive,10,10,10,52,True,True,"[0, 6, 2, 4, 2, 5, 7, 3, 8, 1, 2, 2, 1, 7, 9, 2, 3, 7, 5, 6, 1, 3, 2, 1, 2, 4, 6, 10, 2, 1, 8, 3, 6, 5, 3, 6, 6, 1, 6, 1, 5, 1, 7, 1, 1, 11, 8, 6, 10, 3, 7, 0]","[0, 39, 0, 15, 187, 76, 46, 70, 36, 70, 231, 174, 114, 141, 96, 39, 151, 6, 249, 235, 106, 108, 243, 249, 126, 55, 177, 196, 190, 29, 209, 76, 21, 131, 151, 26, 222, 209, 212, 108, 63, 158, 116, 246, 32, 259, 84, 259, 196, 126, 161, 268]",10.029479742050171,63.3401312828064
ubo50,10,58.68263473053892,265.0,167.0,reactive,10,10,10,52,True,True,"[0, 2, 6, 1, 2, 3, 10, 2, 8, 9, 8, 4, 9, 6, 3, 1, 6, 7, 1, 1, 2, 1, 2, 1, 10, 7, 1, 6, 3, 4, 12, 2, 1, 1, 1, 5, 8, 5, 4, 1, 2, 3, 6, 2, 6, 4, 5, 6, 10, 1, 7, 0]","[0, 33, 0, 0, 33, 13, 21, 0, 113, 229, 55, 182, 55, 153, 207, 69, 90, 126, 67, 123, 84, 202, 139, 248, 72, 191, 11, 46, 199, 176, 163, 36, 36, 103, 256, 139, 113, 106, 207, 226, 250, 145, 205, 242, 216, 258, 40, 258, 126, 149, 218, 265]",10.03327989578247,134.68059277534485
ubo50,11,18.978102189781023,163.0,137.0,reactive,10,10,10,52,True,True,"[0, 2, 4, 6, 6, 2, 2, 5, 5, 11, 4, 8, 6, 2, 4, 6, 5, 1, 1, 6, 11, 9, 1, 6, 6, 2, 1, 1, 2, 5, 4, 10, 8, 7, 10, 6, 1, 1, 2, 7, 1, 5, 5, 8, 6, 12, 1, 9, 3, 1, 10, 0]","[0, 0, 6, 0, 10, 0, 57, 150, 48, 78, 40, 67, 63, 19, 107, 107, 111, 128, 88, 91, 33, 0, 148, 25, 88, 63, 33, 61, 71, 78, 48, 135, 138, 23, 138, 48, 19, 104, 120, 130, 36, 80, 91, 54, 150, 150, 46, 116, 151, 131, 99, 160]",2.808871269226074,41.71147584915161
ubo50,12,11.504424778761061,126.0,113.0,reactive,10,10,10,52,True,True,"[0, 5, 2, 9, 5, 6, 1, 2, 5, 3, 2, 9, 1, 6, 1, 1, 3, 12, 6, 12, 3, 1, 5, 1, 6, 8, 4, 4, 5, 11, 2, 2, 2, 11, 3, 3, 5, 7, 8, 1, 1, 5, 6, 3, 3, 3, 1, 8, 2, 6, 5, 0]","[0, 0, 0, 0, 0, 45, 22, 60, 89, 87, 38, 74, 97, 14, 45, 38, 95, 60, 80, 97, 30, 36, 110, 22, 48, 26, 98, 7, 38, 107, 0, 24, 42, 48, 14, 74, 101, 62, 118, 34, 24, 120, 52, 6, 80, 97, 118, 87, 119, 110, 101, 126]",0.2523808479309082,6.273660898208618
ubo50,13,6.7164179104477615,143.0,134.0,reactive,10,10,10,52,True,True,"[0, 11, 6, 6, 9, 8, 1, 5, 2, 6, 7, 11, 1, 1, 6, 1, 7, 3, 11, 1, 3, 2, 1, 8, 1, 5, 5, 8, 5, 5, 8, 1, 1, 1, 6, 8, 6, 5, 3, 10, 9, 5, 2, 2, 1, 8, 4, 5, 3, 3, 2, 0]","[0, 95, 0, 33, 14, 0, 0, 123, 112, 50, 71, 53, 76, 130, 59, 120, 39, 54, 14, 67, 33, 47, 30, 76, 116, 86, 47, 107, 8, 92, 58, 6, 79, 116, 133, 82, 80, 40, 31, 27, 101, 132, 68, 140, 141, 122, 58, 110, 68, 102, 120, 143]",0.29678988456726074,5.633571147918701
