instance_folder,instance_id,rel_regret,obj,obj_pi,method,time_limit_pi,time_limit_rescheduling,time_limit_initial,solver_calls,feasibility,feasibility_pi,real_durations,start_times,time_offline,time_online,mode
j10,1,19.23076923076923,31.0,26.0,reactive,60,10,60,12,True,True,"[0, 2, 9, 1, 1, 2, 5, 11, 2, 3, 1, 0]","[0, 4, 0, 0, 0, 7, 26, 13, 26, 13, 6, 31]",0.03658103942871094,0.3489561080932617,robust
j10,1,0.0,26.0,26.0,reactive,60,10,60,12,True,True,"[0, 1, 7, 1, 2, 1, 3, 8, 1, 5, 1, 0]","[0, 4, 0, 0, 0, 7, 8, 13, 24, 13, 6, 26]",0.03373885154724121,0.3622579574584961,robust
j10,1,19.23076923076923,31.0,26.0,reactive,60,10,60,12,True,True,"[0, 1, 9, 1, 3, 1, 4, 10, 2, 4, 1, 0]","[0, 4, 0, 0, 0, 7, 26, 13, 26, 13, 6, 31]",0.03786492347717285,0.37999796867370605,robust
j10,1,19.23076923076923,31.0,26.0,reactive,60,10,60,12,True,True,"[0, 2, 12, 1, 3, 2, 3, 7, 2, 4, 1, 0]","[0, 4, 0, 0, 0, 7, 26, 13, 26, 13, 6, 31]",0.03477120399475098,0.35347700119018555,robust
j10,1,19.23076923076923,31.0,26.0,reactive,60,10,60,12,True,True,"[0, 2, 6, 1, 2, 1, 2, 11, 2, 5, 1, 0]","[0, 4, 0, 0, 0, 7, 26, 13, 26, 13, 6, 31]",0.034867048263549805,0.35610103607177734,robust
j10,1,19.23076923076923,31.0,26.0,reactive,60,10,60,12,True,True,"[0, 2, 6, 3, 3, 2, 3, 7, 2, 7, 1, 0]","[0, 4, 0, 0, 0, 7, 26, 13, 26, 13, 6, 31]",0.033429861068725586,0.36248111724853516,robust
j10,1,19.23076923076923,31.0,26.0,reactive,60,10,60,12,True,True,"[0, 1, 7, 1, 3, 1, 2, 11, 2, 4, 1, 0]","[0, 4, 0, 0, 0, 7, 26, 13, 26, 13, 6, 31]",0.03122997283935547,0.37341785430908203,robust
j10,1,0.0,26.0,26.0,reactive,60,10,60,12,True,True,"[0, 3, 6, 1, 2, 3, 4, 7, 1, 4, 1, 0]","[0, 4, 0, 0, 0, 7, 20, 13, 24, 13, 6, 26]",0.03162097930908203,0.3689699172973633,robust
j10,1,10.714285714285714,31.0,28.0,reactive,60,10,60,12,True,True,"[0, 3, 11, 1, 2, 2, 5, 12, 1, 3, 1, 0]","[0, 4, 0, 0, 0, 7, 26, 13, 26, 13, 6, 31]",0.03206610679626465,0.39597296714782715,robust
j10,1,19.23076923076923,31.0,26.0,reactive,60,10,60,12,True,True,"[0, 3, 8, 2, 1, 3, 2, 6, 2, 4, 1, 0]","[0, 4, 0, 0, 0, 7, 26, 13, 26, 13, 6, 31]",0.03376412391662598,0.37674689292907715,robust
j10,2,0.0,inf,inf,reactive,60,10,60,1,False,False,"[0, 3, 11, 9, 1, 6, 6, 2, 11, 9, 11, 0]",,0.030434608459472656,7.152557373046875e-06,robust
j10,2,0.0,inf,inf,reactive,60,10,60,1,False,False,"[0, 4, 8, 10, 1, 9, 11, 2, 11, 5, 9, 0]",,0.03104090690612793,8.106231689453125e-06,robust
j10,2,0.0,inf,inf,reactive,60,10,60,1,False,False,"[0, 2, 9, 10, 1, 10, 11, 1, 7, 5, 10, 0]",,0.035868167877197266,9.059906005859375e-06,robust
j10,2,0.0,inf,inf,reactive,60,10,60,1,False,False,"[0, 4, 6, 11, 1, 8, 10, 2, 7, 5, 8, 0]",,0.03008723258972168,7.867813110351562e-06,robust
j10,2,0.0,inf,inf,reactive,60,10,60,1,False,False,"[0, 2, 10, 6, 1, 10, 7, 1, 10, 6, 6, 0]",,0.030974864959716797,7.867813110351562e-06,robust
j10,2,0.0,inf,inf,reactive,60,10,60,1,False,False,"[0, 4, 9, 7, 1, 8, 10, 1, 8, 7, 6, 0]",,0.03490710258483887,1.1682510375976562e-05,robust
j10,2,0.0,inf,inf,reactive,60,10,60,1,False,False,"[0, 3, 8, 12, 1, 8, 6, 1, 11, 6, 8, 0]",,0.033007144927978516,7.867813110351562e-06,robust
j10,2,0.0,inf,inf,reactive,60,10,60,1,False,False,"[0, 2, 6, 12, 1, 11, 11, 2, 8, 6, 11, 0]",,0.03128695487976074,6.9141387939453125e-06,robust
j10,2,0.0,inf,inf,reactive,60,10,60,1,False,False,"[0, 2, 8, 6, 1, 11, 6, 2, 11, 5, 7, 0]",,0.03329777717590332,1.6927719116210938e-05,robust
j10,2,0.0,inf,inf,reactive,60,10,60,1,False,False,"[0, 5, 7, 7, 1, 11, 10, 1, 9, 5, 9, 0]",,0.033219099044799805,8.106231689453125e-06,robust
j10,3,13.88888888888889,41.0,36.0,reactive,60,10,60,12,True,True,"[0, 1, 4, 2, 8, 7, 2, 2, 2, 11, 6, 0]","[0, 9, 0, 18, 24, 11, 20, 21, 32, 28, 24, 38]",0.036604881286621094,0.36552906036376953,robust
j10,3,11.764705882352942,38.0,34.0,reactive,60,10,60,12,True,True,"[0, 1, 5, 2, 11, 3, 3, 2, 6, 8, 6, 0]","[0, 9, 0, 18, 24, 11, 20, 21, 32, 28, 24, 38]",0.03399515151977539,0.3680429458618164,robust
j10,3,11.764705882352942,38.0,34.0,reactive,60,10,60,12,True,True,"[0, 1, 8, 3, 6, 6, 2, 3, 4, 10, 6, 0]","[0, 9, 0, 18, 24, 11, 20, 21, 32, 28, 24, 38]",0.03456878662109375,0.37308716773986816,robust
j10,3,2.7027027027027026,38.0,37.0,reactive,60,10,60,12,True,True,"[0, 1, 4, 3, 6, 7, 3, 6, 4, 6, 6, 0]","[0, 9, 0, 18, 24, 11, 20, 21, 32, 28, 24, 38]",0.03326582908630371,0.3608860969543457,robust
