;Fermenter;Enzyme name;Equipment_type;Machine;Start use;End use;Claim time;Release time;Duration use;Duration claim
23;4;13133;Fermenter;Fermenter_4;16938.0;17034.0;16938.0;17044.0;96.0;106.0
24;4;13133;Harvesting tanks B;Harv_b_1;17034.0;17082.704873;17024.4;17082.704873;48.70487299999877;58.304872999997315
25;4;13133;Harvesting tanks B;Harv_b_2;17034.0;17091.964556;17024.4;17091.964556;57.96455599999899;67.56455599999754
26;4;13133;Filters A;Filt_a_1;17055.999999;17082.704873;17055.199999;17082.704873;26.70487399999911;27.50487399999838
27;4;13133;Filters A;Filt_a_2;17056.0;17091.964556;17055.2;17091.964556;35.96455599999899;36.764555999998265
28;4;13133;Microfilter;Microfilter_4;17059.551658;17092.118972;17055.999999;17092.118972;32.5673139999999;36.11897300000055
29;4;13133;Buffer tanks;Buffer_1;17055.999999;17092.118972;17055.199999;17092.118972;36.11897300000055;36.91897299999982
30;4;13133;Microfilter;Microfilter_1;17059.551658;17092.118974;17056.0;17092.118974;32.567316000000574;36.11897400000089
31;4;13133;Buffer tanks;Buffer_2;17056.0;17092.118974;17055.2;17092.118974;36.11897400000089;36.91897400000016
32;4;13133;Microfilter;Microfilter_2;17068.707631;17101.274946;17066.678112;17101.274946;32.567315000000235;34.596833999999944
33;4;13133;Buffer tanks;Buffer_3;17066.678112;17101.274946;17066.677835;17101.274946;34.596833999999944;34.59711100000277
34;4;13133;Microfilter;Microfilter_3;17070.229772;17102.797087;17066.678113;17102.797087;32.567315000000235;36.11897399999725
35;4;13133;Buffer tanks;Buffer_4;17066.678113;17102.797087;17066.677835;17102.797087;36.11897399999725;36.119252000000415
36;4;13133;Stabilization tanks;Stab_1;17066.678113;17190.797079;17066.678113;17191.797078;124.11896599999818;125.11896499999784
144;3;4584;Harvesting tanks B;Harv_b_1;16969.0;17019.839599;16964.0;17019.839599;50.839598999999;55.839598999999
145;3;4584;Filters A;Filt_a_1;17000.999999;17051.839906;17000.199999;17051.839906;50.8399070000014;51.639907000000676
146;3;4584;Harvesting tanks A;Harv_a_1;16964.0;17025.0;16964.0;17025.0;61.0;61.0
147;3;4584;Buffer tanks;Buffer_1;17000.999999;17063.775525;17000.199999;17063.775525;62.775526000001264;63.575526000000536
148;3;4584;Harvesting tanks B;Harv_b_2;17025.0;17051.839906;16964.0;17051.839906;26.839906000001065;87.83990600000106
149;3;4584;Harvesting tanks B;Harv_b_3;17029.0;17074.970657;17018.0;17074.970657;45.970657000001665;56.970657000001665
150;3;4584;Microfilter;Microfilter_4;17005.34817;17093.869116;17000.999999;17093.869116;88.52094600000055;92.869117000002
151;3;4584;Buffer tanks;Buffer_2;17033.0;17093.869116;17032.2;17093.869116;60.86911600000167;61.66911600000094
152;3;4584;Fermenter;Fermenter_3;16919.0;17029.0;16919.0;17036.0;110.0;117.0
153;3;4584;Filters A;Filt_a_2;17037.0;17074.970657;17036.2;17074.970657;37.970657000001665;38.77065700000094
154;3;4584;Microfilter;Microfilter_1;17039.280741;17069.374332;17034.932569;17069.374332;30.093591000000742;34.4417629999989
155;3;4584;Buffer tanks;Buffer_3;17037.0;17069.374332;17036.2;17069.374332;32.37433199999941;33.174331999998685
156;3;4584;Stabilization tanks;Stab_1;17032.642358;17185.869113;17032.642358;17186.869113;153.22675499999968;154.22675499999968
248;2;17235;Fermenter;Fermenter_2;16814.0;16893.0;16814.0;16916.0;79.0;102.0
249;2;17235;Harvesting tanks B;Harv_b_5;16893.0;16971.877523;16885.1;16971.877523;78.8775229999992;86.77752300000066
250;2;17235;Filters A;Filt_a_1;16932.999998;16971.877523;16930.999998;16971.877523;38.87752499999988;40.87752499999988
251;2;17235;Microfilter;Microfilter_4;16937.540175;16961.514255;16932.999998;16961.514255;23.974079999999958;28.514256999998906
252;2;17235;Buffer tanks;Buffer_1;16932.999998;16961.514255;16930.999998;16961.514255;28.514256999998906;30.514256999998906
253;2;17235;Microfilter;Microfilter_1;16950.499442;16974.473523;16945.959265;16974.473523;23.974081000000297;28.514257999999245
254;2;17235;Buffer tanks;Buffer_2;16945.959265;16974.473523;16945.958988;16974.473523;28.514257999999245;28.51453500000207
255;2;17235;Microfilter;Microfilter_2;16961.51292;16985.487;16958.918533;16985.487;23.974079999999958;26.568467000000965
256;2;17235;Buffer tanks;Buffer_3;16958.918533;16985.487;16958.918255;16985.487;26.568467000000965;26.56874500000049
257;2;17235;Stabilization tanks;Stab_1;16961.514255;17077.486991;16961.514255;17078.486991;115.97273600000335;116.97273600000335
