,seed,makespan,lateness,nr_unfinished_products
0,54877,911.1669948430268,253.56153635956537,4
1,25735,920.5366262949506,369.93493562592346,5
2,33460,908.137932850037,464.9813774386937,3
3,41007,899.5128955932358,462.24954598758336,2
4,97411,904.3032922577053,326.0255218798321,3
5,22443,911.6198265688541,333.95459607083797,6
6,4784,907.464042827209,270.19751230123916,5
7,46969,912.6479887404197,367.02996356796643,6
8,66955,922.2559652682247,327.5119433691225,6
9,24235,912.6824981741078,364.0094334585526,4
10,35806,915.1658624075313,371.44095361191944,8
11,15162,926.4828801355604,460.8939319909082,4
12,88111,916.7991558484892,311.33556520675063,4
13,621,892.1884312031809,443.4357859116244,3
14,62227,914.9518743866815,331.68078282555257,3
15,3035,911.8718382064461,324.23689791541346,5
16,91177,898.5113920717669,328.76208116586383,5
17,60437,911.2010109635759,500.3089226715755,3
18,20654,909.6339137210992,291.902780781725,5
19,52842,910.3762557566814,296.2497635229382,5
20,77505,921.9320253684924,504.26898144742097,4
21,82579,906.3744448699739,375.6313653342162,4
22,34447,918.3963094948056,294.2637533272689,4
23,81647,907.3963836396431,192.83567719798566,7
24,16675,922.661519023881,319.58058587832,4
25,80671,883.8462168000443,308.43854037426604,4
26,4302,910.6353301049237,355.54463039726045,2
27,69501,899.7756736537481,304.16944867855705,5
28,97666,911.9605523664104,350.4514592107655,3
29,29577,934.8116540955205,380.53828485124995,5
30,2567,906.4843257463243,334.4528319182833,2
31,79933,893.283832164315,431.33703903365586,3
32,43914,925.7399848703703,539.4244306152904,1
33,46549,903.6663849233536,394.7505441716213,3
34,81968,921.9679150352172,359.7490047864386,4
35,39299,917.5375328279133,497.59951575659466,3
36,71371,912.915220547208,491.0924790987882,2
37,14348,910.2158238833904,346.01783955871383,2
38,90346,897.8953910143857,238.4731430103966,4
39,62546,898.5029155413077,481.93030656141514,2
40,76742,901.5285758571574,312.8734290044613,3
41,77978,911.3672719942408,366.2578713469818,3
42,80471,908.7081137493058,278.3161997326225,4
43,94543,920.9108955678095,366.0728794747939,7
44,64668,911.9108715125986,310.6398959647912,4
45,17677,909.930436087448,346.6689580371917,3
46,24025,904.4551616164852,353.83300102823955,6
47,79829,923.7049293173134,355.1627606208375,4
48,16159,912.1899387524566,360.2250500344346,4
49,99826,908.5107573182421,356.4995983520216,4
50,63243,913.8717815942479,379.5290209860153,6
51,43403,931.2194729617166,371.19897766208,3
52,33969,891.8895153981704,206.78436719150238,6
53,78673,918.5728648216711,327.6629200041979,6
54,29337,918.3432794735077,379.406131346959,2
55,94971,914.9822129477426,453.5787893356402,5
56,39755,911.9800313545611,519.1262077445989,3
57,73673,913.9593676503608,374.41375949884844,3
58,34139,912.5307122220065,326.8266262799908,3
59,69666,916.4073662924689,391.1966374525583,6
60,9932,918.6567725904874,375.7165105968122,4
61,16139,913.7734645478063,289.5256385908642,5
62,46357,914.6060302622831,349.72882388416156,4
63,72431,912.5132620455968,351.4308345484086,3
64,92683,929.1379108178153,350.3816310762883,3
