,instance_name,makespan (avg),makespan (std),unfinished (avg),unfinished (std),n
0,10_1_factory_1,527.45,9.66,1.75,0.71,1000
1,10_2_factory_1,572.26,11.32,1.55,0.8,1000
2,10_3_factory_1,756.42,10.69,1.48,0.78,1000
3,10_4_factory_1,592.34,9.85,3.1,1.13,1000
4,10_5_factory_1,800.59,9.28,2.96,0.79,1000
5,10_6_factory_1,844.3,10.2,1.12,0.62,1000
6,10_7_factory_1,624.58,9.37,1.07,0.78,1000
7,10_8_factory_1,661.04,12.45,1.08,0.76,1000
8,10_9_factory_1,644.15,8.84,1.92,0.93,1000
9,20_1_factory_1,942.92,9.76,7.63,1.37,1000
10,20_2_factory_1,1206.98,9.96,2.62,0.82,1000
11,20_3_factory_1,944.61,10.1,6.42,1.65,1000
12,20_4_factory_1,851.02,10.1,4.48,1.34,1000
13,20_5_factory_1,1036.02,10.01,2.92,1.0,1000
14,20_6_factory_1,1626.42,11.92,2.91,0.93,1000
15,20_7_factory_1,912.17,10.27,4.05,1.32,1000
16,20_8_factory_1,1178.56,8.53,2.78,1.01,1000
17,20_9_factory_1,1082.31,9.83,2.08,0.92,1000
