,instance,status,sample,rcpsp/max_feasible,makespan_rte_star
0,j10/PSP1,feasible_and_dc,0,True,33.0
1,j10/PSP1,feasible_and_dc,1,True,33.0
2,j10/PSP2,infeasible,0,NotApplicable,
3,j10/PSP3,feasible_but_not_dc,0,NotApplicable,
4,j10/PSP4,feasible_but_not_dc,0,NotApplicable,
5,j10/PSP5,feasible_but_not_dc,0,NotApplicable,
6,j10/PSP6,infeasible,0,NotApplicable,
7,j10/PSP7,feasible_but_not_dc,0,NotApplicable,
8,j10/PSP8,feasible_but_not_dc,0,NotApplicable,
9,j10/PSP9,feasible_and_dc,0,True,60.0
10,j10/PSP9,feasible_and_dc,1,True,60.0
11,j10/PSP10,feasible_and_dc,0,True,50.0
12,j10/PSP10,feasible_and_dc,1,True,50.0
13,j10/PSP11,feasible_but_not_dc,0,NotApplicable,
14,j10/PSP12,infeasible,0,NotApplicable,
15,j10/PSP13,feasible_but_not_dc,0,NotApplicable,
16,j10/PSP14,infeasible,0,NotApplicable,
17,j10/PSP15,feasible_but_not_dc,0,NotApplicable,
18,j10/PSP16,feasible_and_dc,0,True,36.0
19,j10/PSP16,feasible_and_dc,1,True,36.0
20,j10/PSP17,infeasible,0,NotApplicable,
21,j10/PSP18,feasible_and_dc,0,True,41.0
22,j10/PSP18,feasible_and_dc,1,True,41.0
23,j10/PSP19,feasible_but_not_dc,0,NotApplicable,
24,j10/PSP20,feasible_and_dc,0,True,52.0
25,j10/PSP20,feasible_and_dc,1,True,52.0
26,j10/PSP21,feasible_but_not_dc,0,NotApplicable,
27,j10/PSP22,feasible_but_not_dc,0,NotApplicable,
28,j10/PSP23,feasible_but_not_dc,0,NotApplicable,
29,j10/PSP24,feasible_and_dc,0,True,40.0
30,j10/PSP24,feasible_and_dc,1,True,40.0
31,j10/PSP25,feasible_but_not_dc,0,NotApplicable,
32,j10/PSP26,infeasible,0,NotApplicable,
33,j10/PSP27,infeasible,0,NotApplicable,
34,j10/PSP28,feasible_and_dc,0,True,40.0
35,j10/PSP28,feasible_and_dc,1,True,40.0
36,j10/PSP29,feasible_and_dc,0,True,39.0
37,j10/PSP29,feasible_and_dc,1,True,39.0
38,j10/PSP30,feasible_but_not_dc,0,NotApplicable,
39,j10/PSP31,infeasible,0,NotApplicable,
40,j10/PSP32,infeasible,0,NotApplicable,
41,j10/PSP33,feasible_and_dc,0,True,89.0
42,j10/PSP33,feasible_and_dc,1,True,89.0
43,j10/PSP34,feasible_but_not_dc,0,NotApplicable,
44,j10/PSP35,feasible_but_not_dc,0,NotApplicable,
45,j10/PSP36,feasible_but_not_dc,0,NotApplicable,
46,j10/PSP37,feasible_but_not_dc,0,NotApplicable,
47,j10/PSP38,feasible_but_not_dc,0,NotApplicable,
48,j10/PSP39,feasible_but_not_dc,0,NotApplicable,
49,j10/PSP40,infeasible,0,NotApplicable,
50,j10/PSP41,infeasible,0,NotApplicable,
51,j10/PSP42,infeasible,0,NotApplicable,
52,j10/PSP43,feasible_but_not_dc,0,NotApplicable,
53,j10/PSP44,feasible_but_not_dc,0,NotApplicable,
54,j10/PSP45,feasible_but_not_dc,0,NotApplicable,
55,j10/PSP46,feasible_and_dc,0,True,42.0
56,j10/PSP46,feasible_and_dc,1,True,42.0
57,j10/PSP47,feasible_but_not_dc,0,NotApplicable,
58,j10/PSP48,infeasible,0,NotApplicable,
59,j10/PSP49,feasible_and_dc,0,True,34.0
60,j10/PSP49,feasible_and_dc,1,True,34.0
61,j10/PSP50,feasible_but_not_dc,0,NotApplicable,
62,j10/PSP51,infeasible,0,NotApplicable,
63,j10/PSP52,feasible_but_not_dc,0,NotApplicable,
64,j10/PSP53,feasible_but_not_dc,0,NotApplicable,
