instance_name,method,test_sample_id,obj,obj_pi,rel_regret
j10_1,STNU,0,26.0,26.0,0.0
j10_1,STNU,1,26.0,26.0,0.0
j10_1,STNU,2,26.0,26.0,0.0
j10_1,STNU,3,26.0,26.0,0.0
j10_1,STNU,4,26.0,26.0,0.0
j10_2,STNU,0,inf,inf,0.0
j10_2,STNU,1,inf,inf,0.0
j10_2,STNU,2,inf,inf,0.0
j10_2,STNU,3,inf,inf,0.0
j10_2,STNU,4,inf,inf,0.0
j10_3,STNU,0,inf,36.0,100.0
j10_3,STNU,1,inf,37.0,100.0
j10_3,STNU,2,inf,35.0,100.0
j10_3,STNU,3,inf,36.0,100.0
j10_3,STNU,4,inf,37.0,100.0
j10_4,STNU,0,inf,37.0,100.0
j10_4,STNU,1,inf,36.0,100.0
j10_4,STNU,2,inf,34.0,100.0
j10_4,STNU,3,inf,39.0,100.0
j10_4,STNU,4,inf,33.0,100.0
j10_5,STNU,0,inf,32.0,100.0
j10_5,STNU,1,inf,30.0,100.0
j10_5,STNU,2,inf,30.0,100.0
j10_5,STNU,3,inf,26.0,100.0
j10_5,STNU,4,inf,34.0,100.0
j10_6,STNU,0,inf,inf,0.0
j10_6,STNU,1,inf,inf,0.0
j10_6,STNU,2,inf,inf,0.0
j10_6,STNU,3,inf,inf,0.0
j10_6,STNU,4,inf,32.0,100.0
j10_7,STNU,0,inf,43.0,100.0
j10_7,STNU,1,inf,43.0,100.0
j10_7,STNU,2,inf,43.0,100.0
j10_7,STNU,3,inf,41.0,100.0
j10_7,STNU,4,inf,42.0,100.0
j10_8,STNU,0,inf,42.0,100.0
j10_8,STNU,1,inf,38.0,100.0
j10_8,STNU,2,inf,37.0,100.0
j10_8,STNU,3,inf,35.0,100.0
j10_8,STNU,4,inf,38.0,100.0
j10_9,STNU,0,49.0,44.0,11.363636363636363
j10_9,STNU,1,44.0,42.0,4.761904761904762
j10_9,STNU,2,47.0,38.0,23.68421052631579
j10_9,STNU,3,48.0,37.0,29.72972972972973
j10_9,STNU,4,51.0,42.0,21.428571428571427
j10_10,STNU,0,38.0,35.0,8.571428571428571
j10_10,STNU,1,36.0,33.0,9.090909090909092
j10_10,STNU,2,34.0,32.0,6.25
j10_10,STNU,3,33.0,29.0,13.793103448275861
j10_10,STNU,4,37.0,33.0,12.121212121212121
j10_11,STNU,0,inf,36.0,100.0
j10_11,STNU,1,inf,27.0,100.0
j10_11,STNU,2,inf,25.0,100.0
j10_11,STNU,3,inf,26.0,100.0
j10_11,STNU,4,inf,25.0,100.0
j10_12,STNU,0,inf,inf,0.0
j10_12,STNU,1,inf,inf,0.0
j10_12,STNU,2,inf,inf,0.0
j10_12,STNU,3,inf,inf,0.0
j10_12,STNU,4,inf,inf,0.0
j10_13,STNU,0,inf,38.0,100.0
j10_13,STNU,1,inf,36.0,100.0
j10_13,STNU,2,inf,38.0,100.0
j10_13,STNU,3,inf,38.0,100.0
j10_13,STNU,4,inf,36.0,100.0
j10_14,STNU,0,inf,31.0,100.0
j10_14,STNU,1,inf,32.0,100.0
j10_14,STNU,2,inf,31.0,100.0
j10_14,STNU,3,inf,inf,0.0
j10_14,STNU,4,inf,31.0,100.0
j10_15,STNU,0,inf,39.0,100.0
j10_15,STNU,1,inf,36.0,100.0
j10_15,STNU,2,inf,41.0,100.0
j10_15,STNU,3,inf,34.0,100.0
j10_15,STNU,4,inf,37.0,100.0
j10_16,STNU,0,30.0,30.0,0.0
j10_16,STNU,1,32.0,32.0,0.0
j10_16,STNU,2,28.0,28.0,0.0
j10_16,STNU,3,26.0,26.0,0.0
j10_16,STNU,4,27.0,27.0,0.0
j10_17,STNU,0,inf,inf,0.0
j10_17,STNU,1,inf,inf,0.0
