;Task;earliest_start;End;product_index;activity_id
0;12;832;929;0;12
1;10;821;840;0;10
2;11;813;840;0;11
3;9;812;835;0;9
4;7;804;832;0;7
5;8;805;832;0;8
6;3;804;823;0;3
7;4;812;823;0;4
8;5;781;823;0;5
9;6;706;823;0;6
10;0;622;809;0;0
11;2;706;791;0;2
12;68;645;742;6;12
13;1;706;721;0;1
14;66;634;653;6;10
15;67;626;653;6;11
16;65;625;648;6;9
17;63;617;645;6;7
18;64;618;645;6;8
19;59;617;636;6;3
20;60;625;636;6;4
21;61;594;636;6;5
22;62;519;636;6;6
23;56;435;622;6;0
24;58;519;604;6;2
25;49;478;574;4;7
26;57;519;534;6;1
27;103;415;508;9;12
28;102;363;499;9;11
29;47;466;485;4;5
30;48;466;485;4;6
31;45;456;478;4;3
32;46;458;478;4;4
33;43;456;473;4;1
34;44;422;473;4;2
35;90;316;441;8;13
36;42;374;435;4;0
37;100;353;415;9;9
38;101;353;415;9;10
39;98;344;406;9;7
40;99;344;406;9;8
41;96;344;396;9;5
42;97;290;396;9;6
43;94;363;390;9;3
44;95;362;390;9;4
45;18;296;385;1;5
46;76;278;382;7;7
47;91;249;374;9;0
48;93;362;363;9;2
49;88;316;352;8;11
50;89;316;352;8;12
51;86;316;350;8;9
52;87;316;350;8;10
53;92;290;344;9;1
54;80;304;341;8;3
55;81;304;341;8;4
56;82;304;341;8;5
57;83;273;341;8;6
58;84;305;341;8;7
59;85;305;341;8;8
60;78;304;332;8;1
61;79;273;332;8;2
62;26;226;322;2;7
63;16;172;296;1;3
64;17;172;296;1;4
65;77;187;293;8;0
66;74;258;289;7;5
67;75;258;289;7;6
68;72;247;278;7;3
69;73;247;278;7;4
70;41;172;277;3;14
71;14;172;270;1;1
72;15;157;270;1;2
73;70;247;268;7;1
74;71;237;268;7;2
75;69;183;249;7;0
76;24;214;233;2;5
77;25;214;233;2;6
78;22;204;226;2;3
79;23;206;226;2;4
80;20;204;221;2;1
81;21;170;221;2;2
82;55;119;208;5;5
83;39;148;188;3;12
84;40;143;188;3;13
85;13;22;187;1;0
86;19;122;183;2;0
87;36;129;177;3;9
88;37;143;177;3;10
89;38;131;177;3;11
90;34;124;172;3;7
91;35;126;172;3;8
92;32;124;158;3;5
93;33;30;158;3;6
94;30;129;152;3;3
95;31;96;152;3;4
96;27;0;122;3;0
97;53;90;119;5;3
98;54;90;119;5;4
99;29;30;102;3;2
100;51;90;102;5;1
101;52;81;102;5;2
102;50;0;96;5;0
103;28;30;58;3;1
