,Task,Earliest_start,End,Product_ID,Activity_ID
0,0,100,809,0,0
1,1,100,721,0,1
2,2,100,791,0,2
3,3,100,823,0,3
4,4,100,823,0,4
5,5,100,823,0,5
6,6,100,823,0,6
7,7,100,832,0,7
8,8,100,832,0,8
9,9,100,835,0,9
10,10,100,840,0,10
11,11,100,840,0,11
12,12,100,929,0,12
13,13,22,187,1,0
14,14,172,270,1,1
15,15,157,270,1,2
16,16,172,296,1,3
17,17,172,296,1,4
18,18,296,385,1,5
19,19,122,183,2,0
20,20,204,221,2,1
21,21,170,221,2,2
22,22,204,226,2,3
23,23,206,226,2,4
24,24,214,233,2,5
25,25,214,233,2,6
26,26,226,322,2,7
27,27,0,122,3,0
28,28,30,58,3,1
29,29,30,102,3,2
30,30,129,152,3,3
31,31,96,152,3,4
32,32,124,158,3,5
33,33,30,158,3,6
34,34,124,172,3,7
35,35,126,172,3,8
36,36,129,177,3,9
37,37,143,177,3,10
38,38,131,177,3,11
39,39,148,188,3,12
40,40,143,188,3,13
41,41,172,277,3,14
42,42,374,435,4,0
43,43,456,473,4,1
44,44,422,473,4,2
45,45,456,478,4,3
46,46,458,478,4,4
47,47,466,485,4,5
48,48,466,485,4,6
49,49,478,574,4,7
50,50,0,96,5,0
51,51,90,102,5,1
52,52,81,102,5,2
53,53,90,119,5,3
54,54,90,119,5,4
55,55,119,208,5,5
56,56,435,622,6,0
57,57,519,534,6,1
58,58,519,604,6,2
59,59,617,636,6,3
60,60,625,636,6,4
61,61,594,636,6,5
62,62,519,636,6,6
63,63,617,645,6,7
64,64,618,645,6,8
65,65,625,648,6,9
66,66,634,653,6,10
67,67,626,653,6,11
68,68,645,742,6,12
69,69,183,249,7,0
70,70,247,268,7,1
71,71,237,268,7,2
72,72,247,278,7,3
73,73,247,278,7,4
74,74,258,289,7,5
75,75,258,289,7,6
76,76,278,382,7,7
77,77,187,293,8,0
78,78,304,332,8,1
79,79,273,332,8,2
80,80,304,341,8,3
81,81,304,341,8,4
82,82,304,341,8,5
83,83,273,341,8,6
84,84,305,341,8,7
85,85,305,341,8,8
86,86,316,350,8,9
87,87,316,350,8,10
88,88,316,352,8,11
89,89,316,352,8,12
90,90,316,441,8,13
91,91,249,374,9,0
92,92,290,344,9,1
93,93,362,363,9,2
94,94,363,390,9,3
95,95,362,390,9,4
96,96,344,396,9,5
97,97,290,396,9,6
98,98,344,406,9,7
99,99,344,406,9,8
100,100,353,415,9,9
101,101,353,415,9,10
102,102,363,499,9,11
103,103,415,508,9,12
