,task,earliest_start,start,end,product_index,activity_id,product_id
0,0,336,336,486,0,0,14
1,1,378,378,402,0,1,14
2,2,378,378,436,0,2,14
3,3,467,467,504,0,3,14
4,4,457,457,528,0,4,14
5,5,467,467,541,0,5,14
6,6,457,457,541,0,6,14
7,7,436,436,545,0,7,14
8,8,378,378,545,0,8,14
9,9,443,443,568,0,9,14
10,10,436,436,561,0,10,14
11,11,446,446,572,0,11,14
12,12,446,446,572,0,12,14
13,13,467,467,616,0,13,14
14,14,528,528,665,0,14,14
15,15,282,282,404,1,0,37
16,16,309,309,349,1,1,37
17,17,309,309,377,1,2,37
18,18,399,399,422,1,3,37
19,19,309,309,422,1,4,37
20,20,411,411,428,1,5,37
21,21,378,378,428,1,6,37
22,22,409,409,445,1,7,37
23,23,409,409,443,1,8,37
24,24,418,418,443,1,9,37
25,25,430,430,451,1,10,37
26,26,413,413,446,1,11,37
27,27,411,411,447,1,12,37
28,28,418,418,452,1,13,37
29,29,435,435,536,1,14,37
30,30,23,23,135,2,0,6
31,31,136,136,159,2,1,6
32,32,117,117,159,2,2,6
33,33,146,146,172,2,3,6
34,34,146,146,171,2,4,6
35,35,156,156,180,2,5,6
36,36,156,156,180,2,6,6
37,37,162,162,265,2,7,6
38,38,439,439,500,3,0,20
39,39,521,521,538,3,1,20
40,40,487,487,538,3,2,20
41,41,528,528,550,3,3,20
42,42,523,523,543,3,4,20
43,43,541,541,560,3,5,20
44,44,541,541,560,3,6,20
45,45,543,543,639,3,7,20
46,46,102,102,219,4,0,1
47,47,147,147,203,4,1,1
48,48,147,147,208,4,2,1
49,49,183,183,235,4,3,1
50,50,147,147,235,4,4,1
51,51,183,183,247,4,5,1
52,52,219,219,252,4,6,1
53,53,218,218,252,4,7,1
54,54,219,219,258,4,8,1
55,55,201,201,258,4,9,1
56,56,215,215,277,4,10,1
57,57,184,184,277,4,11,1
58,58,216,216,370,4,12,1
59,59,219,219,336,5,0,1
60,60,264,264,320,5,1,1
61,61,264,264,325,5,2,1
62,62,300,300,352,5,3,1
63,63,264,264,352,5,4,1
64,64,300,300,364,5,5,1
65,65,336,336,369,5,6,1
66,66,335,335,369,5,7,1
67,67,336,336,375,5,8,1
68,68,318,318,375,5,9,1
69,69,332,332,394,5,10,1
70,70,301,301,394,5,11,1
71,71,333,333,487,5,12,1
72,72,486,486,603,6,0,1
73,73,531,531,587,6,1,1
74,74,531,531,592,6,2,1
75,75,567,567,619,6,3,1
76,76,531,531,619,6,4,1
77,77,567,567,631,6,5,1
78,78,603,603,636,6,6,1
79,79,602,602,636,6,7,1
80,80,603,603,642,6,8,1
81,81,585,585,642,6,9,1
82,82,599,599,661,6,10,1
83,83,568,568,661,6,11,1
84,84,600,600,754,6,12,1
85,85,0,0,102,7,0,41
86,86,117,117,146,7,1,41
87,87,119,119,146,7,2,41
88,88,117,117,150,7,3,41
89,89,71,71,150,7,4,41
90,90,131,131,156,7,5,41
91,91,131,131,156,7,6,41
92,92,131,131,158,7,7,41
93,93,117,117,158,7,8,41
94,94,71,71,158,7,9,41
95,95,131,131,158,7,10,41
96,96,117,117,173,7,11,41
97,97,119,119,173,7,12,41
98,98,131,131,266,7,13,41
99,99,135,135,260,8,0,34
100,100,167,167,199,8,1,34
101,101,167,167,230,8,2,34
102,102,252,252,278,8,3,34
103,103,167,167,278,8,4,34
104,104,267,267,286,8,5,34
105,105,243,243,286,8,6,34
106,106,252,252,290,8,7,34
107,107,254,254,290,8,8,34
108,108,268,268,294,8,9,34
109,109,283,283,301,8,10,34
110,110,268,268,301,8,11,34
111,111,267,267,305,8,12,34
112,112,269,269,305,8,13,34
113,113,290,290,394,8,14,34
114,114,255,255,361,9,0,0
115,115,372,372,400,9,1,0
116,116,341,341,400,9,2,0
117,117,372,372,409,9,3,0
118,118,372,372,409,9,4,0
119,119,372,372,409,9,5,0
120,120,341,341,409,9,6,0
121,121,373,373,409,9,7,0
122,122,373,373,409,9,8,0
123,123,384,384,418,9,9,0
124,124,384,384,418,9,10,0
125,125,394,394,430,9,11,0
126,126,394,394,430,9,12,0
127,127,384,384,509,9,13,0
