,task,earliest_start,start,end,product_index,activity_id,product_id
0,0,275,275,444,0,0,32
1,1,337,337,362,0,1,32
2,2,337,337,432,0,2,32
3,3,432,432,447,0,3,32
4,4,337,337,447,0,4,32
5,5,438,438,449,0,5,32
6,6,422,422,449,0,6,32
7,7,432,432,457,0,7,32
8,8,432,432,457,0,8,32
9,9,438,438,460,0,9,32
10,10,445,445,463,0,10,32
11,11,438,438,463,0,11,32
12,12,457,457,552,0,12,32
13,13,0,0,66,1,0,8
14,14,64,64,85,1,1,8
15,15,54,54,85,1,2,8
16,16,64,64,95,1,3,8
17,17,64,64,95,1,4,8
18,18,75,75,106,1,5,8
19,19,75,75,106,1,6,8
20,20,95,95,199,1,7,8
21,21,0,0,93,2,0,33
22,22,114,114,151,2,1,33
23,23,68,68,151,2,2,33
24,24,114,114,185,2,3,33
25,25,116,116,185,2,4,33
26,26,185,185,274,2,5,33
27,27,184,184,275,3,0,35
28,28,184,184,250,3,1,35
29,29,279,279,309,3,2,35
30,30,250,250,309,3,3,35
31,31,279,279,334,3,4,35
32,32,281,281,334,3,5,35
33,33,334,334,423,3,6,35
34,34,731,731,854,4,0,13
35,35,758,758,798,4,1,13
36,36,758,758,826,4,2,13
37,37,848,848,871,4,3,13
38,38,758,758,871,4,4,13
39,39,861,861,879,4,5,13
40,40,839,839,879,4,6,13
41,41,848,848,884,4,7,13
42,42,850,850,884,4,8,13
43,43,862,862,887,4,9,13
44,44,876,876,895,4,10,13
45,45,862,862,895,4,11,13
46,46,861,861,898,4,12,13
47,47,863,863,898,4,13,13
48,48,884,884,987,4,14,13
49,49,0,0,162,5,0,27
50,50,139,139,189,5,1,27
51,51,154,154,212,5,2,27
52,52,154,154,212,5,3,27
53,53,154,154,223,5,4,27
54,54,139,139,223,5,5,27
55,55,189,189,246,5,6,27
56,56,189,189,246,5,7,27
57,57,212,212,339,5,8,27
58,58,449,449,616,6,0,3
59,59,521,521,551,6,1,3
60,60,521,521,591,6,2,3
61,61,597,597,624,6,3,3
62,62,521,521,624,6,4,3
63,63,599,599,661,6,5,3
64,64,598,598,659,6,6,3
65,65,607,607,669,6,7,3
66,66,608,608,669,6,8,3
67,67,623,623,673,6,9,3
68,68,613,613,673,6,10,3
69,69,607,607,691,6,11,3
70,70,586,586,691,6,12,3
71,71,613,613,717,6,13,3
72,72,658,658,717,6,14,3
73,73,650,650,810,6,15,3
74,74,616,616,796,7,0,30
75,75,691,691,732,7,1,30
76,76,691,691,772,7,2,30
77,77,785,785,808,7,3,30
78,78,691,691,808,7,4,30
79,79,785,785,821,7,5,30
80,80,801,801,832,7,6,30
81,81,786,786,832,7,7,30
82,82,801,801,841,7,8,30
83,83,771,771,841,7,9,30
84,84,801,801,848,7,10,30
85,85,801,801,860,7,11,30
86,86,771,771,860,7,12,30
87,87,810,810,864,7,13,30
88,88,821,821,864,7,14,30
89,89,821,821,953,7,15,30
90,90,477,477,664,8,0,23
91,91,561,561,576,8,1,23
92,92,561,561,646,8,2,23
93,93,659,659,678,8,3,23
94,94,667,667,678,8,4,23
95,95,636,636,678,8,5,23
96,96,561,561,678,8,6,23
97,97,661,661,689,8,7,23
98,98,660,660,687,8,8,23
99,99,669,669,692,8,9,23
100,100,676,676,695,8,10,23
101,101,669,669,696,8,11,23
102,102,687,687,784,8,12,23
103,103,116,116,218,9,0,36
104,104,246,246,304,9,1,36
105,105,247,247,302,9,2,36
106,106,244,244,308,9,3,36
107,107,189,189,310,9,4,36
108,108,277,277,332,9,5,36
109,109,277,277,332,9,6,36
110,110,302,302,421,9,7,36
111,111,93,93,184,10,0,35
112,112,93,93,159,10,1,35
113,113,188,188,218,10,2,35
114,114,159,159,218,10,3,35
115,115,188,188,243,10,4,35
116,116,190,190,243,10,5,35
117,117,243,243,332,10,6,35
118,118,569,569,731,11,0,12
119,119,723,723,753,11,1,12
120,120,708,708,753,11,2,12
121,121,723,723,776,11,3,12
122,122,723,723,776,11,4,12
123,123,776,776,869,11,5,12
124,124,930,930,1099,12,0,32
125,125,992,992,1017,12,1,32
126,126,992,992,1087,12,2,32
127,127,1087,1087,1102,12,3,32
128,128,992,992,1102,12,4,32
129,129,1093,1093,1104,12,5,32
130,130,1077,1077,1104,12,6,32
131,131,1087,1087,1112,12,7,32
132,132,1087,1087,1112,12,8,32
133,133,1093,1093,1115,12,9,32
134,134,1100,1100,1118,12,10,32
135,135,1093,1093,1118,12,11,32
136,136,1112,1112,1207,12,12,32
137,137,0,0,98,13,0,26
138,138,0,0,81,13,1,26
139,139,90,90,118,13,2,26
140,140,81,81,118,13,3,26
141,141,90,90,127,13,4,26
142,142,81,81,127,13,5,26
143,143,90,90,138,13,6,26
144,144,90,90,144,13,7,26
145,145,124,124,144,13,8,26
146,146,90,90,144,13,9,26
147,147,90,90,144,13,10,26
148,148,138,138,233,13,11,26
149,149,854,854,930,14,0,31
150,150,946,946,975,14,1,31
151,151,906,906,975,14,2,31
152,152,946,946,999,14,3,31
153,153,949,949,999,14,4,31
154,154,999,999,1092,14,5,31
155,155,266,266,465,15,0,22
156,156,361,361,390,15,1,22
157,157,361,361,433,15,2,22
158,158,361,361,439,15,3,22
159,159,422,422,476,15,4,22
160,160,361,361,476,15,5,22
161,161,460,460,496,15,6,22
162,162,470,470,505,15,7,22
163,163,400,400,505,15,8,22
164,164,422,422,509,15,9,22
165,165,468,468,509,15,10,22
166,166,457,457,538,15,11,22
167,167,424,424,536,15,12,22
168,168,468,468,625,15,13,22
169,169,278,278,376,16,0,26
170,170,278,278,359,16,1,26
171,171,368,368,396,16,2,26
172,172,359,359,396,16,3,26
173,173,368,368,405,16,4,26
174,174,359,359,405,16,5,26
175,175,368,368,416,16,6,26
176,176,368,368,422,16,7,26
177,177,402,402,422,16,8,26
178,178,368,368,422,16,9,26
179,179,370,370,424,16,10,26
180,180,416,416,511,16,11,26
181,181,782,782,981,17,0,22
182,182,877,877,906,17,1,22
183,183,877,877,949,17,2,22
184,184,877,877,955,17,3,22
185,185,938,938,992,17,4,22
186,186,879,879,994,17,5,22
187,187,974,974,1010,17,6,22
188,188,986,986,1021,17,7,22
189,189,916,916,1021,17,8,22
190,190,938,938,1025,17,9,22
191,191,984,984,1025,17,10,22
192,192,971,971,1052,17,11,22
193,193,940,940,1052,17,12,22
194,194,984,984,1141,17,13,22
195,195,214,214,320,18,0,0
196,196,331,331,359,18,1,0
197,197,300,300,359,18,2,0
198,198,331,331,368,18,3,0
199,199,331,331,368,18,4,0
200,200,331,331,368,18,5,0
201,201,300,300,368,18,6,0
202,202,334,334,370,18,7,0
203,203,332,332,368,18,8,0
204,204,343,343,377,18,9,0
205,205,343,343,377,18,10,0
206,206,343,343,379,18,11,0
207,207,343,343,379,18,12,0
