,Activity,Product,Resource,Request moment,Start,Finish
0,30_1,30,Harvesting tanks A,27,27,67
1,8_1,8,Harvesting tanks A,0,0,81
2,8_12,8,Harvesting tanks A,0,0,81
3,30_2,30,Harvesting tanks A,27,27,95
4,32_1,32,Harvesting tanks A,27,67,107
5,2_0,2,Fermenter_4,0,0,117
6,33_1,33,Harvesting tanks A,27,81,121
7,5_0,5,Fermenter_2,0,0,122
8,2_2,2,Filters A,81,81,133
9,3_2,3,Filters A,81,81,133
10,4_2,4,Filters A,81,81,133
11,5_1,5,Harvesting tanks A,30,107,135
12,30_3,30,Harvesting tanks B,27,27,140
13,32_3,32,Harvesting tanks B,27,27,140
14,33_3,33,Harvesting tanks B,27,27,140
15,2_4,2,Buffer tanks,81,81,145
16,3_4,3,Buffer tanks,81,81,145
17,4_4,4,Buffer tanks,81,81,145
18,35_4,35,Buffer tanks,81,81,145
19,10_1,10,Harvesting tanks B,41,41,147
20,10_3,10,Filters B,95,95,147
21,32_2,32,Harvesting tanks A,27,81,149
22,1_0,1,Fermenter_3,0,0,150
23,37_2,37,Filters A,82,133,151
24,5_3,5,Harvesting tanks B,30,30,158
25,11_3,11,Harvesting tanks B,30,30,158
26,8_4,8,Filters A,90,133,161
27,22_0,22,Fermenter_5,0,0,162
28,33_2,33,Harvesting tanks A,27,95,163
29,11_1,11,Harvesting tanks A,30,135,163
30,37_4,37,Buffer tanks,82,145,167
31,0_0,0,Fermenter_1,0,0,169
32,2_7,2,Microfilter,82,82,175
33,3_7,3,Microfilter,82,82,175
34,4_7,4,Microfilter,82,82,175
35,35_7,35,Microfilter,82,82,175
36,35_2,35,Filters A,81,133,185
37,8_5,8,Filters A,90,151,188
38,8_15,8,Filters A,90,161,189
39,5_2,5,Harvesting tanks A,30,121,193
40,8_6,8,Buffer tanks,90,145,193
41,8_17,8,Buffer tanks,90,145,193
42,37_3,37,Microfilter,84,175,195
43,8_8,8,Buffer tanks,90,145,199
44,16_3,16,Filters B,95,147,199
45,37_7,37,Stabilization tanks,104,104,201
46,2_1,2,Harvesting tanks B,45,147,203
47,14_9,14,Stabilization tanks,116,116,214
48,3_1,3,Harvesting tanks B,45,158,214
49,14_2,14,Filters B,97,199,214
50,10_2,10,Harvesting tanks A,41,163,217
51,16_2,16,Harvesting tanks A,41,163,217
52,1_1,1,Harvesting tanks A,42,193,217
53,36_2,36,Filters A,92,189,218
54,37_6,37,Buffer tanks,92,199,219
55,11_2,11,Harvesting tanks A,30,149,221
56,8_19,8,Buffer tanks,90,167,221
57,8_16,8,Filters A,90,185,222
58,8_7,8,Microfilter,90,175,229
59,8_9,8,Microfilter,90,175,229
60,8_18,8,Microfilter,90,175,229
61,4_0,4,Fermenter_4,0,117,234
62,12_1,12,Harvesting tanks A,42,217,241
63,16_1,16,Harvesting tanks B,41,140,246
64,2_5,2,Harvesting tanks B,45,158,246
65,36_4,36,Buffer tanks,92,193,246
66,17_4,17,Buffer tanks,92,193,248
67,8_20,8,Microfilter,90,195,249
68,37_5,37,Microfilter,92,229,249
69,10_11,10,Stabilization tanks,114,114,250
70,16_11,16,Stabilization tanks,114,114,250
71,7_13,7,Stabilization tanks,129,129,254
72,26_13,26,Stabilization tanks,129,129,254
73,27_2,27,Filters A,94,218,259
74,20_2,20,Filters A,114,222,259
75,3_0,3,Fermenter_3,0,150,267
76,14_4,14,Buffer tanks,97,248,267
77,2_12,2,Stabilization tanks,114,114,268
78,3_12,3,Stabilization tanks,114,114,268
79,4_12,4,Stabilization tanks,114,114,268
80,35_12,35,Stabilization tanks,114,114,268
81,17_2,17,Filters A,92,188,269
82,17_15,17,Stabilization tanks,123,123,270
83,4_1,4,Harvesting tanks B,45,214,270
84,1_3,1,Harvesting tanks A,42,217,275
85,12_3,12,Harvesting tanks A,42,217,275
86,2_3,2,Harvesting tanks A,45,221,282
87,10_6,10,Buffer tanks,95,221,283
88,17_9,17,Microfilter,93,229,283
89,27_4,27,Buffer tanks,94,219,284
90,3_5,3,Harvesting tanks B,45,203,291
91,27_3,27,Microfilter,94,229,294
92,34_2,34,Filters A,114,259,296
93,3_3,3,Harvesting tanks A,45,241,302
94,35_1,35,Harvesting tanks B,45,246,302
95,14_6,14,Buffer tanks,102,284,303
96,23_3,23,Filters A,114,259,305
97,1_2,1,Harvesting tanks B,42,140,307
98,12_2,12,Harvesting tanks B,42,140,307
99,16_6,16,Buffer tanks,95,246,308
100,2_9,2,Filters A,117,269,308
101,6_0,6,Fermenter_2,0,122,309
102,10_5,10,Microfilter,95,249,311
103,16_5,16,Microfilter,95,249,311
104,9_0,9,Fermenter_1,0,169,313
105,14_3,14,Microfilter,97,294,313
106,1_4,1,Filters B,100,214,323
107,38_13,38,Stabilization tanks,129,201,326
108,0_1,0,Harvesting tanks A,62,302,327
109,14_5,14,Microfilter,102,313,332
110,36_3,36,Microfilter,95,283,333
111,4_5,4,Harvesting tanks B,45,246,334
112,3_9,3,Filters A,117,296,335
113,4_3,4,Harvesting tanks A,45,275,336
114,35_3,35,Harvesting tanks A,45,275,336
115,7_3,7,Filters A,117,308,336
116,7_0,7,Fermenter_4,0,234,340
117,17_3,17,Harvesting tanks A,54,282,343
118,37_1,37,Harvesting tanks B,48,291,343
119,4_9,4,Filters A,117,305,344
120,8_22,8,Stabilization tanks,138,254,349
121,8_11,8,Stabilization tanks,138,254,353
122,35_5,35,Harvesting tanks B,45,270,358
123,36_5,36,Stabilization tanks,145,268,361
124,25_1,25,Harvesting tanks A,62,336,361
125,1_13,1,Stabilization tanks,131,214,363
126,27_5,27,Stabilization tanks,159,270,363
127,26_3,26,Filters A,117,336,364
128,8_0,8,Fermenter_3,0,267,365
129,10_8,10,Buffer tanks,104,303,365
130,17_1,17,Harvesting tanks B,54,307,365
131,32_14,32,Stabilization tanks,153,268,369
132,30_14,30,Stabilization tanks,153,268,370
133,33_14,33,Stabilization tanks,153,268,370
134,16_8,16,Buffer tanks,104,308,370
135,36_1,36,Harvesting tanks B,52,302,371
136,7_4,7,Filters A,117,335,372
137,26_4,26,Filters A,117,344,381
138,14_8,14,Buffer tanks,107,365,383
139,21_1,21,Harvesting tanks A,75,343,384
140,23_8,23,Stabilization tanks,135,250,387
141,30_4,30,Filters A,117,364,387
142,1_6,1,Buffer tanks,100,267,392
143,10_7,10,Microfilter,104,332,394
144,16_7,16,Microfilter,104,333,395
145,32_5,32,Filters A,117,372,395
146,12_13,12,Stabilization tanks,131,250,399
147,33_4,33,Filters A,117,381,404
148,12_6,12,Buffer tanks,100,283,408
149,14_7,14,Microfilter,107,394,412
150,10_12,10,Stabilization tanks,166,326,419
151,0_3,0,Harvesting tanks A,62,327,422
152,38_3,38,Filters A,117,395,423
153,14_0,14,Fermenter_1,0,313,425
154,21_16,21,Harvesting tanks A,75,384,425
155,17_5,17,Harvesting tanks B,54,307,426
156,35_9,35,Filters A,117,387,426
157,25_3,25,Harvesting tanks A,62,336,431
