Sequence,Fitness,Best_sequence,Best_fitness,Time
"[ 95  54  59 117  77  46  31  81  48  98  97  99   2  92 113  56 106 103
  67  62 112  17  83 108  73  96  35  44  91 114  33  42  58  66  10  53
  32  80  38  19 119  27  36 111  39  69  89  85  40  55  65  88  23  34
  78 105   4  82  15 102  41  51  45 110  52  26  43  24  94  74 100  49
  21  70   3 118  30 116  47  90   8  60   0 109  57  22  61  63   7 115
  13  86  93  87  68 104  14  29  28  11  84  18 101  20  50  25   6  71
  76   1  16  64  79   5  75   9  72  12 107  37]",1091926,"[ 95  54  59 117  77  46  31  81  48  98  97  99   2  92 113  56 106 103
  67  62 112  17  83 108  73  96  35  44  91 114  33  42  58  66  10  53
  32  80  38  19 119  27  36 111  39  69  89  85  40  55  65  88  23  34
  78 105   4  82  15 102  41  51  45 110  52  26  43  24  94  74 100  49
  21  70   3 118  30 116  47  90   8  60   0 109  57  22  61  63   7 115
  13  86  93  87  68 104  14  29  28  11  84  18 101  20  50  25   6  71
  76   1  16  64  79   5  75   9  72  12 107  37]",1091926,1.9073486328125e-05
"[ 95  54  59 117  77  46  31  81  48  98  97  99   2  92 113  56 106 103
  67  62 112  17  83 108  73  96  35  44  91 114  33  42  58  66  10  53
  32  80  38  19 119  27  36 111  39  69  89  85  40  55  65  88  23  34
  78 105   4  82  15 102  41  51  45 110  52  26  43  24  94  74 100  49
  21  70   3 118  30 116  47  90   8  60   0 109  57  22  61  63   7 115
  13  86  93  87  68 104  14  29  28  11  84  18 101  20  50  25   6  71
  76   1  16  64  79   5  75   9  72  12 107  37]",1091926,"[ 95  54  59 117  77  46  31  81  48  98  97  99   2  92 113  56 106 103
  67  62 112  17  83 108  73  96  35  44  91 114  33  42  58  66  10  53
  32  80  38  19 119  27  36 111  39  69  89  85  40  55  65  88  23  34
  78 105   4  82  15 102  41  51  45 110  52  26  43  24  94  74 100  49
  21  70   3 118  30 116  47  90   8  60   0 109  57  22  61  63   7 115
  13  86  93  87  68 104  14  29  28  11  84  18 101  20  50  25   6  71
  76   1  16  64  79   5  75   9  72  12 107  37]",1091926,0.08271408081054688
"[ 95  54  59 117  77  46  31  81  48  98  97  99   2  92 113  56 106 103
  67  62 112  17  83 108  73  96  35  44  91 114  33  42  58  66  10  53
  32  80  38  19 119  27  36 111  39  69  89  85  40  55  65  88  23  34
  78 105   4  82  15 102  41  51  45 110  52  26  43  24  94  74 100  49
  21  70   3 118  30 116  47  90   8  60   0 109  57  22  61  63   7 115
  13  86  93  87  68 104  14  29  28  11  84  18 101  20  50  25   6  71
  76   1  16  64  79   5  75   9  72  12 107  37]",1091926,"[ 95  54  59 117  77  46  31  81  48  98  97  99   2  92 113  56 106 103
  67  62 112  17  83 108  73  96  35  44  91 114  33  42  58  66  10  53
  32  80  38  19 119  27  36 111  39  69  89  85  40  55  65  88  23  34
  78 105   4  82  15 102  41  51  45 110  52  26  43  24  94  74 100  49
  21  70   3 118  30 116  47  90   8  60   0 109  57  22  61  63   7 115
  13  86  93  87  68 104  14  29  28  11  84  18 101  20  50  25   6  71
  76   1  16  64  79   5  75   9  72  12 107  37]",1091926,0.1649930477142334
"[ 95  54  59 117  77  46  31  81  48  98  97  99   2  92 113  56 106 103
  67  62 112  17  83 108  73  96  35  44  91 114  33  42  58  66  10  53
  32  80  38  19 119  27  36 111  39  69  89  85  40  55  65  88  23  34
  78 105   4  82  15 102  41  51  45 110  52  26  43  24  94  74 100  49
  21  70   3 118  30 116  47  90   8  60   0 109  57  22  61  63   7 115
  13  86  93  87  68 104  14  29  28  11  84  18 101  20  50  25   6  71
  76   1  16  64  79   5  75   9  72  12 107  37]",1091926,"[ 95  54  59 117  77  46  31  81  48  98  97  99   2  92 113  56 106 103
  67  62 112  17  83 108  73  96  35  44  91 114  33  42  58  66  10  53
  32  80  38  19 119  27  36 111  39  69  89  85  40  55  65  88  23  34
  78 105   4  82  15 102  41  51  45 110  52  26  43  24  94  74 100  49
  21  70   3 118  30 116  47  90   8  60   0 109  57  22  61  63   7 115
  13  86  93  87  68 104  14  29  28  11  84  18 101  20  50  25   6  71
  76   1  16  64  79   5  75   9  72  12 107  37]",1091926,0.2636141777038574
"[ 95  54  59 117  77  46  31  81  48  98  97  99   2  92 113  56 106 103
  67  62 112  17  83 108  73  96  35  44  91 114  33  42  58  66  10  53
  32  80  38  19 119  27  36 111  39  69  89  85  40  55  65  88  23  34
  78 105   4  82  15 102  41  51  45 110  52  26  43  24  94  74 100  49
  21  70   3 118  30 116  47  90   8  60   0 109  57  22  61  63   7 115
  13  86  93  87  68 104  14  29  28  11  84  18 101  20  50  25   6  71
  76   1  16  64  79   5  75   9  72  12 107  37]",1091926,"[ 95  54  59 117  77  46  31  81  48  98  97  99   2  92 113  56 106 103
  67  62 112  17  83 108  73  96  35  44  91 114  33  42  58  66  10  53
  32  80  38  19 119  27  36 111  39  69  89  85  40  55  65  88  23  34
  78 105   4  82  15 102  41  51  45 110  52  26  43  24  94  74 100  49
  21  70   3 118  30 116  47  90   8  60   0 109  57  22  61  63   7 115
  13  86  93  87  68 104  14  29  28  11  84  18 101  20  50  25   6  71
  76   1  16  64  79   5  75   9  72  12 107  37]",1091926,0.3468961715698242
"[ 95  54  59 117  77  46  31  81  48  98  97  99   2  14 113  56 106 103
  67  62 112  17  83 108  73  96  35  44  91 114  33  42  58  66  10  53
  32  80  38  19 119  27  36 111  39  69  89  85  40  55  65  88  23  34
  78 105   4  82  15 102  41  51  45 110  52  26  43  24  94  74 100  49
  21  70   3 118  30 116  47  90   8  60   0 109  57  22  61  63   7 115
  13  86  93  87  68 104  92  29  28  11  84  18 101  20  50  25   6  71
  76   1  16  64  79   5  75   9  72  12 107  37]",1088847,"[ 95  54  59 117  77  46  31  81  48  98  97  99   2  14 113  56 106 103
  67  62 112  17  83 108  73  96  35  44  91 114  33  42  58  66  10  53
  32  80  38  19 119  27  36 111  39  69  89  85  40  55  65  88  23  34
  78 105   4  82  15 102  41  51  45 110  52  26  43  24  94  74 100  49
  21  70   3 118  30 116  47  90   8  60   0 109  57  22  61  63   7 115
  13  86  93  87  68 104  92  29  28  11  84  18 101  20  50  25   6  71
  76   1  16  64  79   5  75   9  72  12 107  37]",1088847,0.4294400215148926
"[ 95  54  59 117  77  46  31  81  48  98 108  99   2  14 113  56 106 103
  67  62 112  17  83  97  73  96  35  44  91 114  33  42  58  66  10  53
  32  80  38  19 119  27  36 111  39  69  89  85  40  55  65  88  23  34
  78 105   4  82  15 102  41  51  45 110  52  26  43  24  94  74 100  49
  21  70   3 118  30 116  47  90   8  60   0 109  57  22  61  63   7 115
  13  86  93  87  68 104  92  29  28  11  84  18 101  20  50  25   6  71
  76   1  16  64  79   5  75   9  72  12 107  37]",1078350,"[ 95  54  59 117  77  46  31  81  48  98 108  99   2  14 113  56 106 103
  67  62 112  17  83  97  73  96  35  44  91 114  33  42  58  66  10  53
  32  80  38  19 119  27  36 111  39  69  89  85  40  55  65  88  23  34
  78 105   4  82  15 102  41  51  45 110  52  26  43  24  94  74 100  49
  21  70   3 118  30 116  47  90   8  60   0 109  57  22  61  63   7 115
  13  86  93  87  68 104  92  29  28  11  84  18 101  20  50  25   6  71
  76   1  16  64  79   5  75   9  72  12 107  37]",1078350,0.5112149715423584
"[ 95  54  59 117  77  46  31  81  48  98 108  99   2  14 113  56 106 103
  67  62 112  17  83  97  73  96  35  44  91 114  33  42  58  66  10  53
  32  80  38  19 119  27  36 111  39  69  89  85  40  55  65  88  23  34
  78 105   4  82  15 102  41  51  45 110  52  26  43  24  94  74 100  49
  21  70   3 118  30 116  47  90   8  60   0 109  57  22  61  63   7 115
  13  86  93  87  68 104  92  29  28  11  84  18 101  20  50  25   6  71
  76   1  16  64  79   5  75   9  72  12 107  37]",1078350,"[ 95  54  59 117  77  46  31  81  48  98 108  99   2  14 113  56 106 103
  67  62 112  17  83  97  73  96  35  44  91 114  33  42  58  66  10  53
  32  80  38  19 119  27  36 111  39  69  89  85  40  55  65  88  23  34
  78 105   4  82  15 102  41  51  45 110  52  26  43  24  94  74 100  49
  21  70   3 118  30 116  47  90   8  60   0 109  57  22  61  63   7 115
  13  86  93  87  68 104  92  29  28  11  84  18 101  20  50  25   6  71
  76   1  16  64  79   5  75   9  72  12 107  37]",1078350,0.5937409400939941
"[ 95  54  59 117  77  46  31  81  48  98 108  99   2  14 113  56 106 103
  67  62 112  17  83  97  73  96  35  44  91 114  33  42  58  66  10  53
  32  80  38  19 119  27  36 111  39  69  89  85  40  55  65  88  23  34
  78 105   4  82  15 102  41  51  45 110  52  26  43  24  94  74 100  49
  21  70   3 118  30 116  47  90   8  60   0 109  57  22  61  63   7 115
  13  86  93  87  68 104  92  29  28  11  84  18 101  20  50  25   6  71
  76   1  16  64  79   5  75   9  72  12 107  37]",1078350,"[ 95  54  59 117  77  46  31  81  48  98 108  99   2  14 113  56 106 103
  67  62 112  17  83  97  73  96  35  44  91 114  33  42  58  66  10  53
  32  80  38  19 119  27  36 111  39  69  89  85  40  55  65  88  23  34
  78 105   4  82  15 102  41  51  45 110  52  26  43  24  94  74 100  49
  21  70   3 118  30 116  47  90   8  60   0 109  57  22  61  63   7 115
  13  86  93  87  68 104  92  29  28  11  84  18 101  20  50  25   6  71
  76   1  16  64  79   5  75   9  72  12 107  37]",1078350,0.6758561134338379
"[ 95  54  59 117  77  46  31  81  48  98 108  99   2  14 113  56 106 103
  67  62  93  17  83  97  73  96  35  44  91 114  33  42  58  66  10  53
  32  80  38  19 119  27  36 111  39  69  89  85  40  55  65  88  23  34
  78 105   4  82  15 102  41  51  45 110  52  26  43  24  94  74 100  49
  21  70   3 118  30 116  47  90   8  60   0 109  57  22  61  63   7 115
  13  86 112  87  68 104  92  29  28  11  84  18 101  20  50  25   6  71
  76   1  16  64  79   5  75   9  72  12 107  37]",1065230,"[ 95  54  59 117  77  46  31  81  48  98 108  99   2  14 113  56 106 103
  67  62  93  17  83  97  73  96  35  44  91 114  33  42  58  66  10  53
  32  80  38  19 119  27  36 111  39  69  89  85  40  55  65  88  23  34
  78 105   4  82  15 102  41  51  45 110  52  26  43  24  94  74 100  49
  21  70   3 118  30 116  47  90   8  60   0 109  57  22  61  63   7 115
  13  86 112  87  68 104  92  29  28  11  84  18 101  20  50  25   6  71
  76   1  16  64  79   5  75   9  72  12 107  37]",1065230,0.7575232982635498
