Sequence,Fitness,Best_sequence,Best_fitness,Time
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1718.85,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1718.85,3.218650817871094e-05
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1718.85,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",1718.85,0.04052925109863281
"[0, 1, 2, 3, 4, 11, 6, 7, 8, 9, 10, 5, 12, 13, 14, 15, 16, 17, 18, 19]",1696.25,"[0, 1, 2, 3, 4, 11, 6, 7, 8, 9, 10, 5, 12, 13, 14, 15, 16, 17, 18, 19]",1696.25,0.07951617240905762
"[0, 1, 2, 3, 4, 11, 6, 7, 8, 9, 10, 5, 12, 13, 14, 15, 16, 17, 18, 19]",1696.25,"[0, 1, 2, 3, 4, 11, 6, 7, 8, 9, 10, 5, 12, 13, 14, 15, 16, 17, 18, 19]",1696.25,0.11839103698730469
"[0, 1, 2, 3, 4, 11, 6, 7, 8, 9, 10, 5, 12, 13, 14, 15, 16, 17, 18, 19]",1696.25,"[0, 1, 2, 3, 4, 11, 6, 7, 8, 9, 10, 5, 12, 13, 14, 15, 16, 17, 18, 19]",1696.25,0.15694332122802734
"[0, 1, 2, 3, 4, 15, 6, 7, 8, 9, 10, 5, 12, 13, 14, 11, 16, 17, 18, 19]",1695.3,"[0, 1, 2, 3, 4, 15, 6, 7, 8, 9, 10, 5, 12, 13, 14, 11, 16, 17, 18, 19]",1695.3,0.19496607780456543
"[0, 1, 2, 3, 4, 15, 6, 7, 8, 9, 10, 5, 12, 13, 14, 11, 16, 17, 18, 19]",1695.3,"[0, 1, 2, 3, 4, 15, 6, 7, 8, 9, 10, 5, 12, 13, 14, 11, 16, 17, 18, 19]",1695.3,0.23298311233520508
"[0, 1, 2, 3, 4, 15, 6, 7, 8, 9, 10, 5, 12, 13, 14, 11, 16, 17, 18, 19]",1695.3,"[0, 1, 2, 3, 4, 15, 6, 7, 8, 9, 10, 5, 12, 13, 14, 11, 16, 17, 18, 19]",1695.3,0.2713491916656494
"[0, 1, 2, 3, 4, 15, 6, 7, 8, 9, 10, 5, 12, 13, 14, 11, 16, 17, 18, 19]",1695.3,"[0, 1, 2, 3, 4, 15, 6, 7, 8, 9, 10, 5, 12, 13, 14, 11, 16, 17, 18, 19]",1695.3,0.3095853328704834
"[0, 1, 2, 3, 4, 15, 6, 7, 8, 9, 10, 5, 12, 13, 14, 11, 16, 17, 18, 19]",1695.3,"[0, 1, 2, 3, 4, 15, 6, 7, 8, 9, 10, 5, 12, 13, 14, 11, 16, 17, 18, 19]",1695.3,0.34722423553466797
"[0, 1, 2, 3, 4, 15, 6, 7, 8, 9, 10, 5, 12, 13, 14, 11, 16, 17, 18, 19]",1695.3,"[0, 1, 2, 3, 4, 15, 6, 7, 8, 9, 10, 5, 12, 13, 14, 11, 16, 17, 18, 19]",1695.3,0.3854813575744629
"[0, 1, 2, 3, 4, 15, 6, 7, 8, 9, 10, 5, 12, 13, 14, 11, 16, 17, 18, 19]",1695.3,"[0, 1, 2, 3, 4, 15, 6, 7, 8, 9, 10, 5, 12, 13, 14, 11, 16, 17, 18, 19]",1695.3,0.4239192008972168
"[0, 1, 2, 3, 4, 15, 6, 7, 8, 9, 10, 5, 12, 13, 18, 11, 16, 17, 14, 19]",1626.25,"[0, 1, 2, 3, 4, 15, 6, 7, 8, 9, 10, 5, 12, 13, 18, 11, 16, 17, 14, 19]",1626.25,0.46196913719177246
