Sequence,Fitness,Best_sequence,Best_fitness,Time
"[17, 37, 34, 18, 32, 1, 22, 2, 9, 36, 29, 21, 13, 27, 5, 15, 20, 24, 11, 0, 12, 30, 16, 39, 6, 7, 31, 26, 10, 33, 38, 8, 35, 14, 28, 23, 19, 3, 25, 4]",4193.0,"[17, 37, 34, 18, 32, 1, 22, 2, 9, 36, 29, 21, 13, 27, 5, 15, 20, 24, 11, 0, 12, 30, 16, 39, 6, 7, 31, 26, 10, 33, 38, 8, 35, 14, 28, 23, 19, 3, 25, 4]",4193.0,0.0
"[17, 37, 34, 18, 32, 1, 22, 2, 9, 36, 29, 21, 13, 27, 5, 15, 20, 24, 11, 0, 12, 30, 16, 39, 6, 7, 31, 26, 10, 33, 38, 8, 35, 14, 28, 23, 19, 3, 25, 4]",4193.0,"[17, 37, 34, 18, 32, 1, 22, 2, 9, 36, 29, 21, 13, 27, 5, 15, 20, 24, 11, 0, 12, 30, 16, 39, 6, 7, 31, 26, 10, 33, 38, 8, 35, 14, 28, 23, 19, 3, 25, 4]",4193.0,0.14300131797790527
"[17, 37, 34, 18, 32, 1, 22, 2, 9, 36, 29, 21, 13, 27, 5, 15, 20, 24, 11, 0, 12, 30, 16, 39, 6, 7, 31, 26, 10, 33, 38, 8, 35, 14, 28, 23, 19, 3, 25, 4]",4193.0,"[17, 37, 34, 18, 32, 1, 22, 2, 9, 36, 29, 21, 13, 27, 5, 15, 20, 24, 11, 0, 12, 30, 16, 39, 6, 7, 31, 26, 10, 33, 38, 8, 35, 14, 28, 23, 19, 3, 25, 4]",4193.0,0.28101301193237305
"[17, 37, 34, 18, 32, 1, 22, 2, 9, 36, 29, 21, 13, 27, 5, 15, 20, 24, 11, 0, 12, 30, 16, 39, 6, 7, 31, 26, 10, 33, 38, 8, 35, 14, 28, 23, 19, 3, 25, 4]",4193.0,"[17, 37, 34, 18, 32, 1, 22, 2, 9, 36, 29, 21, 13, 27, 5, 15, 20, 24, 11, 0, 12, 30, 16, 39, 6, 7, 31, 26, 10, 33, 38, 8, 35, 14, 28, 23, 19, 3, 25, 4]",4193.0,0.4150073528289795
"[37, 17, 34, 18, 32, 1, 22, 2, 9, 36, 29, 21, 13, 27, 5, 15, 20, 24, 11, 0, 12, 30, 16, 39, 6, 7, 31, 26, 10, 33, 38, 8, 35, 14, 28, 23, 19, 3, 25, 4]",4181.0,"[37, 17, 34, 18, 32, 1, 22, 2, 9, 36, 29, 21, 13, 27, 5, 15, 20, 24, 11, 0, 12, 30, 16, 39, 6, 7, 31, 26, 10, 33, 38, 8, 35, 14, 28, 23, 19, 3, 25, 4]",4181.0,0.5590035915374756
"[37, 17, 34, 18, 32, 1, 22, 2, 9, 36, 29, 21, 13, 27, 5, 15, 8, 24, 11, 0, 12, 30, 16, 39, 6, 7, 31, 26, 10, 33, 38, 20, 35, 14, 28, 23, 19, 3, 25, 4]",3929.5,"[37, 17, 34, 18, 32, 1, 22, 2, 9, 36, 29, 21, 13, 27, 5, 15, 8, 24, 11, 0, 12, 30, 16, 39, 6, 7, 31, 26, 10, 33, 38, 20, 35, 14, 28, 23, 19, 3, 25, 4]",3929.5,0.7000260353088379
"[37, 17, 34, 18, 32, 1, 22, 2, 9, 36, 29, 21, 13, 27, 5, 15, 8, 24, 11, 0, 12, 30, 16, 39, 6, 7, 31, 26, 10, 33, 38, 20, 35, 14, 28, 23, 19, 3, 25, 4]",3929.5,"[37, 17, 34, 18, 32, 1, 22, 2, 9, 36, 29, 21, 13, 27, 5, 15, 8, 24, 11, 0, 12, 30, 16, 39, 6, 7, 31, 26, 10, 33, 38, 20, 35, 14, 28, 23, 19, 3, 25, 4]",3929.5,0.8410062789916992
"[37, 17, 34, 18, 32, 1, 22, 2, 9, 36, 29, 21, 13, 27, 5, 15, 8, 24, 11, 0, 12, 30, 16, 39, 6, 7, 31, 26, 10, 33, 38, 20, 35, 14, 28, 23, 19, 3, 25, 4]",3929.5,"[37, 17, 34, 18, 32, 1, 22, 2, 9, 36, 29, 21, 13, 27, 5, 15, 8, 24, 11, 0, 12, 30, 16, 39, 6, 7, 31, 26, 10, 33, 38, 20, 35, 14, 28, 23, 19, 3, 25, 4]",3929.5,0.9870107173919678
"[37, 17, 34, 18, 32, 1, 22, 2, 9, 36, 29, 21, 13, 27, 5, 15, 8, 24, 11, 0, 12, 30, 16, 39, 6, 7, 31, 26, 10, 33, 38, 20, 35, 14, 28, 23, 19, 3, 25, 4]",3929.5,"[37, 17, 34, 18, 32, 1, 22, 2, 9, 36, 29, 21, 13, 27, 5, 15, 8, 24, 11, 0, 12, 30, 16, 39, 6, 7, 31, 26, 10, 33, 38, 20, 35, 14, 28, 23, 19, 3, 25, 4]",3929.5,1.1360185146331787
"[37, 17, 34, 18, 32, 1, 22, 2, 9, 36, 29, 21, 13, 27, 5, 15, 8, 24, 11, 0, 12, 30, 16, 39, 6, 7, 31, 26, 10, 33, 38, 20, 35, 14, 28, 23, 19, 3, 25, 4]",3929.5,"[37, 17, 34, 18, 32, 1, 22, 2, 9, 36, 29, 21, 13, 27, 5, 15, 8, 24, 11, 0, 12, 30, 16, 39, 6, 7, 31, 26, 10, 33, 38, 20, 35, 14, 28, 23, 19, 3, 25, 4]",3929.5,1.283031940460205
