,Task,Task_translation,Start,Finish,Resource,Resource_translation
0,0,0,0.0,122.0,1,Fermenter_2
1,1,0,30.0,58.0,6,Harvesting tanks A
2,2,0,30.0,102.0,6,Harvesting tanks A
3,3,0,129.0,152.0,7,Filters A
4,4,0,96.0,152.0,5,Harvesting tanks B
5,5,0,124.0,158.0,7,Filters A
6,6,0,30.0,158.0,5,Harvesting tanks B
7,7,0,124.0,172.0,9,Buffer tanks
8,8,0,126.0,172.0,8,Microfilter
9,9,0,129.0,177.0,9,Buffer tanks
10,10,0,143.0,177.0,9,Buffer tanks
11,11,0,131.0,177.0,8,Microfilter
12,12,0,148.0,188.0,9,Buffer tanks
13,13,0,143.0,188.0,8,Microfilter
14,14,0,172.0,277.0,11,Stabilization tanks
