,Activity,Product,Resource,Check_resource_type,Machine_id,Request moment,Retrieve moment,Start,Finish
0,1,0,Harvesting tanks A,Harvesting tanks A,0,72,72,72,132
1,0,0,Fermenter_4,Fermenter_4,0,0,0,0,158
2,3,0,Harvesting tanks B,Harvesting tanks B,0,72,72,72,171
3,2,0,Filters A,Filters A,0,150,150,150,171
4,4,0,Buffer tanks,Buffer tanks,0,150,150,150,182
5,6,0,Microfilter,Microfilter,0,152,152,152,190
6,5,0,Buffer tanks,Buffer tanks,1,168,168,168,190
7,8,0,Harvesting tanks B,Harvesting tanks B,1,135,135,135,203
8,7,0,Filters A,Filters A,1,168,168,168,203
9,9,0,Buffer tanks,Buffer tanks,2,176,176,176,215
10,10,0,Microfilter,Microfilter,1,182,182,182,215
11,11,0,Stabilization tanks,Stabilization tanks,0,182,182,182,304
