,Product_ID,Deadlines,Fermentation_sequence
0,13,744,17
1,40,744,3
2,19,744,5
3,29,744,6
4,22,744,10
5,33,744,7
6,42,744,16
7,12,744,11
8,17,744,8
9,4,744,1
10,12,744,13
11,4,744,4
12,38,744,9
13,11,744,2
14,37,744,15
15,3,744,19
16,42,744,14
17,32,744,20
18,39,744,12
19,5,744,18
20,34,1416,29
21,8,1416,24
22,19,1416,25
23,15,1416,26
24,1,1416,27
25,4,1416,39
26,36,1416,36
27,35,1416,32
28,29,1416,40
29,22,1416,31
30,21,1416,38
31,7,1416,37
32,36,1416,34
33,3,1416,30
34,23,1416,35
35,7,1416,33
36,27,1416,23
37,31,1416,22
38,19,1416,21
39,0,1416,28
40,34,2160,55
41,27,2160,58
42,4,2160,59
43,43,2160,60
44,15,2160,41
45,42,2160,48
46,42,2160,49
47,22,2160,51
48,34,2160,56
49,25,2160,46
50,12,2160,52
51,36,2160,53
52,35,2160,44
53,30,2160,50
54,2,2160,47
55,11,2160,54
56,27,2160,45
57,33,2160,42
58,19,2160,43
59,10,2160,57
60,26,2880,64
61,3,2880,71
62,29,2880,69
63,38,2880,75
64,35,2880,63
65,9,2880,68
66,6,2880,62
67,39,2880,77
68,43,2880,66
69,43,2880,72
70,5,2880,65
71,3,2880,79
72,26,2880,70
73,11,2880,61
74,7,2880,73
75,11,2880,78
76,25,2880,74
77,6,2880,76
78,32,2880,80
79,43,2880,67
80,37,3624,100
81,18,3624,88
82,2,3624,92
83,14,3624,89
84,15,3624,84
85,26,3624,94
86,13,3624,95
87,34,3624,83
88,39,3624,90
89,1,3624,87
90,1,3624,86
91,35,3624,93
92,5,3624,96
93,24,3624,81
94,22,3624,98
95,28,3624,97
96,17,3624,85
97,20,3624,91
98,32,3624,99
99,0,3624,82
100,18,4344,118
101,17,4344,104
102,32,4344,103
103,25,4344,111
104,37,4344,105
105,32,4344,108
106,21,4344,107
107,29,4344,102
108,19,4344,109
109,10,4344,119
110,42,4344,106
111,21,4344,120
112,9,4344,101
113,36,4344,117
114,1,4344,115
115,13,4344,110
116,7,4344,116
117,26,4344,113
118,6,4344,112
119,12,4344,114
120,9,5088,134
121,21,5088,137
122,30,5088,140
123,16,5088,130
124,14,5088,136
125,25,5088,123
126,24,5088,128
127,28,5088,131
128,7,5088,124
129,31,5088,122
130,28,5088,129
131,10,5088,127
132,15,5088,126
133,30,5088,138
134,37,5088,135
135,27,5088,133
136,40,5088,125
137,30,5088,139
138,1,5088,121
139,33,5088,132
140,37,5832,143
141,24,5832,156
142,9,5832,160
143,41,5832,153
144,36,5832,142
145,29,5832,159
146,29,5832,149
147,15,5832,155
148,13,5832,150
149,3,5832,151
150,1,5832,145
151,32,5832,157
152,30,5832,154
153,27,5832,141
154,41,5832,144
155,14,5832,158
156,9,5832,147
157,2,5832,152
158,2,5832,146
159,27,5832,148
160,24,6552,163
161,5,6552,178
162,18,6552,167
163,28,6552,179
164,38,6552,161
165,25,6552,174
166,9,6552,173
167,28,6552,171
168,10,6552,166
169,0,6552,165
170,23,6552,175
171,32,6552,180
172,10,6552,168
173,13,6552,177
174,43,6552,169
175,35,6552,176
176,28,6552,170
177,12,6552,172
178,37,6552,164
179,26,6552,162
180,22,7296,194
181,9,7296,200
182,9,7296,196
183,7,7296,191
184,0,7296,187
185,9,7296,183
186,19,7296,181
187,29,7296,199
188,28,7296,189
189,22,7296,193
190,0,7296,198
191,36,7296,192
192,39,7296,185
193,38,7296,182
194,39,7296,184
195,20,7296,197
196,22,7296,195
197,13,7296,188
198,25,7296,186
199,33,7296,190
200,31,8016,207
201,38,8016,215
202,29,8016,216
203,42,8016,213
204,14,8016,218
205,40,8016,211
206,36,8016,201
207,25,8016,217
208,40,8016,202
209,32,8016,212
210,11,8016,206
211,35,8016,203
212,41,8016,214
213,3,8016,210
214,42,8016,209
215,13,8016,220
216,37,8016,208
217,29,8016,204
218,40,8016,205
219,14,8016,219
220,5,8760,227
221,10,8760,239
222,20,8760,222
223,7,8760,232
224,28,8760,234
225,23,8760,236
226,12,8760,223
227,36,8760,233
228,30,8760,221
229,27,8760,230
230,21,8760,240
231,31,8760,235
232,3,8760,225
233,36,8760,231
234,26,8760,224
235,34,8760,238
236,16,8760,228
237,37,8760,237
238,7,8760,229
239,32,8760,226
