,Product_ID,Deadlines,Fermentation_sequence
0,1,744,5
1,23,744,20
2,13,744,17
3,5,744,9
4,8,744,2
5,18,744,8
6,2,744,16
7,37,744,14
8,29,744,11
9,24,744,4
10,24,744,6
11,15,744,3
12,3,744,19
13,41,744,15
14,0,744,12
15,7,744,10
16,37,744,13
17,2,744,7
18,38,744,1
19,21,744,18
20,32,1416,24
21,39,1416,37
22,16,1416,30
23,39,1416,40
24,1,1416,32
25,7,1416,27
26,11,1416,38
27,36,1416,28
28,32,1416,29
29,12,1416,36
30,27,1416,39
31,28,1416,35
32,15,1416,23
33,18,1416,31
34,15,1416,26
35,2,1416,34
36,4,1416,22
37,27,1416,21
38,40,1416,25
39,31,1416,33
40,17,2160,49
41,28,2160,52
42,18,2160,53
43,35,2160,50
44,39,2160,48
45,26,2160,58
46,38,2160,56
47,8,2160,41
48,20,2160,47
49,15,2160,45
50,7,2160,46
51,14,2160,60
52,39,2160,43
53,6,2160,42
54,6,2160,44
55,10,2160,55
56,16,2160,51
57,14,2160,59
58,3,2160,57
59,5,2160,54
60,21,2880,77
61,43,2880,62
62,15,2880,73
63,42,2880,76
64,22,2880,80
65,8,2880,69
66,3,2880,72
67,15,2880,74
68,40,2880,79
69,0,2880,71
70,18,2880,70
71,5,2880,63
72,29,2880,68
73,5,2880,78
74,16,2880,65
75,19,2880,67
76,8,2880,64
77,33,2880,61
78,2,2880,75
79,28,2880,66
80,15,3624,96
81,23,3624,85
82,10,3624,90
83,31,3624,86
84,34,3624,94
85,14,3624,99
86,19,3624,82
87,13,3624,91
88,0,3624,83
89,31,3624,84
90,6,3624,88
91,5,3624,98
92,25,3624,93
93,41,3624,95
94,1,3624,81
95,32,3624,97
96,36,3624,87
97,21,3624,100
98,11,3624,92
99,13,3624,89
100,18,4344,104
101,10,4344,113
102,17,4344,119
103,20,4344,112
104,34,4344,107
105,21,4344,116
106,38,4344,110
107,14,4344,117
108,4,4344,108
109,12,4344,114
110,33,4344,103
111,15,4344,115
112,33,4344,102
113,33,4344,120
114,21,4344,106
115,11,4344,109
116,35,4344,111
117,36,4344,118
118,42,4344,105
119,15,4344,101
120,32,5088,140
121,18,5088,127
122,33,5088,134
123,36,5088,129
124,19,5088,135
125,16,5088,130
126,25,5088,137
127,30,5088,136
128,5,5088,122
129,36,5088,126
130,18,5088,139
131,2,5088,123
132,26,5088,131
133,31,5088,124
134,34,5088,121
135,11,5088,125
136,30,5088,132
137,29,5088,133
138,29,5088,128
139,24,5088,138
140,8,5832,149
141,10,5832,144
142,6,5832,151
143,12,5832,155
144,17,5832,153
145,27,5832,159
146,11,5832,148
147,34,5832,143
148,30,5832,154
149,10,5832,145
150,43,5832,156
151,14,5832,158
152,21,5832,146
153,15,5832,142
154,32,5832,152
155,27,5832,150
156,21,5832,157
157,39,5832,160
158,5,5832,147
159,33,5832,141
160,24,6552,178
161,13,6552,180
162,32,6552,177
163,42,6552,179
164,3,6552,176
165,0,6552,175
166,38,6552,165
167,11,6552,163
168,4,6552,170
169,17,6552,162
170,22,6552,172
171,24,6552,168
172,36,6552,171
173,1,6552,173
174,18,6552,174
175,24,6552,166
176,2,6552,161
177,8,6552,164
178,38,6552,169
179,32,6552,167
180,36,7296,182
181,6,7296,200
182,38,7296,186
183,23,7296,190
184,4,7296,196
185,5,7296,187
186,38,7296,185
187,29,7296,194
188,32,7296,183
189,24,7296,198
190,11,7296,181
191,20,7296,195
192,7,7296,188
193,33,7296,192
194,27,7296,189
195,24,7296,197
196,43,7296,193
197,11,7296,199
198,19,7296,184
199,17,7296,191
200,18,8016,213
201,32,8016,216
202,22,8016,205
203,22,8016,207
204,31,8016,206
205,8,8016,219
206,6,8016,211
207,41,8016,204
208,2,8016,212
209,43,8016,201
210,9,8016,203
211,36,8016,210
212,4,8016,202
213,7,8016,217
214,6,8016,209
215,20,8016,218
216,37,8016,214
217,33,8016,208
218,23,8016,220
219,5,8016,215
220,11,8760,235
221,11,8760,224
222,33,8760,221
223,39,8760,225
224,34,8760,231
225,25,8760,236
226,18,8760,240
227,8,8760,226
228,17,8760,228
229,15,8760,232
230,0,8760,229
231,2,8760,239
232,2,8760,234
233,16,8760,238
234,0,8760,230
235,32,8760,237
236,11,8760,223
237,26,8760,227
238,25,8760,222
239,31,8760,233
