,Product_ID,Deadlines,Fermentation_sequence
0,15,744,4
1,3,744,9
2,20,744,2
3,33,744,6
4,21,744,20
5,38,744,3
6,29,744,18
7,31,744,5
8,42,744,11
9,13,744,12
10,20,744,14
11,4,744,17
12,20,744,19
13,26,744,7
14,0,744,13
15,36,744,16
16,11,744,15
17,23,744,10
18,6,744,1
19,37,744,8
20,6,1416,32
21,21,1416,35
22,43,1416,21
23,40,1416,22
24,19,1416,30
25,20,1416,31
26,40,1416,39
27,16,1416,27
28,26,1416,40
29,5,1416,36
30,15,1416,29
31,20,1416,28
32,42,1416,24
33,6,1416,26
34,30,1416,37
35,15,1416,38
36,17,1416,33
37,10,1416,34
38,2,1416,23
39,36,1416,25
40,24,2160,42
41,27,2160,51
42,38,2160,53
43,13,2160,60
44,11,2160,41
45,23,2160,52
46,27,2160,58
47,22,2160,56
48,11,2160,43
49,25,2160,59
50,15,2160,55
51,31,2160,47
52,38,2160,54
53,43,2160,46
54,9,2160,49
55,17,2160,44
56,7,2160,50
57,11,2160,57
58,10,2160,45
59,29,2160,48
60,38,2880,61
61,13,2880,78
62,35,2880,74
63,12,2880,64
64,31,2880,66
65,43,2880,62
66,42,2880,71
67,19,2880,67
68,4,2880,69
69,13,2880,79
70,37,2880,77
71,30,2880,80
72,6,2880,70
73,41,2880,75
74,38,2880,72
75,33,2880,68
76,18,2880,76
77,31,2880,63
78,15,2880,65
79,15,2880,73
80,32,3624,88
81,36,3624,97
82,24,3624,87
83,11,3624,85
84,20,3624,83
85,8,3624,81
86,15,3624,90
87,2,3624,99
88,40,3624,89
89,5,3624,86
90,21,3624,100
91,32,3624,91
92,14,3624,93
93,27,3624,96
94,16,3624,92
95,8,3624,94
96,31,3624,98
97,29,3624,82
98,25,3624,95
99,4,3624,84
100,24,4344,102
101,41,4344,116
102,8,4344,110
103,22,4344,111
104,0,4344,115
105,8,4344,108
106,3,4344,117
107,9,4344,120
108,29,4344,119
109,12,4344,106
110,12,4344,112
111,9,4344,109
112,20,4344,114
113,13,4344,104
114,15,4344,107
115,38,4344,105
116,32,4344,103
117,15,4344,101
118,23,4344,118
119,31,4344,113
