,Product_ID,Deadlines,Fermentation_sequence
0,15,744,14
1,3,744,19
2,20,744,10
3,33,744,2
4,21,744,13
5,38,744,4
6,29,744,8
7,31,744,15
8,42,744,3
9,13,744,17
10,20,744,12
11,4,744,6
12,20,744,7
13,26,744,20
14,0,744,16
15,36,744,5
16,11,744,11
17,23,744,1
18,6,744,9
19,37,744,18
20,6,1416,39
21,21,1416,33
22,43,1416,30
23,40,1416,34
24,19,1416,32
25,20,1416,36
26,40,1416,24
27,16,1416,29
28,26,1416,40
29,5,1416,21
30,15,1416,31
31,20,1416,27
32,42,1416,22
33,6,1416,26
34,30,1416,23
35,15,1416,25
36,17,1416,35
37,10,1416,28
38,2,1416,37
39,36,1416,38
40,24,2160,48
41,27,2160,49
42,38,2160,55
43,13,2160,60
44,11,2160,50
45,23,2160,54
46,27,2160,52
47,22,2160,46
48,11,2160,58
49,25,2160,59
50,15,2160,42
51,31,2160,43
52,38,2160,41
53,43,2160,44
54,9,2160,53
55,17,2160,45
56,7,2160,56
57,11,2160,47
58,10,2160,51
59,29,2160,57
60,38,2880,61
61,13,2880,66
62,35,2880,68
63,12,2880,79
64,31,2880,76
65,43,2880,67
66,42,2880,70
67,19,2880,63
68,4,2880,75
69,13,2880,71
70,37,2880,72
71,30,2880,73
72,6,2880,62
73,41,2880,78
74,38,2880,69
75,33,2880,74
76,18,2880,77
77,31,2880,65
78,15,2880,64
79,15,2880,80
80,32,3624,82
81,36,3624,92
82,24,3624,96
83,11,3624,85
84,20,3624,93
85,8,3624,90
86,15,3624,89
87,2,3624,95
88,40,3624,88
89,5,3624,83
90,21,3624,100
91,32,3624,87
92,14,3624,86
93,27,3624,98
94,16,3624,81
95,8,3624,97
96,31,3624,94
97,29,3624,91
98,25,3624,99
99,4,3624,84
100,24,4344,107
101,41,4344,105
102,8,4344,102
103,22,4344,114
104,0,4344,120
105,8,4344,118
106,3,4344,112
107,9,4344,117
108,29,4344,110
109,12,4344,109
110,12,4344,115
111,9,4344,111
112,20,4344,116
113,13,4344,119
114,15,4344,106
115,38,4344,101
116,32,4344,104
117,15,4344,113
118,23,4344,108
119,31,4344,103
