,Product_ID,Deadlines,Fermentation_sequence
0,38,744,9
1,28,744,2
2,10,744,18
3,5,744,1
4,11,744,4
5,17,744,7
6,43,744,13
7,13,744,17
8,21,744,19
9,16,744,16
10,42,744,8
11,25,744,5
12,8,744,10
13,23,744,15
14,26,744,6
15,3,744,20
16,33,744,12
17,11,744,11
18,24,744,14
19,33,744,3
20,12,1416,27
21,32,1416,39
22,1,1416,36
23,42,1416,31
24,8,1416,28
25,31,1416,29
26,30,1416,40
27,1,1416,21
28,41,1416,32
29,24,1416,24
30,1,1416,23
31,0,1416,33
32,35,1416,25
33,12,1416,37
34,17,1416,22
35,39,1416,26
36,29,1416,38
37,42,1416,35
38,42,1416,34
39,18,1416,30
40,11,2160,46
41,38,2160,51
42,41,2160,52
43,42,2160,50
44,43,2160,41
45,36,2160,55
46,2,2160,58
47,25,2160,42
48,18,2160,44
49,4,2160,60
50,42,2160,48
51,25,2160,47
52,7,2160,54
53,38,2160,45
54,11,2160,59
55,28,2160,56
56,19,2160,57
57,41,2160,49
58,2,2160,53
59,20,2160,43
60,42,2880,67
61,23,2880,76
62,34,2880,74
63,19,2880,79
64,33,2880,71
65,10,2880,68
66,11,2880,63
67,31,2880,73
68,5,2880,77
69,41,2880,75
70,24,2880,70
71,28,2880,78
72,26,2880,80
73,23,2880,72
74,24,2880,64
75,32,2880,66
76,8,2880,62
77,38,2880,61
78,40,2880,65
79,27,2880,69
80,22,3624,99
81,34,3624,94
82,28,3624,97
83,37,3624,93
84,42,3624,82
85,8,3624,89
86,12,3624,100
87,8,3624,96
88,33,3624,86
89,16,3624,87
90,12,3624,91
91,27,3624,95
92,12,3624,84
93,9,3624,85
94,0,3624,81
95,11,3624,88
96,31,3624,98
97,0,3624,92
98,28,3624,90
99,43,3624,83
100,37,4344,111
101,39,4344,117
102,29,4344,106
103,43,4344,114
104,28,4344,104
105,21,4344,115
106,21,4344,120
107,27,4344,118
108,0,4344,102
109,38,4344,103
110,25,4344,108
111,17,4344,109
112,8,4344,101
113,24,4344,105
114,13,4344,112
115,2,4344,119
116,36,4344,107
117,3,4344,113
118,18,4344,110
119,10,4344,116
