,Product_ID,Deadlines,Fermentation_sequence
0,13,744,13
1,10,744,15
2,0,744,10
3,30,744,18
4,22,744,20
5,7,744,8
6,4,744,6
7,13,744,11
8,36,744,2
9,4,744,16
10,21,744,12
11,40,744,5
12,5,744,14
13,14,744,17
14,8,744,3
15,2,744,7
16,16,744,9
17,33,744,4
18,30,744,19
19,4,744,1
20,1,1416,35
21,3,1416,40
22,9,1416,27
23,32,1416,36
24,24,1416,25
25,29,1416,26
26,18,1416,24
27,7,1416,32
28,17,1416,21
29,43,1416,23
30,34,1416,34
31,28,1416,39
32,36,1416,33
33,0,1416,28
34,41,1416,29
35,3,1416,38
36,13,1416,31
37,30,1416,37
38,40,1416,22
39,26,1416,30
40,34,2160,55
41,2,2160,45
42,37,2160,52
43,3,2160,60
44,18,2160,44
45,14,2160,58
46,40,2160,49
47,7,2160,57
48,17,2160,46
49,14,2160,59
50,5,2160,56
51,9,2160,42
52,37,2160,54
53,43,2160,48
54,2,2160,50
55,32,2160,51
56,26,2160,47
57,0,2160,53
58,16,2160,41
59,33,2160,43
60,37,2880,69
61,22,2880,78
62,18,2880,65
63,26,2880,68
64,3,2880,80
65,37,2880,74
66,35,2880,62
67,16,2880,61
68,38,2880,71
69,24,2880,64
70,23,2880,76
71,14,2880,77
72,42,2880,66
73,20,2880,63
74,14,2880,79
75,9,2880,73
76,15,2880,72
77,42,2880,70
78,5,2880,75
79,24,2880,67
80,0,3624,95
81,1,3624,89
82,25,3624,93
83,18,3624,88
84,9,3624,86
85,19,3624,81
86,14,3624,99
87,13,3624,96
88,1,3624,90
89,20,3624,84
90,36,3624,92
91,12,3624,83
92,18,3624,87
93,25,3624,82
94,3,3624,100
95,4,3624,85
96,15,3624,94
97,41,3624,97
98,28,3624,98
99,29,3624,91
100,28,4344,115
101,34,4344,117
102,42,4344,111
103,37,4344,110
104,34,4344,108
105,8,4344,107
106,25,4344,105
107,26,4344,109
108,33,4344,102
109,34,4344,112
110,22,4344,120
111,25,4344,103
112,33,4344,104
113,10,4344,118
114,2,4344,101
115,10,4344,116
116,7,4344,106
117,4,4344,114
118,3,4344,119
119,29,4344,113
