,Product_ID,Deadlines,Fermentation_sequence
0,14,744,19
1,14,744,18
2,28,744,7
3,18,744,5
4,34,744,10
5,26,744,9
6,10,744,17
7,8,744,3
8,3,744,20
9,10,744,14
10,20,744,13
11,19,744,4
12,10,744,11
13,25,744,2
14,17,744,8
15,21,744,15
16,20,744,1
17,32,744,16
18,5,744,6
19,36,744,12
20,34,1416,39
21,0,1416,31
22,0,1416,35
23,8,1416,22
24,34,1416,40
25,32,1416,38
26,6,1416,34
27,6,1416,25
28,0,1416,32
29,26,1416,30
30,31,1416,21
31,13,1416,37
32,39,1416,33
33,16,1416,24
34,26,1416,28
35,2,1416,26
36,31,1416,23
37,32,1416,36
38,38,1416,29
39,31,1416,27
40,17,2160,47
41,10,2160,59
42,37,2160,57
43,35,2160,45
44,17,2160,55
45,1,2160,51
46,39,2160,48
47,5,2160,60
48,38,2160,56
49,2,2160,53
50,16,2160,43
51,2,2160,54
52,29,2160,46
53,13,2160,58
54,12,2160,52
55,1,2160,42
56,16,2160,41
57,43,2160,44
58,11,2160,49
59,12,2160,50
60,35,2880,68
61,6,2880,70
62,4,2880,74
63,39,2880,72
64,11,2880,75
65,29,2880,73
66,6,2880,65
67,40,2880,64
68,19,2880,62
69,0,2880,76
70,16,2880,63
71,40,2880,69
72,1,2880,71
73,36,2880,67
74,5,2880,78
75,7,2880,61
76,17,2880,66
77,37,2880,77
78,21,2880,79
79,28,2880,80
80,27,3624,96
81,32,3624,97
82,0,3624,93
83,6,3624,90
84,19,3624,84
85,9,3624,92
86,16,3624,86
87,19,3624,87
88,41,3624,99
89,15,3624,88
90,18,3624,83
91,23,3624,100
92,24,3624,81
93,35,3624,82
94,9,3624,85
95,42,3624,94
96,34,3624,98
97,7,3624,95
98,27,3624,91
99,33,3624,89
100,13,4344,114
101,40,4344,109
102,39,4344,117
103,22,4344,120
104,40,4344,101
105,9,4344,116
106,36,4344,103
107,23,4344,108
108,34,4344,115
109,41,4344,118
110,42,4344,111
111,32,4344,110
112,28,4344,107
113,0,4344,112
114,37,4344,113
115,40,4344,106
116,28,4344,119
117,29,4344,102
118,19,4344,105
119,33,4344,104
