,Product_ID,Deadlines,Fermentation_sequence
0,19,744,15
1,19,744,7
2,22,744,16
3,40,744,5
4,7,744,6
5,28,744,14
6,14,744,19
7,35,744,9
8,13,744,12
9,35,744,4
10,30,744,20
11,20,744,3
12,43,744,8
13,20,744,2
14,34,744,17
15,37,744,11
16,37,744,10
17,5,744,18
18,41,744,13
19,10,744,1
20,0,1416,23
21,27,1416,34
22,4,1416,26
23,20,1416,30
24,33,1416,33
25,7,1416,29
26,4,1416,35
27,20,1416,22
28,9,1416,27
29,13,1416,39
30,6,1416,21
31,13,1416,40
32,8,1416,28
33,13,1416,38
34,38,1416,25
35,3,1416,36
36,43,1416,37
37,22,1416,32
38,5,1416,31
39,42,1416,24
40,38,2160,43
41,30,2160,53
42,3,2160,46
43,21,2160,52
44,32,2160,51
45,8,2160,55
46,40,2160,58
47,16,2160,50
48,42,2160,41
49,31,2160,60
50,30,2160,57
51,20,2160,56
52,26,2160,49
53,13,2160,44
54,38,2160,42
55,26,2160,47
56,39,2160,59
57,12,2160,48
58,21,2160,45
59,27,2160,54
60,27,2880,79
61,25,2880,66
62,15,2880,76
63,14,2880,78
64,13,2880,72
65,42,2880,71
66,20,2880,68
67,39,2880,80
68,36,2880,67
69,38,2880,64
70,36,2880,62
71,26,2880,70
72,8,2880,63
73,10,2880,74
74,32,2880,77
75,6,2880,61
76,20,2880,65
77,41,2880,73
78,3,2880,75
79,41,2880,69
80,32,3624,99
81,40,3624,83
82,35,3624,93
83,6,3624,89
84,35,3624,98
85,11,3624,82
86,19,3624,84
87,11,3624,85
88,13,3624,95
89,34,3624,100
90,0,3624,94
91,0,3624,90
92,29,3624,88
93,28,3624,92
94,14,3624,96
95,6,3624,86
96,31,3624,81
97,38,3624,91
98,22,3624,97
99,8,3624,87
100,23,4344,103
101,25,4344,111
102,10,4344,115
103,6,4344,108
104,41,4344,105
105,2,4344,119
106,8,4344,109
107,23,4344,120
108,1,4344,112
109,26,4344,113
110,39,4344,110
111,18,4344,101
112,16,4344,104
113,2,4344,118
114,15,4344,117
115,0,4344,114
116,24,4344,102
117,2,4344,106
118,30,4344,116
119,8,4344,107
