,Product_ID,Deadlines,Fermentation_sequence
0,17,744,14
1,27,744,8
2,12,744,15
3,14,744,18
4,29,744,12
5,1,744,20
6,33,744,19
7,7,744,9
8,5,744,10
9,17,744,11
10,35,744,1
11,39,744,13
12,17,744,2
13,21,744,17
14,14,744,7
15,1,744,4
16,35,744,5
17,20,744,6
18,14,744,16
19,37,744,3
20,39,1416,38
21,26,1416,36
22,36,1416,34
23,21,1416,28
24,28,1416,32
25,4,1416,23
26,26,1416,21
27,29,1416,30
28,35,1416,33
29,43,1416,31
30,42,1416,29
31,43,1416,24
32,8,1416,25
33,25,1416,39
34,15,1416,35
35,11,1416,26
36,31,1416,40
37,34,1416,37
38,32,1416,27
39,32,1416,22
40,16,2160,47
41,21,2160,56
42,18,2160,60
43,19,2160,58
44,13,2160,49
45,15,2160,50
46,13,2160,53
47,6,2160,59
48,1,2160,55
49,36,2160,54
50,0,2160,43
51,15,2160,45
52,25,2160,57
53,15,2160,48
54,2,2160,51
55,13,2160,52
56,4,2160,41
57,19,2160,44
58,8,2160,46
59,15,2160,42
60,33,2880,69
61,8,2880,65
62,31,2880,79
63,7,2880,71
64,5,2880,73
65,37,2880,72
66,19,2880,78
67,22,2880,66
68,27,2880,77
69,31,2880,64
70,34,2880,76
71,19,2880,63
72,32,2880,80
73,3,2880,61
74,42,2880,67
75,26,2880,62
76,32,2880,68
77,27,2880,70
78,26,2880,74
79,39,2880,75
80,43,3624,99
81,5,3624,96
82,26,3624,82
83,15,3624,91
84,20,3624,85
85,9,3624,84
86,31,3624,97
87,12,3624,86
88,42,3624,95
89,15,3624,98
90,7,3624,92
91,4,3624,87
92,39,3624,89
93,4,3624,90
94,33,3624,81
95,2,3624,94
96,25,3624,100
97,29,3624,88
98,1,3624,93
99,5,3624,83
100,32,4344,117
101,23,4344,105
102,6,4344,102
103,1,4344,104
104,3,4344,101
105,1,4344,120
106,7,4344,110
107,20,4344,107
108,9,4344,115
109,40,4344,109
110,17,4344,103
111,9,4344,108
112,4,4344,113
113,21,4344,111
114,8,4344,119
115,9,4344,114
116,3,4344,118
117,15,4344,106
118,43,4344,116
119,21,4344,112
