,Product_ID,Deadlines,Fermentation_sequence
0,16,744,2
1,2,744,17
2,32,744,20
3,15,744,3
4,32,744,9
5,24,744,18
6,21,744,12
7,23,744,8
8,25,744,5
9,10,744,19
10,13,744,1
11,6,744,15
12,41,744,13
13,18,744,14
14,27,744,16
15,16,744,4
16,12,744,7
17,33,744,6
18,16,744,10
19,30,744,11
20,28,1416,30
21,21,1416,28
22,2,1416,29
23,43,1416,26
24,35,1416,25
25,19,1416,39
26,31,1416,38
27,20,1416,33
28,38,1416,36
29,34,1416,22
30,13,1416,21
31,30,1416,35
32,6,1416,40
33,18,1416,34
34,13,1416,27
35,33,1416,32
36,40,1416,31
37,22,1416,24
38,0,1416,23
39,36,1416,37
40,25,2160,59
41,2,2160,51
42,34,2160,49
43,30,2160,45
44,25,2160,41
45,29,2160,44
46,41,2160,46
47,29,2160,60
48,39,2160,43
49,31,2160,54
50,36,2160,57
51,10,2160,52
52,43,2160,56
53,0,2160,53
54,15,2160,48
55,25,2160,58
56,38,2160,42
57,12,2160,50
58,34,2160,47
59,15,2160,55
60,4,2880,63
61,0,2880,80
62,1,2880,78
63,33,2880,72
64,23,2880,73
65,24,2880,64
66,13,2880,71
67,10,2880,66
68,10,2880,67
69,32,2880,68
70,39,2880,61
71,31,2880,70
72,30,2880,79
73,20,2880,62
74,34,2880,76
75,10,2880,74
76,3,2880,77
77,10,2880,65
78,23,2880,69
79,0,2880,75
80,15,3624,85
81,36,3624,94
82,37,3624,82
83,33,3624,83
84,23,3624,84
85,6,3624,90
86,9,3624,92
87,8,3624,87
88,36,3624,93
89,29,3624,95
90,15,3624,99
91,24,3624,89
92,37,3624,100
93,10,3624,81
94,5,3624,98
95,29,3624,91
96,31,3624,96
97,38,3624,86
98,24,3624,97
99,25,3624,88
100,5,4344,101
101,30,4344,118
102,13,4344,117
103,1,4344,109
104,41,4344,107
105,19,4344,111
106,15,4344,113
107,27,4344,105
108,15,4344,103
109,15,4344,102
110,40,4344,115
111,19,4344,120
112,28,4344,116
113,24,4344,104
114,32,4344,119
115,29,4344,110
116,33,4344,106
117,28,4344,112
118,0,4344,108
119,23,4344,114
