Sequence,Fitness,Best_sequence,Best_fitness,Time
"[3, 16, 6, 10, 2, 14, 4, 17, 7, 1, 13, 0, 19, 18, 9, 15, 8, 12, 11, 5]",1432,"[3, 16, 6, 10, 2, 14, 4, 17, 7, 1, 13, 0, 19, 18, 9, 15, 8, 12, 11, 5]",1432,0.00012803077697753906
"[15, 8, 16, 3, 19, 17, 5, 6, 0, 12, 1, 9, 13, 7, 4, 2, 14, 10, 11, 18]",1468,"[3, 16, 6, 10, 2, 14, 4, 17, 7, 1, 13, 0, 19, 18, 9, 15, 8, 12, 11, 5]",1432,0.020910024642944336
"[4, 2, 18, 12, 11, 19, 5, 6, 14, 7, 15, 9, 10, 3, 13, 16, 8, 17, 0, 1]",1481,"[3, 16, 6, 10, 2, 14, 4, 17, 7, 1, 13, 0, 19, 18, 9, 15, 8, 12, 11, 5]",1432,0.04160594940185547
"[10, 14, 5, 6, 18, 1, 8, 7, 19, 15, 4, 0, 2, 9, 3, 13, 16, 12, 11, 17]",1487,"[3, 16, 6, 10, 2, 14, 4, 17, 7, 1, 13, 0, 19, 18, 9, 15, 8, 12, 11, 5]",1432,0.06432890892028809
"[15, 17, 1, 16, 14, 13, 18, 3, 12, 9, 11, 19, 10, 2, 0, 8, 6, 5, 4, 7]",1484,"[3, 16, 6, 10, 2, 14, 4, 17, 7, 1, 13, 0, 19, 18, 9, 15, 8, 12, 11, 5]",1432,0.0854790210723877
"[10, 1, 17, 11, 12, 9, 14, 18, 8, 7, 16, 2, 15, 5, 4, 6, 19, 0, 3, 13]",1487,"[3, 16, 6, 10, 2, 14, 4, 17, 7, 1, 13, 0, 19, 18, 9, 15, 8, 12, 11, 5]",1432,0.10676884651184082
"[9, 3, 15, 5, 18, 6, 17, 14, 8, 11, 1, 19, 10, 0, 2, 12, 16, 4, 13, 7]",1481,"[3, 16, 6, 10, 2, 14, 4, 17, 7, 1, 13, 0, 19, 18, 9, 15, 8, 12, 11, 5]",1432,0.12763714790344238
"[4, 3, 17, 5, 19, 8, 13, 11, 14, 0, 6, 10, 16, 7, 15, 12, 2, 1, 18, 9]",1431,"[3, 16, 6, 10, 2, 14, 4, 17, 7, 1, 13, 0, 19, 18, 9, 15, 8, 12, 11, 5]",1432,0.1478409767150879
"[11, 14, 3, 8, 6, 18, 9, 12, 7, 0, 19, 4, 17, 15, 2, 1, 13, 5, 16, 10]",1462,"[4, 3, 17, 5, 19, 8, 13, 11, 14, 0, 6, 10, 16, 7, 15, 12, 2, 1, 18, 9]",1431,0.16833996772766113
"[10, 3, 16, 1, 0, 4, 12, 5, 7, 2, 9, 15, 19, 17, 8, 18, 6, 11, 13, 14]",1468,"[4, 3, 17, 5, 19, 8, 13, 11, 14, 0, 6, 10, 16, 7, 15, 12, 2, 1, 18, 9]",1431,0.18888092041015625
"[5, 12, 1, 18, 9, 11, 6, 2, 4, 3, 10, 0, 7, 16, 14, 8, 13, 15, 19, 17]",1481,"[4, 3, 17, 5, 19, 8, 13, 11, 14, 0, 6, 10, 16, 7, 15, 12, 2, 1, 18, 9]",1431,0.20903611183166504
"[6, 15, 19, 9, 14, 5, 4, 11, 17, 3, 8, 10, 18, 7, 12, 13, 0, 16, 2, 1]",1468,"[4, 3, 17, 5, 19, 8, 13, 11, 14, 0, 6, 10, 16, 7, 15, 12, 2, 1, 18, 9]",1431,0.22993993759155273
"[1, 9, 0, 2, 8, 4, 5, 13, 7, 6, 18, 16, 3, 11, 14, 15, 19, 10, 17, 12]",1399,"[4, 3, 17, 5, 19, 8, 13, 11, 14, 0, 6, 10, 16, 7, 15, 12, 2, 1, 18, 9]",1431,0.2500150203704834
"[13, 11, 18, 10, 4, 12, 16, 9, 8, 2, 19, 14, 1, 17, 7, 15, 6, 5, 3, 0]",1484,"[1, 9, 0, 2, 8, 4, 5, 13, 7, 6, 18, 16, 3, 11, 14, 15, 19, 10, 17, 12]",1399,0.27019810676574707
"[16, 8, 5, 15, 4, 2, 18, 0, 11, 19, 10, 9, 13, 6, 12, 1, 3, 7, 17, 14]",1481,"[1, 9, 0, 2, 8, 4, 5, 13, 7, 6, 18, 16, 3, 11, 14, 15, 19, 10, 17, 12]",1399,0.290341854095459
"[2, 17, 12, 14, 1, 13, 6, 0, 18, 8, 3, 5, 7, 4, 11, 10, 15, 19, 9, 16]",1465,"[1, 9, 0, 2, 8, 4, 5, 13, 7, 6, 18, 16, 3, 11, 14, 15, 19, 10, 17, 12]",1399,0.30899786949157715
"[0, 1, 13, 2, 4, 3, 16, 19, 9, 7, 10, 8, 17, 15, 11, 6, 5, 12, 14, 18]",1396,"[1, 9, 0, 2, 8, 4, 5, 13, 7, 6, 18, 16, 3, 11, 14, 15, 19, 10, 17, 12]",1399,0.32852625846862793
"[3, 13, 14, 12, 7, 0, 6, 17, 19, 15, 4, 9, 18, 8, 10, 11, 1, 2, 5, 16]",1471,"[0, 1, 13, 2, 4, 3, 16, 19, 9, 7, 10, 8, 17, 15, 11, 6, 5, 12, 14, 18]",1396,0.34633708000183105
"[11, 15, 5, 1, 9, 8, 18, 10, 14, 4, 13, 19, 17, 16, 7, 12, 6, 3, 2, 0]",1481,"[0, 1, 13, 2, 4, 3, 16, 19, 9, 7, 10, 8, 17, 15, 11, 6, 5, 12, 14, 18]",1396,0.3674921989440918
"[7, 16, 6, 5, 8, 1, 17, 15, 3, 14, 0, 4, 18, 11, 10, 2, 12, 13, 19, 9]",1434,"[0, 1, 13, 2, 4, 3, 16, 19, 9, 7, 10, 8, 17, 15, 11, 6, 5, 12, 14, 18]",1396,0.38701605796813965
"[7, 6, 15, 5, 1, 18, 0, 17, 19, 10, 9, 3, 2, 12, 8, 11, 16, 14, 13, 4]",1490,"[0, 1, 13, 2, 4, 3, 16, 19, 9, 7, 10, 8, 17, 15, 11, 6, 5, 12, 14, 18]",1396,0.40532994270324707
"[3, 19, 6, 9, 1, 4, 0, 15, 17, 8, 13, 14, 10, 11, 12, 18, 2, 5, 16, 7]",1465,"[0, 1, 13, 2, 4, 3, 16, 19, 9, 7, 10, 8, 17, 15, 11, 6, 5, 12, 14, 18]",1396,0.4233090877532959
"[12, 5, 8, 16, 15, 9, 10, 2, 18, 1, 17, 13, 3, 19, 7, 4, 14, 0, 6, 11]",1462,"[0, 1, 13, 2, 4, 3, 16, 19, 9, 7, 10, 8, 17, 15, 11, 6, 5, 12, 14, 18]",1396,0.44240593910217285
"[15, 1, 3, 19, 4, 2, 13, 17, 9, 8, 10, 12, 11, 16, 0, 5, 7, 14, 18, 6]",1438,"[0, 1, 13, 2, 4, 3, 16, 19, 9, 7, 10, 8, 17, 15, 11, 6, 5, 12, 14, 18]",1396,0.45999908447265625
"[12, 3, 0, 7, 14, 13, 2, 16, 8, 4, 6, 18, 17, 15, 19, 5, 11, 9, 10, 1]",1431,"[0, 1, 13, 2, 4, 3, 16, 19, 9, 7, 10, 8, 17, 15, 11, 6, 5, 12, 14, 18]",1396,0.477370023727417
"[1, 5, 9, 14, 7, 17, 0, 10, 18, 3, 15, 2, 11, 6, 8, 4, 16, 13, 12, 19]",1421,"[0, 1, 13, 2, 4, 3, 16, 19, 9, 7, 10, 8, 17, 15, 11, 6, 5, 12, 14, 18]",1396,0.49581217765808105
"[6, 17, 2, 10, 7, 4, 1, 9, 13, 19, 8, 3, 14, 15, 11, 12, 0, 16, 5, 18]",1432,"[0, 1, 13, 2, 4, 3, 16, 19, 9, 7, 10, 8, 17, 15, 11, 6, 5, 12, 14, 18]",1396,0.5151309967041016
"[9, 3, 4, 2, 12, 8, 7, 18, 11, 16, 13, 5, 1, 15, 0, 19, 17, 6, 14, 10]",1481,"[0, 1, 13, 2, 4, 3, 16, 19, 9, 7, 10, 8, 17, 15, 11, 6, 5, 12, 14, 18]",1396,0.5347678661346436
"[10, 17, 15, 7, 2, 8, 5, 4, 0, 12, 1, 6, 18, 16, 3, 9, 14, 11, 13, 19]",1421,"[0, 1, 13, 2, 4, 3, 16, 19, 9, 7, 10, 8, 17, 15, 11, 6, 5, 12, 14, 18]",1396,0.5546131134033203
"[17, 2, 5, 18, 11, 16, 3, 9, 1, 19, 15, 6, 12, 7, 8, 13, 4, 14, 0, 10]",1481,"[0, 1, 13, 2, 4, 3, 16, 19, 9, 7, 10, 8, 17, 15, 11, 6, 5, 12, 14, 18]",1396,0.5747799873352051
"[18, 17, 8, 11, 3, 7, 1, 16, 13, 10, 2, 14, 15, 4, 12, 19, 9, 5, 0, 6]",1484,"[0, 1, 13, 2, 4, 3, 16, 19, 9, 7, 10, 8, 17, 15, 11, 6, 5, 12, 14, 18]",1396,0.5940868854522705
"[0, 9, 4, 2, 17, 1, 5, 18, 10, 8, 6, 14, 13, 19, 3, 12, 16, 7, 15, 11]",1462,"[0, 1, 13, 2, 4, 3, 16, 19, 9, 7, 10, 8, 17, 15, 11, 6, 5, 12, 14, 18]",1396,0.6130580902099609
"[9, 3, 16, 5, 4, 15, 11, 18, 17, 6, 14, 1, 0, 12, 8, 2, 7, 13, 10, 19]",1418,"[0, 1, 13, 2, 4, 3, 16, 19, 9, 7, 10, 8, 17, 15, 11, 6, 5, 12, 14, 18]",1396,0.6324081420898438
"[9, 15, 10, 11, 13, 8, 7, 12, 18, 17, 6, 19, 3, 4, 5, 14, 2, 16, 1, 0]",1481,"[0, 1, 13, 2, 4, 3, 16, 19, 9, 7, 10, 8, 17, 15, 11, 6, 5, 12, 14, 18]",1396,0.6520519256591797
"[9, 3, 18, 14, 19, 13, 11, 12, 15, 5, 4, 2, 16, 10, 1, 6, 17, 7, 8, 0]",1481,"[0, 1, 13, 2, 4, 3, 16, 19, 9, 7, 10, 8, 17, 15, 11, 6, 5, 12, 14, 18]",1396,0.6727590560913086
"[17, 0, 3, 2, 19, 11, 10, 8, 18, 14, 12, 5, 6, 4, 13, 16, 1, 9, 15, 7]",1431,"[0, 1, 13, 2, 4, 3, 16, 19, 9, 7, 10, 8, 17, 15, 11, 6, 5, 12, 14, 18]",1396,0.6941041946411133
"[16, 19, 8, 7, 4, 15, 9, 6, 13, 12, 5, 1, 14, 10, 0, 17, 2, 3, 18, 11]",1462,"[0, 1, 13, 2, 4, 3, 16, 19, 9, 7, 10, 8, 17, 15, 11, 6, 5, 12, 14, 18]",1396,0.7150201797485352
"[7, 10, 5, 13, 12, 11, 1, 2, 15, 6, 8, 17, 18, 4, 16, 3, 14, 9, 19, 0]",1487,"[0, 1, 13, 2, 4, 3, 16, 19, 9, 7, 10, 8, 17, 15, 11, 6, 5, 12, 14, 18]",1396,0.7356040477752686
"[11, 19, 4, 5, 10, 18, 17, 9, 8, 16, 0, 14, 2, 12, 3, 15, 13, 7, 1, 6]",1396,"[0, 1, 13, 2, 4, 3, 16, 19, 9, 7, 10, 8, 17, 15, 11, 6, 5, 12, 14, 18]",1396,0.7556190490722656
