,Activity,Product,Resource,Request moment,Retrieve moment,Start,Finish
0,0,0,Fermenter_5,0,0,0,96
1,2,0,Harvesting tanks B,0,0,81,102
2,1,0,Filters A,0,0,90,102
3,0,1,Fermenter_1,3,3,3,115
4,3,0,Buffer tanks,0,0,90,119
5,4,0,Microfilter,0,0,90,119
6,2,1,Harvesting tanks B,3,3,97,139
7,1,1,Filters A,3,3,116,139
8,3,1,Buffer tanks,3,3,116,142
9,4,1,Microfilter,3,3,117,142
10,5,1,Buffer tanks,3,3,128,153
11,6,1,Microfilter,3,3,128,153
12,5,0,Stabilization tanks,0,0,119,208
13,7,1,Stabilization tanks,3,3,142,246
14,0,2,Fermenter_1,6,142,142,254
15,2,2,Harvesting tanks B,6,142,229,254
16,1,2,Filters B,6,142,239,254
17,3,2,Buffer tanks,6,142,239,258
18,4,2,Microfilter,6,142,239,258
19,5,2,Buffer tanks,6,142,244,263
20,6,2,Microfilter,6,142,244,263
21,7,2,Buffer tanks,6,142,249,267
22,8,2,Microfilter,6,142,249,267
23,9,2,Stabilization tanks,6,142,258,356
24,1,3,Harvesting tanks A,9,267,342,383
25,2,3,Harvesting tanks A,9,267,342,423
26,0,3,Fermenter_4,9,267,267,447
27,4,3,Harvesting tanks B,9,267,342,459
28,3,3,Filters A,9,267,436,459
29,5,3,Buffer tanks,9,267,436,472
30,7,3,Microfilter,9,267,437,483
31,6,3,Buffer tanks,9,267,452,484
32,9,3,Harvesting tanks B,9,267,422,492
33,8,3,Filters A,9,267,452,492
34,10,3,Buffer tanks,9,267,452,500
35,12,3,Harvesting tanks B,9,267,422,511
36,11,3,Filters A,9,267,452,511
37,13,3,Buffer tanks,9,267,461,516
38,14,3,Microfilter,9,267,472,516
39,0,4,Fermenter_2,12,472,472,554
40,2,4,Harvesting tanks B,12,472,531,563
41,1,4,Filters A,12,472,547,564
42,3,4,Buffer tanks,12,472,547,589
43,4,4,Microfilter,12,472,547,589
44,15,3,Stabilization tanks,9,267,472,605
45,1,5,Harvesting tanks A,15,511,569,633
46,2,5,Harvesting tanks A,15,511,569,681
47,5,4,Stabilization tanks,12,472,589,682
48,0,5,Fermenter_1,15,511,511,692
49,4,5,Harvesting tanks B,15,511,569,705
50,3,5,Filters A,15,511,687,705
51,5,5,Filters A,15,511,691,709
52,6,5,Harvesting tanks B,15,511,668,710
53,7,5,Buffer tanks,15,511,687,720
54,8,5,Microfilter,15,511,688,721
55,9,5,Buffer tanks,15,511,691,724
56,10,5,Microfilter,15,511,692,725
57,1,6,Harvesting tanks A,18,725,766,786
58,11,5,Stabilization tanks,15,511,721,818
59,2,6,Harvesting tanks A,18,725,766,820
60,0,6,Fermenter_3,18,725,725,860
61,4,6,Microfilter,18,725,828,884
62,3,6,Buffer tanks,18,725,836,884
63,5,6,Buffer tanks,18,725,820,894
64,6,6,Microfilter,18,725,836,894
65,8,6,Harvesting tanks B,18,725,766,897
66,7,6,Filters B,18,725,820,897
67,9,6,Buffer tanks,18,725,844,902
68,10,6,Microfilter,18,725,844,902
69,12,6,Microfilter,18,725,820,915
70,11,6,Buffer tanks,18,725,828,915
71,13,6,Stabilization tanks,18,725,844,995
72,14,6,Stabilization tanks,18,725,879,995
73,0,7,Fermenter_2,21,894,894,996
74,15,6,Stabilization tanks,18,725,915,1008
75,1,7,Buffer tanks,21,894,1022,1079
76,2,7,Microfilter,21,894,1025,1080
77,3,7,Filters A,21,894,1022,1085
78,4,7,Harvesting tanks B,21,894,965,1086
79,5,7,Buffer tanks,21,894,1055,1110
80,6,7,Microfilter,21,894,1055,1110
81,1,8,Harvesting tanks A,24,1079,1141,1166
82,7,7,Stabilization tanks,21,894,1080,1199
83,2,8,Harvesting tanks A,24,1079,1141,1236
84,0,8,Fermenter_1,24,1079,1079,1248
85,4,8,Harvesting tanks B,24,1079,1141,1251
86,3,8,Filters A,24,1079,1236,1251
87,5,8,Filters A,24,1079,1242,1253
88,6,8,Harvesting tanks B,24,1079,1226,1254
89,7,8,Buffer tanks,24,1079,1236,1261
90,8,8,Microfilter,24,1079,1236,1261
91,9,8,Buffer tanks,24,1079,1242,1264
92,11,8,Microfilter,24,1079,1242,1267
93,10,8,Buffer tanks,24,1079,1249,1267
94,12,8,Stabilization tanks,24,1079,1261,1356
95,0,9,Fermenter_3,27,1261,1261,1380
96,2,9,Harvesting tanks B,27,1261,1361,1421
97,4,9,Harvesting tanks B,27,1261,1361,1421
98,1,9,Filters A,27,1261,1395,1421
99,3,9,Filters A,27,1261,1395,1421
100,5,9,Buffer tanks,27,1261,1395,1449
101,6,9,Microfilter,27,1261,1395,1449
102,7,9,Buffer tanks,27,1261,1395,1449
103,8,9,Microfilter,27,1261,1395,1449
104,9,9,Stabilization tanks,27,1261,1449,1538
105,1,10,Harvesting tanks A,30,1449,1521,1551
106,2,10,Harvesting tanks A,30,1449,1521,1591
107,0,10,Fermenter_4,30,1449,1449,1616
108,4,10,Harvesting tanks B,30,1449,1521,1624
109,3,10,Filters A,30,1449,1597,1624
110,5,10,Buffer tanks,30,1449,1597,1659
111,6,10,Microfilter,30,1449,1598,1659
112,7,10,Buffer tanks,30,1449,1607,1669
113,8,10,Microfilter,30,1449,1608,1669
114,10,10,Microfilter,30,1449,1613,1673
115,9,10,Buffer tanks,30,1449,1623,1673
116,12,10,Harvesting tanks B,30,1449,1586,1691
117,11,10,Filters A,30,1449,1607,1691
118,13,10,Buffer tanks,30,1449,1613,1717
119,14,10,Microfilter,30,1449,1658,1718
120,15,10,Stabilization tanks,30,1449,1650,1810
121,1,11,Harvesting tanks A,33,1717,1758,1812
122,2,11,Buffer tanks,33,1717,1830,1831
123,0,11,Fermenter_2,33,1717,1717,1842
124,4,11,Microfilter,33,1717,1830,1858
125,3,11,Buffer tanks,33,1717,1831,1859
126,6,11,Harvesting tanks B,33,1717,1758,1864
127,5,11,Filters B,33,1717,1812,1864
128,7,11,Buffer tanks,33,1717,1812,1874
129,8,11,Microfilter,33,1717,1812,1874
130,9,11,Buffer tanks,33,1717,1821,1883
131,10,11,Microfilter,33,1717,1821,1883
132,11,11,Stabilization tanks,33,1717,1831,1967
133,12,11,Stabilization tanks,33,1717,1883,1976
134,1,12,Harvesting tanks A,36,1883,1958,1999
135,2,12,Harvesting tanks A,36,1883,1958,2039
136,0,12,Fermenter_4,36,1883,1883,2063
137,4,12,Harvesting tanks B,36,1883,1958,2075
138,3,12,Filters A,36,1883,2052,2075
139,5,12,Buffer tanks,36,1883,2052,2088
140,7,12,Microfilter,36,1883,2053,2099
141,6,12,Buffer tanks,36,1883,2068,2100
142,9,12,Harvesting tanks B,36,1883,2038,2108
143,8,12,Filters A,36,1883,2068,2108
144,10,12,Buffer tanks,36,1883,2068,2116
145,12,12,Harvesting tanks B,36,1883,2038,2127
146,11,12,Filters A,36,1883,2068,2127
147,13,12,Buffer tanks,36,1883,2077,2132
148,14,12,Microfilter,36,1883,2088,2132
149,1,13,Harvesting tanks A,39,2088,2088,2154
150,0,13,Fermenter_1,39,2088,2088,2179
151,3,13,Harvesting tanks B,39,2088,2154,2213
152,2,13,Filters A,39,2088,2183,2213
153,15,12,Stabilization tanks,36,1883,2088,2221
154,4,13,Buffer tanks,39,2088,2183,2238
155,5,13,Microfilter,39,2088,2185,2238
156,0,14,Fermenter_1,42,2179,2179,2291
157,2,14,Harvesting tanks B,42,2179,2266,2291
158,1,14,Filters B,42,2179,2276,2291
159,3,14,Buffer tanks,42,2179,2276,2295
160,4,14,Microfilter,42,2179,2276,2295
161,5,14,Buffer tanks,42,2179,2281,2300
162,6,14,Microfilter,42,2179,2281,2300
163,7,14,Buffer tanks,42,2179,2286,2304
164,8,14,Microfilter,42,2179,2286,2304
165,6,13,Stabilization tanks,39,2088,2238,2327
166,1,15,Harvesting tanks A,45,2304,2331,2371
167,9,14,Stabilization tanks,42,2179,2295,2393
168,2,15,Harvesting tanks A,45,2304,2331,2399
169,0,15,Fermenter_2,45,2304,2304,2426
170,4,15,Harvesting tanks B,45,2304,2331,2444
171,3,15,Filters A,45,2304,2421,2444
172,6,15,Harvesting tanks B,45,2304,2400,2450
173,5,15,Filters A,45,2304,2433,2451
174,8,15,Microfilter,45,2304,2423,2457
175,7,15,Buffer tanks,45,2304,2421,2458
176,9,15,Buffer tanks,45,2304,2435,2459
177,11,15,Microfilter,45,2304,2435,2468
178,10,15,Buffer tanks,45,2304,2447,2468
179,13,15,Microfilter,45,2304,2435,2469
180,12,15,Buffer tanks,45,2304,2433,2470
181,1,16,Harvesting tanks A,48,2468,2530,2555
182,14,15,Stabilization tanks,45,2304,2457,2558
183,2,16,Harvesting tanks A,48,2468,2530,2625
184,0,16,Fermenter_1,48,2468,2468,2637
185,4,16,Harvesting tanks B,48,2468,2530,2640
186,3,16,Filters A,48,2468,2625,2640
187,5,16,Filters A,48,2468,2631,2642
188,6,16,Harvesting tanks B,48,2468,2615,2643
189,7,16,Buffer tanks,48,2468,2625,2650
190,8,16,Microfilter,48,2468,2625,2650
191,9,16,Buffer tanks,48,2468,2631,2653
192,11,16,Microfilter,48,2468,2631,2656
193,10,16,Buffer tanks,48,2468,2638,2656
194,12,16,Stabilization tanks,48,2468,2650,2745
195,1,17,Harvesting tanks B,51,2653,2698,2754
196,2,17,Harvesting tanks A,51,2653,2698,2759
197,0,17,Fermenter_3,51,2653,2653,2770
198,4,17,Harvesting tanks B,51,2653,2698,2786
199,3,17,Filters A,51,2653,2734,2786
200,5,17,Buffer tanks,51,2653,2734,2798
201,7,17,Microfilter,51,2653,2769,2803
202,6,17,Buffer tanks,51,2653,2770,2803
203,9,17,Harvesting tanks B,51,2653,2752,2809
204,8,17,Filters A,51,2653,2770,2809
205,11,17,Microfilter,51,2653,2735,2828
206,10,17,Buffer tanks,51,2653,2766,2828
207,0,18,Fermenter_1,54,2803,2803,2915
208,2,18,Harvesting tanks B,54,2803,2890,2915
209,1,18,Filters B,54,2803,2900,2915
210,3,18,Buffer tanks,54,2803,2900,2919
211,4,18,Microfilter,54,2803,2900,2919
212,12,17,Stabilization tanks,51,2653,2767,2921
213,5,18,Buffer tanks,54,2803,2905,2924
214,6,18,Microfilter,54,2803,2905,2924
215,7,18,Buffer tanks,54,2803,2910,2928
216,8,18,Microfilter,54,2803,2910,2928
217,9,18,Stabilization tanks,54,2803,2919,3017
218,1,19,Harvesting tanks A,57,2928,3003,3044
219,2,19,Harvesting tanks A,57,2928,3003,3084
220,0,19,Fermenter_4,57,2928,2928,3108
221,4,19,Harvesting tanks B,57,2928,3003,3120
222,3,19,Filters A,57,2928,3097,3120
223,5,19,Buffer tanks,57,2928,3097,3133
224,7,19,Microfilter,57,2928,3098,3144
225,6,19,Buffer tanks,57,2928,3113,3145
226,9,19,Harvesting tanks B,57,2928,3083,3153
227,8,19,Filters A,57,2928,3113,3153
228,10,19,Buffer tanks,57,2928,3113,3161
229,12,19,Harvesting tanks B,57,2928,3083,3172
230,11,19,Filters A,57,2928,3113,3172
231,13,19,Buffer tanks,57,2928,3122,3177
232,14,19,Microfilter,57,2928,3133,3177
233,1,20,Harvesting tanks A,60,3161,3245,3260
234,15,19,Stabilization tanks,57,2928,3133,3266
235,0,21,Fermenter_1,63,3177,3177,3270
236,2,21,Harvesting tanks B,63,3177,3245,3327
237,1,21,Filters A,63,3177,3291,3328
238,2,20,Harvesting tanks A,60,3161,3245,3330
239,0,20,Fermenter_2,60,3161,3161,3348
240,4,20,Harvesting tanks B,60,3161,3245,3362
241,3,21,Buffer tanks,63,3177,3291,3362
242,4,21,Microfilter,63,3177,3293,3362
243,6,20,Harvesting tanks B,60,3161,3320,3362
244,3,20,Filters A,60,3161,3343,3363
245,5,20,Filters A,60,3161,3351,3363
246,7,20,Buffer tanks,60,3161,3343,3371
247,8,20,Microfilter,60,3161,3344,3371
248,9,20,Buffer tanks,60,3161,3351,3374
249,11,20,Microfilter,60,3161,3352,3379
250,10,20,Buffer tanks,60,3161,3360,3379
251,5,21,Stabilization tanks,63,3177,3362,3451
252,12,20,Stabilization tanks,60,3161,3371,3468
253,1,22,Harvesting tanks A,66,3374,3446,3506
254,0,22,Fermenter_4,66,3374,3374,3532
255,3,22,Harvesting tanks B,66,3374,3446,3545
256,2,22,Filters A,66,3374,3524,3545
257,4,22,Buffer tanks,66,3374,3524,3556
258,6,22,Microfilter,66,3374,3526,3564
259,5,22,Buffer tanks,66,3374,3542,3564
260,8,22,Harvesting tanks B,66,3374,3509,3577
261,7,22,Filters A,66,3374,3542,3577
262,9,22,Buffer tanks,66,3374,3550,3589
263,10,22,Microfilter,66,3374,3556,3589
