,Activity,Product,Resource,Request moment,Retrieve moment,Start,Finish
0,0,0,Fermenter_4,0,0,0,154
1,1,0,Harvesting tanks B,0,0,0,154
2,2,0,Harvesting tanks A,0,0,0,154
3,3,0,Filters A,0,0,16,170
4,4,0,Harvesting tanks B,0,0,16,170
5,5,0,Buffer tanks,0,0,28,182
6,6,0,Buffer tanks,0,0,33,187
7,7,0,Microfilter,0,0,33,187
8,8,0,Filters A,0,0,39,193
9,9,0,Harvesting tanks B,0,0,39,193
10,10,0,Buffer tanks,0,0,58,212
11,11,0,Microfilter,0,0,58,212
12,12,0,Stabilization tanks,0,0,151,305
13,0,1,Fermenter_1,3,212,212,314
14,1,1,Harvesting tanks A,3,212,212,314
15,2,1,Harvesting tanks A,3,212,212,314
16,3,1,Filters A,3,212,229,331
17,4,1,Harvesting tanks B,3,212,229,331
18,5,1,Filters A,3,212,237,339
19,6,1,Harvesting tanks B,3,212,237,339
20,7,1,Buffer tanks,3,212,242,344
21,8,1,Microfilter,3,212,242,344
22,9,1,Buffer tanks,3,212,245,347
23,10,1,Buffer tanks,3,212,253,355
24,11,1,Microfilter,3,212,253,355
25,12,1,Buffer tanks,3,212,256,358
26,13,1,Microfilter,3,212,256,358
27,14,1,Stabilization tanks,3,212,345,447
28,0,3,Fermenter_2,9,358,358,451
29,1,3,Filters A,9,358,367,460
30,2,3,Harvesting tanks B,9,358,367,460
31,3,3,Buffer tanks,9,358,393,486
32,4,3,Microfilter,9,358,393,486
33,0,2,Fermenter_4,6,355,355,493
34,1,2,Harvesting tanks A,6,355,355,493
35,2,2,Harvesting tanks A,6,355,355,493
36,3,2,Filters A,6,355,355,493
37,4,2,Harvesting tanks B,6,355,355,493
38,5,2,Buffer tanks,6,355,355,493
39,6,2,Microfilter,6,355,360,498
40,7,2,Filters A,6,355,372,510
41,8,2,Harvesting tanks B,6,355,372,510
42,9,2,Buffer tanks,6,355,373,511
43,10,2,Microfilter,6,355,373,511
44,11,2,Buffer tanks,6,355,383,521
45,12,2,Microfilter,6,355,383,521
46,0,4,Fermenter_5,12,486,486,575
47,1,4,Filters B,12,486,486,575
48,2,4,Harvesting tanks B,12,486,486,575
49,5,3,Stabilization tanks,9,358,486,579
50,3,4,Buffer tanks,12,486,513,602
51,4,4,Microfilter,12,486,513,602
52,13,2,Stabilization tanks,6,355,472,610
53,0,5,Fermenter_3,15,521,521,675
54,1,5,Harvesting tanks B,15,521,521,675
55,2,5,Harvesting tanks A,15,521,521,675
56,3,5,Filters A,15,521,537,691
57,4,5,Harvesting tanks B,15,521,537,691
58,5,4,Stabilization tanks,12,486,602,691
59,5,5,Buffer tanks,15,521,549,703
60,6,5,Buffer tanks,15,521,554,708
61,7,5,Microfilter,15,521,554,708
62,8,5,Filters A,15,521,560,714
63,9,5,Harvesting tanks B,15,521,560,714
64,10,5,Buffer tanks,15,521,579,733
65,11,5,Microfilter,15,521,579,733
66,12,5,Stabilization tanks,15,521,672,826
67,0,6,Fermenter_4,18,708,708,830
68,1,6,Harvesting tanks A,18,708,708,830
69,2,6,Filters A,18,708,721,843
70,3,6,Harvesting tanks B,18,708,721,843
71,4,6,Buffer tanks,18,708,732,854
72,5,6,Buffer tanks,18,708,740,862
73,6,6,Microfilter,18,708,740,862
74,7,6,Filters A,18,708,753,875
75,8,6,Harvesting tanks B,18,708,753,875
76,9,6,Buffer tanks,18,708,765,887
77,10,6,Microfilter,18,708,765,887
78,11,6,Stabilization tanks,18,708,854,976
79,0,7,Fermenter_4,21,887,887,1047
80,1,7,Harvesting tanks A,21,887,887,1047
81,2,7,Harvesting tanks A,21,887,887,1047
82,3,7,Filters A,21,887,895,1055
83,4,7,Harvesting tanks B,21,887,895,1055
84,5,7,Buffer tanks,21,887,930,1090
85,6,7,Microfilter,21,887,930,1090
86,7,7,Buffer tanks,21,887,940,1100
87,8,7,Microfilter,21,887,940,1100
88,9,7,Buffer tanks,21,887,944,1104
89,10,7,Microfilter,21,887,944,1104
90,11,7,Filters A,21,887,962,1122
91,12,7,Harvesting tanks B,21,887,962,1122
92,13,7,Buffer tanks,21,887,988,1148
93,14,7,Microfilter,21,887,988,1148
94,0,8,Fermenter_2,24,1100,1100,1197
95,1,8,Filters A,24,1100,1138,1235
96,2,8,Harvesting tanks B,24,1100,1138,1235
97,3,8,Buffer tanks,24,1100,1143,1240
98,4,8,Microfilter,24,1100,1143,1240
99,15,7,Stabilization tanks,21,887,1081,1241
100,5,8,Buffer tanks,24,1100,1150,1247
101,6,8,Microfilter,24,1100,1150,1247
102,7,8,Stabilization tanks,24,1100,1239,1336
103,0,9,Fermenter_1,27,1240,1240,1338
104,1,9,Filters B,27,1240,1240,1338
105,2,9,Harvesting tanks B,27,1240,1240,1338
106,3,9,Buffer tanks,27,1240,1244,1342
107,4,9,Microfilter,27,1240,1244,1342
108,5,9,Buffer tanks,27,1240,1248,1346
109,6,9,Microfilter,27,1240,1248,1346
110,7,9,Buffer tanks,27,1240,1252,1350
111,8,9,Microfilter,27,1240,1252,1350
112,9,9,Stabilization tanks,27,1240,1341,1439
