,Activity,Product,Resource,Check_resource_type,Machine_id,Request moment,Retrieve moment,Start,Finish
0,1,16,Harvesting tanks A,Harvesting tanks A,0,27,27,27,67
1,1,14,Harvesting tanks A,Harvesting tanks A,2,68,68,68,93
2,2,16,Harvesting tanks A,Harvesting tanks A,1,27,27,27,95
3,0,16,Fermenter_2,Fermenter_2,0,0,0,0,122
4,0,7,Fermenter_4,Fermenter_4,0,18,18,18,124
5,1,3,Harvesting tanks A,Harvesting tanks A,1,105,105,105,129
6,1,4,Harvesting tanks A,Harvesting tanks A,0,70,70,70,134
7,2,10,Harvesting tanks B,Harvesting tanks B,2,88,88,88,138
8,1,10,Filters A,Filters A,2,97,97,97,138
9,4,16,Harvesting tanks B,Harvesting tanks B,0,27,27,27,140
10,3,16,Filters A,Filters A,0,117,117,117,140
11,6,16,Harvesting tanks B,Harvesting tanks B,1,96,96,96,146
12,5,16,Filters A,Filters A,1,129,129,129,146
13,7,16,Buffer tanks,Buffer tanks,0,117,117,117,153
14,8,16,Microfilter,Microfilter,0,119,119,119,153
15,9,16,Buffer tanks,Buffer tanks,1,131,131,131,156
16,1,6,Harvesting tanks A,Harvesting tanks A,1,116,129,129,158
17,4,10,Microfilter,Microfilter,3,97,97,97,162
18,2,14,Harvesting tanks A,Harvesting tanks A,3,68,68,68,163
19,11,16,Microfilter,Microfilter,1,131,131,131,164
20,10,16,Buffer tanks,Buffer tanks,2,143,143,143,164
21,12,16,Buffer tanks,Buffer tanks,3,129,129,129,165
22,13,16,Microfilter,Microfilter,2,131,131,131,165
23,4,17,Harvesting tanks B,Harvesting tanks B,5,80,80,80,167
24,0,3,Fermenter_3,Fermenter_3,0,15,15,15,174
25,0,14,Fermenter_1,Fermenter_1,0,6,6,6,175
26,4,14,Harvesting tanks B,Harvesting tanks B,3,68,68,68,178
27,3,14,Filters A,Filters A,2,163,163,163,178
28,6,14,Harvesting tanks B,Harvesting tanks B,4,153,153,153,180
29,5,14,Filters A,Filters A,0,169,169,169,180
30,1,2,Harvesting tanks A,Harvesting tanks A,1,114,158,158,182
31,3,17,Filters A,Filters A,1,126,146,146,187
32,7,14,Buffer tanks,Buffer tanks,1,163,163,163,188
33,8,14,Microfilter,Microfilter,0,163,163,163,188
34,1,13,Harvesting tanks A,Harvesting tanks A,3,60,163,163,191
35,9,14,Buffer tanks,Buffer tanks,2,169,169,169,191
36,2,17,Microfilter,Microfilter,1,128,164,164,193
37,6,17,Microfilter,Microfilter,2,141,165,165,193
38,11,14,Microfilter,Microfilter,3,169,169,169,194
39,10,14,Buffer tanks,Buffer tanks,3,176,176,176,194
40,2,4,Harvesting tanks A,Harvesting tanks A,2,70,93,93,205
41,2,6,Harvesting tanks A,Harvesting tanks A,0,116,134,134,206
42,3,4,Filters A,Filters A,2,188,188,188,206
43,6,4,Harvesting tanks B,Harvesting tanks B,0,169,169,169,210
44,5,4,Filters A,Filters A,0,192,192,192,210
45,8,17,Microfilter,Microfilter,0,154,188,188,214
46,5,3,Harvesting tanks B,Harvesting tanks B,1,105,146,146,216
47,3,10,Buffer tanks,Buffer tanks,0,97,153,153,218
48,1,17,Buffer tanks,Buffer tanks,1,126,188,188,219
49,5,17,Buffer tanks,Buffer tanks,2,141,191,191,219
50,7,17,Buffer tanks,Buffer tanks,3,154,194,194,220
51,2,7,Harvesting tanks B,Harvesting tanks B,5,104,167,167,226
52,8,4,Microfilter,Microfilter,1,189,193,193,226
53,10,4,Microfilter,Microfilter,2,193,193,193,226
54,4,3,Filters A,Filters A,1,129,187,187,233
55,0,10,Fermenter_2,Fermenter_2,0,3,122,122,234
56,1,7,Filters A,Filters A,2,135,206,206,234
57,5,1,Stabilization tanks,Stabilization tanks,9,144,144,144,237
58,3,3,Microfilter,Microfilter,3,129,194,194,238
59,6,7,Harvesting tanks B,Harvesting tanks B,3,104,178,178,246
60,5,7,Filters A,Filters A,0,135,210,210,247
61,1,19,Harvesting tanks A,Harvesting tanks A,3,108,191,191,251
62,7,4,Buffer tanks,Buffer tanks,0,188,218,218,252
63,7,3,Microfilter,Microfilter,0,159,214,214,253
64,9,4,Buffer tanks,Buffer tanks,1,192,219,219,253
65,14,16,Stabilization tanks,Stabilization tanks,0,153,153,153,254
66,2,13,Harvesting tanks A,Harvesting tanks A,1,60,182,182,254
67,5,10,Stabilization tanks,Stabilization tanks,1,162,162,162,255
68,3,6,Harvesting tanks B,Harvesting tanks B,4,116,180,180,258
69,6,3,Buffer tanks,Buffer tanks,3,159,220,220,259
70,7,7,Microfilter,Microfilter,1,136,226,226,262
71,8,7,Microfilter,Microfilter,2,136,226,226,262
72,2,3,Buffer tanks,Buffer tanks,2,129,219,219,263
73,2,18,Harvesting tanks A,Harvesting tanks A,2,84,205,205,266
74,2,9,Harvesting tanks A,Harvesting tanks A,0,87,206,206,267
75,7,6,Filters A,Filters A,2,225,234,234,269
76,13,7,Stabilization tanks,Stabilization tanks,6,147,147,147,272
77,10,7,Microfilter,Microfilter,3,147,238,238,272
78,9,17,Stabilization tanks,Stabilization tanks,3,157,157,157,273
79,4,4,Harvesting tanks B,Harvesting tanks B,2,70,138,138,274
80,1,11,Harvesting tanks A,Harvesting tanks A,3,96,251,251,275
81,2,1,Harvesting tanks B,Harvesting tanks B,3,86,246,246,278
82,1,0,Filters B,Filters B,0,183,183,183,281
83,0,19,Fermenter_4,Fermenter_4,0,36,124,124,282
84,12,14,Stabilization tanks,Stabilization tanks,2,188,188,188,283
85,1,1,Filters A,Filters A,2,102,269,269,285
86,8,3,Stabilization tanks,Stabilization tanks,5,150,150,150,287
87,4,6,Filters A,Filters A,1,177,233,233,287
88,3,7,Buffer tanks,Buffer tanks,0,135,252,252,289
89,12,7,Microfilter,Microfilter,0,147,253,253,289
90,4,7,Buffer tanks,Buffer tanks,1,135,253,253,290
91,4,2,Filters A,Filters A,0,138,247,247,293
92,9,7,Buffer tanks,Buffer tanks,3,147,259,259,293
93,8,2,Stabilization tanks,Stabilization tanks,8,159,159,159,296
