,Activity,Product,Resource,Check_resource_type,Machine_id,Request moment,Retrieve moment,Start,Finish
0,1,7,Harvesting tanks A,Harvesting tanks A,2,44,44,44,64
1,1,16,Harvesting tanks A,Harvesting tanks A,0,52,52,52,69
2,0,10,Fermenter_2,Fermenter_2,0,18,18,18,84
3,2,7,Harvesting tanks A,Harvesting tanks A,3,44,44,44,98
4,2,10,Harvesting tanks B,Harvesting tanks B,4,72,72,72,103
5,2,16,Harvesting tanks A,Harvesting tanks A,1,52,52,52,113
6,0,2,Fermenter_1,Fermenter_1,0,6,6,6,118
7,4,16,Harvesting tanks B,Harvesting tanks B,0,52,52,52,125
8,3,16,Filters A,Filters A,0,86,86,86,125
9,0,16,Fermenter_4,Fermenter_4,0,0,0,0,128
10,5,16,Buffer tanks,Buffer tanks,0,123,123,123,128
11,6,16,Microfilter,Microfilter,0,99,99,99,133
12,0,7,Fermenter_3,Fermenter_3,0,3,3,3,138
13,2,2,Harvesting tanks B,Harvesting tanks B,3,100,100,100,142
14,1,2,Filters A,Filters A,2,119,119,119,142
15,8,16,Harvesting tanks B,Harvesting tanks B,1,52,52,52,145
16,7,16,Filters A,Filters A,1,121,121,121,145
17,10,16,Microfilter,Microfilter,1,86,86,86,146
18,9,16,Buffer tanks,Buffer tanks,1,99,99,99,146
19,1,10,Filters A,Filters A,0,82,125,125,146
20,11,16,Buffer tanks,Buffer tanks,2,86,86,86,156
21,12,16,Microfilter,Microfilter,2,123,123,123,156
22,4,7,Microfilter,Microfilter,3,106,106,106,162
23,3,7,Buffer tanks,Buffer tanks,3,114,114,114,162
24,8,7,Harvesting tanks B,Harvesting tanks B,2,44,44,44,175
25,7,7,Filters B,Filters B,0,98,98,98,175
26,4,2,Microfilter,Microfilter,3,120,162,162,187
27,3,2,Buffer tanks,Buffer tanks,3,119,162,162,188
28,6,7,Microfilter,Microfilter,0,114,133,133,191
29,0,4,Fermenter_1,Fermenter_1,0,9,118,118,194
30,5,7,Buffer tanks,Buffer tanks,0,98,128,128,202
31,9,7,Buffer tanks,Buffer tanks,1,122,146,146,204
32,10,7,Microfilter,Microfilter,1,122,146,146,204
33,1,14,Harvesting tanks A,Harvesting tanks A,2,179,179,179,208
34,6,2,Microfilter,Microfilter,3,131,187,187,211
35,5,2,Buffer tanks,Buffer tanks,3,131,188,188,212
36,7,10,Stabilization tanks,Stabilization tanks,5,113,113,113,217
37,4,10,Microfilter,Microfilter,0,82,191,191,222
38,3,10,Buffer tanks,Buffer tanks,0,82,202,202,233
39,5,10,Buffer tanks,Buffer tanks,1,93,204,204,235
40,6,10,Microfilter,Microfilter,1,93,204,204,235
41,2,4,Harvesting tanks B,Harvesting tanks B,3,170,170,170,239
42,1,4,Filters A,Filters A,0,210,210,210,239
43,11,7,Buffer tanks,Buffer tanks,2,106,156,156,243
44,13,16,Stabilization tanks,Stabilization tanks,0,107,107,107,245
45,0,6,Fermenter_4,Fermenter_4,0,15,128,128,247
46,7,2,Stabilization tanks,Stabilization tanks,4,145,145,145,248
47,12,7,Microfilter,Microfilter,2,98,156,156,251
48,2,14,Harvesting tanks A,Harvesting tanks A,0,179,179,179,251
49,1,19,Harvesting tanks A,Harvesting tanks A,3,228,228,228,252
50,3,14,Harvesting tanks B,Harvesting tanks B,5,179,179,179,257
51,13,7,Stabilization tanks,Stabilization tanks,1,122,122,122,273
52,14,7,Stabilization tanks,Stabilization tanks,2,157,157,157,273
53,0,14,Fermenter_2,Fermenter_2,0,21,84,84,283
54,4,4,Microfilter,Microfilter,1,213,235,235,285
55,15,7,Stabilization tanks,Stabilization tanks,3,193,193,193,286
56,0,17,Fermenter_1,Fermenter_1,0,12,194,194,287
57,3,6,Harvesting tanks B,Harvesting tanks B,1,228,228,228,288
58,4,6,Harvesting tanks B,Harvesting tanks B,2,228,228,228,288
59,1,6,Filters A,Filters A,0,262,262,262,288
60,5,14,Harvesting tanks B,Harvesting tanks B,4,179,179,179,294
