,Activity,Product,Resource,Check_resource_type,Machine_id,Request moment,Retrieve moment,Start,Finish
0,0,0,Fermenter_2,Fermenter_2,0,0,0,0,61
1,2,0,Harvesting tanks B,Harvesting tanks B,0,48,48,48,99
2,1,0,Filters A,Filters A,0,82,82,82,99
3,3,0,Buffer tanks,Buffer tanks,0,82,82,82,104
4,4,0,Microfilter,Microfilter,0,84,84,84,104
5,5,0,Buffer tanks,Buffer tanks,1,92,92,92,111
6,6,0,Microfilter,Microfilter,1,92,92,92,111
7,1,1,Harvesting tanks A,Harvesting tanks A,0,78,78,78,119
8,0,8,Fermenter_5,Fermenter_5,0,24,24,24,120
9,1,2,Harvesting tanks A,Harvesting tanks A,2,96,96,96,120
10,0,3,Fermenter_1,Fermenter_1,0,9,9,9,121
11,2,3,Harvesting tanks B,Harvesting tanks B,5,96,96,96,121
12,1,3,Filters B,Filters B,0,106,106,106,121
13,2,8,Harvesting tanks B,Harvesting tanks B,0,105,105,105,126
14,2,1,Harvesting tanks A,Harvesting tanks A,1,78,78,78,159
15,0,7,Fermenter_2,Fermenter_2,0,21,61,61,163
16,3,2,Microfilter,Microfilter,0,120,120,120,164
17,0,2,Fermenter_3,Fermenter_3,0,6,6,6,165
18,5,2,Harvesting tanks B,Harvesting tanks B,4,96,96,96,166
19,0,1,Fermenter_4,Fermenter_4,0,3,3,3,183
20,4,3,Microfilter,Microfilter,0,106,164,164,183
21,7,2,Microfilter,Microfilter,1,150,150,150,189
22,4,1,Harvesting tanks B,Harvesting tanks B,1,78,78,78,195
23,3,1,Filters A,Filters A,1,172,172,172,195
24,7,0,Stabilization tanks,Stabilization tanks,0,104,104,104,200
25,6,3,Microfilter,Microfilter,0,111,183,183,201
26,8,3,Microfilter,Microfilter,1,116,189,189,206
27,5,1,Buffer tanks,Buffer tanks,2,172,172,172,208
28,7,1,Microfilter,Microfilter,2,173,173,173,219
29,6,1,Buffer tanks,Buffer tanks,3,188,188,188,219
30,9,3,Stabilization tanks,Stabilization tanks,3,125,125,125,222
31,0,12,Fermenter_2,Fermenter_2,0,36,163,163,224
32,9,1,Harvesting tanks B,Harvesting tanks B,2,158,158,158,228
33,8,1,Filters A,Filters A,2,188,188,188,228
34,4,8,Microfilter,Microfilter,0,114,201,201,230
35,5,8,Stabilization tanks,Stabilization tanks,4,143,143,143,232
36,10,1,Buffer tanks,Buffer tanks,0,188,188,188,235
37,1,8,Filters A,Filters A,2,114,228,228,240
38,4,2,Filters A,Filters A,1,120,195,195,241
39,1,9,Harvesting tanks A,Harvesting tanks A,3,179,179,179,243
40,12,1,Harvesting tanks B,Harvesting tanks B,3,158,158,158,247
41,11,1,Filters A,Filters A,0,188,188,188,247
42,13,1,Buffer tanks,Buffer tanks,1,197,197,197,251
43,14,1,Microfilter,Microfilter,3,208,208,208,251
44,2,2,Buffer tanks,Buffer tanks,2,120,208,208,252
45,4,7,Harvesting tanks B,Harvesting tanks B,5,132,132,132,253
46,3,3,Buffer tanks,Buffer tanks,0,106,235,235,254
47,6,2,Buffer tanks,Buffer tanks,3,150,219,219,258
48,2,7,Microfilter,Microfilter,1,192,206,206,261
49,5,3,Buffer tanks,Buffer tanks,1,111,251,251,269
50,7,3,Buffer tanks,Buffer tanks,2,116,252,252,269
51,2,4,Harvesting tanks A,Harvesting tanks A,2,210,210,210,271
52,6,7,Microfilter,Microfilter,2,222,222,222,277
53,8,2,Stabilization tanks,Stabilization tanks,2,141,141,141,278
54,2,11,Harvesting tanks B,Harvesting tanks B,0,252,252,252,278
55,1,11,Filters B,Filters B,0,267,267,267,278
56,2,12,Harvesting tanks B,Harvesting tanks B,2,211,228,228,279
57,0,11,Fermenter_5,Fermenter_5,0,33,120,120,282
58,0,4,Fermenter_3,Fermenter_3,0,12,165,165,282
59,1,13,Harvesting tanks A,Harvesting tanks A,1,254,254,254,282
60,3,8,Buffer tanks,Buffer tanks,0,114,254,254,283
61,0,5,Fermenter_4,Fermenter_4,0,15,183,183,289
62,2,9,Harvesting tanks A,Harvesting tanks A,0,179,179,179,291
63,4,12,Microfilter,Microfilter,2,247,277,277,297
64,0,9,Fermenter_1,Fermenter_1,0,27,121,121,302
65,1,4,Harvesting tanks B,Harvesting tanks B,3,210,247,247,303
66,3,7,Filters A,Filters A,2,189,240,240,304
67,4,11,Microfilter,Microfilter,0,267,267,267,309
68,3,11,Buffer tanks,Buffer tanks,2,267,269,269,311
69,4,9,Harvesting tanks B,Harvesting tanks B,4,179,179,179,315
70,3,9,Filters A,Filters A,1,297,297,297,315
71,1,7,Buffer tanks,Buffer tanks,3,189,258,258,316
72,6,12,Microfilter,Microfilter,2,255,297,297,316
73,6,9,Harvesting tanks B,Harvesting tanks B,1,278,278,278,319
74,5,9,Filters A,Filters A,0,301,301,301,319
75,1,12,Filters A,Filters A,2,245,304,304,321
76,5,7,Buffer tanks,Buffer tanks,1,222,269,269,324
77,2,13,Harvesting tanks A,Harvesting tanks A,3,254,254,254,326
78,7,9,Buffer tanks,Buffer tanks,0,297,297,297,331
79,8,9,Microfilter,Microfilter,3,298,298,298,331
80,9,4,Harvesting tanks B,Harvesting tanks B,0,264,278,278,335
81,10,9,Microfilter,Microfilter,1,302,302,302,335
82,2,5,Harvesting tanks B,Harvesting tanks B,2,269,279,279,338
83,3,12,Buffer tanks,Buffer tanks,3,245,316,316,338
84,15,1,Stabilization tanks,Stabilization tanks,1,208,208,208,340
85,4,4,Harvesting tanks B,Harvesting tanks B,5,210,253,253,341
86,7,4,Microfilter,Microfilter,0,281,309,309,343
87,1,6,Harvesting tanks A,Harvesting tanks A,2,323,323,323,343
88,5,12,Buffer tanks,Buffer tanks,1,255,324,324,343
89,9,9,Buffer tanks,Buffer tanks,2,301,311,311,345
90,0,13,Fermenter_2,Fermenter_2,0,39,224,224,346
91,1,5,Filters A,Filters A,2,300,321,321,349
92,8,4,Filters A,Filters A,0,282,319,319,358
93,1,15,Harvesting tanks A,Harvesting tanks A,0,341,341,341,358
94,7,12,Stabilization tanks,Stabilization tanks,8,267,267,267,363
95,7,7,Stabilization tanks,Stabilization tanks,5,247,247,247,366
96,3,4,Filters A,Filters A,1,246,315,315,367
97,7,5,Microfilter,Microfilter,3,301,331,331,367
98,6,5,Harvesting tanks B,Harvesting tanks B,3,269,303,303,371
99,8,5,Microfilter,Microfilter,1,301,335,335,371
100,6,4,Buffer tanks,Buffer tanks,3,282,338,338,371
101,4,13,Harvesting tanks B,Harvesting tanks B,4,320,320,320,376
102,2,6,Harvesting tanks A,Harvesting tanks A,1,323,323,323,377
103,10,5,Microfilter,Microfilter,0,312,343,343,377
104,3,13,Filters A,Filters A,0,353,358,358,381
105,3,5,Buffer tanks,Buffer tanks,2,300,345,345,382
106,5,5,Filters A,Filters A,2,300,349,349,386
107,5,4,Buffer tanks,Buffer tanks,0,246,331,331,395
108,5,11,Stabilization tanks,Stabilization tanks,6,309,309,309,398
109,5,13,Filters A,Filters A,1,348,367,367,401
110,2,15,Harvesting tanks A,Harvesting tanks A,3,341,341,341,402
111,12,5,Microfilter,Microfilter,3,312,367,367,403
112,10,4,Buffer tanks,Buffer tanks,1,278,343,343,405
113,4,5,Buffer tanks,Buffer tanks,3,300,371,371,408
114,11,4,Microfilter,Microfilter,2,247,316,316,409
115,4,15,Harvesting tanks B,Harvesting tanks B,5,341,341,341,414
116,9,5,Buffer tanks,Buffer tanks,2,312,382,382,416
117,0,6,Fermenter_3,Fermenter_3,0,18,282,282,417
118,0,15,Fermenter_4,Fermenter_4,0,45,289,289,417
119,8,13,Microfilter,Microfilter,1,350,371,371,417
120,3,15,Filters A,Filters A,0,375,381,381,420
121,11,13,Microfilter,Microfilter,0,355,377,377,423
122,1,25,Harvesting tanks A,Harvesting tanks A,2,360,360,360,424
123,11,9,Stabilization tanks,Stabilization tanks,7,331,331,331,428
124,11,5,Buffer tanks,Buffer tanks,0,312,395,395,431
125,12,4,Stabilization tanks,Stabilization tanks,9,279,279,279,433
126,7,15,Filters A,Filters A,2,410,410,410,434
127,13,5,Stabilization tanks,Stabilization tanks,10,312,312,312,437
128,2,26,Harvesting tanks B,Harvesting tanks B,2,414,414,414,440
129,1,14,Harvesting tanks A,Harvesting tanks A,1,387,387,387,441
130,0,26,Fermenter_5,Fermenter_5,0,75,282,282,444
131,6,13,Harvesting tanks B,Harvesting tanks B,1,254,319,319,447
132,13,13,Microfilter,Microfilter,3,367,403,403,448
133,10,13,Buffer tanks,Buffer tanks,2,367,416,416,450
134,7,13,Buffer tanks,Buffer tanks,1,348,405,405,453
135,7,6,Filters B,Filters B,0,377,377,377,454
136,9,13,Buffer tanks,Buffer tanks,3,353,408,408,456
137,8,15,Harvesting tanks B,Harvesting tanks B,3,341,371,371,464
138,4,6,Microfilter,Microfilter,2,385,409,409,465
139,1,26,Filters B,Filters B,0,429,454,454,465
140,8,6,Harvesting tanks B,Harvesting tanks B,0,323,335,335,466
141,0,14,Fermenter_2,Fermenter_2,0,42,346,346,471
