,Activity,Product,Resource,Check_resource_type,Machine_id,Request moment,Retrieve moment,Start,Finish
0,0,5,Fermenter_2,Fermenter_2,0,0,0,0,102
1,1,18,Harvesting tanks A,Harvesting tanks A,1,39,39,39,105
2,1,6,Harvesting tanks B,Harvesting tanks B,1,51,51,51,107
3,2,6,Harvesting tanks A,Harvesting tanks A,0,51,51,51,112
4,0,6,Fermenter_3,Fermenter_3,0,6,6,6,123
5,0,18,Fermenter_1,Fermenter_1,0,39,39,39,130
6,0,4,Fermenter_4,Fermenter_4,0,18,18,18,137
7,4,6,Harvesting tanks B,Harvesting tanks B,2,51,51,51,139
8,3,6,Filters A,Filters A,1,87,87,87,139
9,1,5,Buffer tanks,Buffer tanks,0,117,117,117,148
10,2,5,Microfilter,Microfilter,0,119,119,119,148
11,5,6,Buffer tanks,Buffer tanks,3,87,87,87,151
12,7,6,Microfilter,Microfilter,3,122,122,122,156
13,4,5,Harvesting tanks B,Harvesting tanks B,0,71,71,71,158
14,3,5,Filters A,Filters A,0,117,117,117,158
15,5,5,Buffer tanks,Buffer tanks,1,132,132,132,160
16,6,5,Microfilter,Microfilter,1,132,132,132,160
17,9,6,Harvesting tanks B,Harvesting tanks B,3,105,105,105,162
18,8,6,Filters A,Filters A,2,123,123,123,162
19,7,5,Buffer tanks,Buffer tanks,2,145,145,145,171
20,8,5,Microfilter,Microfilter,2,145,145,145,171
21,3,4,Harvesting tanks B,Harvesting tanks B,4,118,118,118,178
22,4,4,Harvesting tanks B,Harvesting tanks B,5,118,118,118,178
23,1,4,Filters A,Filters A,1,152,152,152,178
24,2,16,Harvesting tanks B,Harvesting tanks B,1,153,153,153,179
25,1,16,Filters B,Filters B,0,168,168,168,179
26,6,6,Buffer tanks,Buffer tanks,0,123,148,148,181
27,0,16,Fermenter_5,Fermenter_5,0,21,21,21,183
28,2,4,Filters A,Filters A,0,152,158,158,184
29,2,18,Filters A,Filters A,2,134,162,162,192
30,3,18,Harvesting tanks B,Harvesting tanks B,2,105,139,139,198
31,1,2,Harvesting tanks A,Harvesting tanks A,2,123,123,123,204
32,1,19,Harvesting tanks A,Harvesting tanks A,0,189,189,189,206
33,7,4,Microfilter,Microfilter,3,152,156,156,210
34,10,6,Buffer tanks,Buffer tanks,3,119,151,151,213
35,4,16,Microfilter,Microfilter,2,168,171,171,213
36,0,17,Fermenter_2,Fermenter_2,0,3,102,102,214
37,5,4,Buffer tanks,Buffer tanks,1,152,160,160,214
38,8,4,Microfilter,Microfilter,1,152,160,160,214
39,1,3,Harvesting tanks A,Harvesting tanks A,3,192,192,192,217
40,0,2,Fermenter_3,Fermenter_3,0,12,123,123,221
41,3,16,Buffer tanks,Buffer tanks,0,168,181,181,223
42,6,4,Buffer tanks,Buffer tanks,2,152,171,171,225
43,2,17,Harvesting tanks B,Harvesting tanks B,0,187,187,187,237
44,1,17,Filters A,Filters A,1,196,196,196,237
45,11,6,Microfilter,Microfilter,0,88,148,148,241
46,3,2,Harvesting tanks B,Harvesting tanks B,3,204,204,204,241
47,2,2,Filters A,Filters A,0,213,213,213,241
48,5,2,Harvesting tanks B,Harvesting tanks B,4,204,204,204,250
49,4,2,Filters A,Filters A,2,213,213,213,250
50,5,18,Microfilter,Microfilter,3,136,210,210,263
51,9,5,Stabilization tanks,Stabilization tanks,0,148,148,148,264
52,0,19,Fermenter_4,Fermenter_4,0,36,137,137,265
53,2,19,Harvesting tanks A,Harvesting tanks A,2,189,204,204,265
54,4,18,Buffer tanks,Buffer tanks,3,134,213,213,268
55,9,2,Microfilter,Microfilter,1,213,214,214,268
56,4,19,Harvesting tanks B,Harvesting tanks B,2,189,198,198,271
57,6,2,Buffer tanks,Buffer tanks,0,213,223,223,271
58,12,6,Stabilization tanks,Stabilization tanks,1,120,120,120,274
59,6,18,Stabilization tanks,Stabilization tanks,5,189,189,189,278
60,4,17,Microfilter,Microfilter,2,196,213,213,278
61,3,17,Buffer tanks,Buffer tanks,1,196,214,214,279
62,7,2,Buffer tanks,Buffer tanks,2,213,225,225,279
63,2,3,Harvesting tanks A,Harvesting tanks A,1,192,192,192,287
64,8,2,Buffer tanks,Buffer tanks,3,247,268,268,288
65,3,19,Filters A,Filters A,2,223,250,250,289
66,5,19,Buffer tanks,Buffer tanks,3,260,288,288,293
67,10,2,Microfilter,Microfilter,0,213,241,241,295
68,0,3,Fermenter_1,Fermenter_1,0,45,130,130,299
69,9,4,Stabilization tanks,Stabilization tanks,2,206,206,206,299
70,10,4,Stabilization tanks,Stabilization tanks,3,206,206,206,299
71,5,16,Stabilization tanks,Stabilization tanks,4,210,210,210,299
72,4,3,Harvesting tanks B,Harvesting tanks B,5,192,192,192,302
73,3,3,Filters A,Filters A,1,287,287,287,302
74,6,3,Harvesting tanks B,Harvesting tanks B,1,277,277,277,304
75,5,3,Filters A,Filters A,0,293,293,293,304
76,6,19,Microfilter,Microfilter,2,236,278,278,312
77,7,3,Buffer tanks,Buffer tanks,0,287,287,287,312
78,8,3,Microfilter,Microfilter,3,287,287,287,312
79,7,19,Filters A,Filters A,2,258,289,289,313
80,9,3,Buffer tanks,Buffer tanks,1,293,293,293,315
81,11,3,Microfilter,Microfilter,1,293,293,293,318
82,10,3,Buffer tanks,Buffer tanks,2,300,300,300,318
83,2,14,Harvesting tanks A,Harvesting tanks A,2,266,266,266,327
84,8,19,Harvesting tanks B,Harvesting tanks B,0,189,237,237,330
85,0,14,Fermenter_3,Fermenter_3,0,15,221,221,338
86,1,10,Harvesting tanks A,Harvesting tanks A,0,309,309,309,338
87,9,19,Buffer tanks,Buffer tanks,3,236,293,293,340
88,12,19,Microfilter,Microfilter,2,260,312,312,345
89,5,17,Stabilization tanks,Stabilization tanks,6,261,261,261,354
90,10,19,Microfilter,Microfilter,0,223,295,295,355
91,11,2,Stabilization tanks,Stabilization tanks,7,261,261,261,356
92,1,14,Harvesting tanks B,Harvesting tanks B,5,266,302,302,358
93,3,14,Filters A,Filters A,2,302,313,313,365
94,7,14,Microfilter,Microfilter,2,337,345,345,379
95,2,10,Harvesting tanks A,Harvesting tanks A,3,309,309,309,381
96,13,19,Stabilization tanks,Stabilization tanks,9,244,244,244,382
97,11,19,Buffer tanks,Buffer tanks,0,223,312,312,382
98,3,10,Harvesting tanks B,Harvesting tanks B,3,309,309,309,387
99,9,14,Harvesting tanks B,Harvesting tanks B,0,320,330,330,387
100,4,14,Harvesting tanks B,Harvesting tanks B,1,266,304,304,392
101,8,14,Filters A,Filters A,2,338,365,365,404
102,12,3,Stabilization tanks,Stabilization tanks,8,312,312,312,407
103,0,10,Fermenter_2,Fermenter_2,0,9,214,214,413
104,0,12,Fermenter_4,Fermenter_4,0,51,265,265,423
105,5,10,Harvesting tanks B,Harvesting tanks B,4,309,309,309,424
106,4,10,Filters A,Filters A,1,370,370,370,424
107,0,1,Fermenter_3,Fermenter_3,0,27,338,338,440
108,6,10,Buffer tanks,Buffer tanks,1,406,406,406,442
109,2,12,Microfilter,Microfilter,2,416,416,416,444
110,5,14,Buffer tanks,Buffer tanks,0,302,382,382,446
111,4,12,Harvesting tanks B,Harvesting tanks B,5,401,401,401,446
112,3,12,Filters A,Filters A,2,416,416,416,446
113,11,14,Microfilter,Microfilter,0,303,355,355,448
114,8,10,Harvesting tanks B,Harvesting tanks B,2,348,348,348,453
115,7,10,Filters A,Filters A,0,418,418,418,453
116,9,10,Buffer tanks,Buffer tanks,2,370,370,370,457
117,10,10,Microfilter,Microfilter,3,416,416,416,457
118,6,12,Microfilter,Microfilter,2,431,444,444,472
119,6,14,Buffer tanks,Buffer tanks,1,338,442,442,475
120,0,7,Fermenter_2,Fermenter_2,0,24,413,413,479
121,12,10,Microfilter,Microfilter,1,372,372,372,484
122,11,10,Buffer tanks,Buffer tanks,3,403,403,403,484
123,2,1,Microfilter,Microfilter,0,457,457,457,484
124,1,12,Buffer tanks,Buffer tanks,2,416,457,457,485
125,4,1,Harvesting tanks B,Harvesting tanks B,3,409,409,409,488
126,3,1,Filters A,Filters A,1,455,455,455,488
127,12,14,Stabilization tanks,Stabilization tanks,0,335,335,335,489
128,6,1,Microfilter,Microfilter,3,469,469,469,494
129,9,1,Harvesting tanks B,Harvesting tanks B,0,409,409,409,496
130,8,1,Filters A,Filters A,2,455,455,455,496
131,2,7,Harvesting tanks B,Harvesting tanks B,1,467,467,467,498
132,1,7,Filters A,Filters A,0,477,477,477,498
133,10,1,Microfilter,Microfilter,2,469,472,472,499
134,5,12,Buffer tanks,Buffer tanks,1,431,475,475,503
135,10,14,Buffer tanks,Buffer tanks,0,334,446,446,508
136,5,1,Buffer tanks,Buffer tanks,2,469,485,485,510
137,1,1,Buffer tanks,Buffer tanks,3,455,484,484,513
138,4,7,Microfilter,Microfilter,0,477,484,484,515
139,6,7,Microfilter,Microfilter,3,488,494,494,525
140,7,1,Buffer tanks,Buffer tanks,1,469,503,503,530
141,12,1,Microfilter,Microfilter,1,457,484,484,538
142,3,7,Buffer tanks,Buffer tanks,2,477,510,510,541
143,5,7,Buffer tanks,Buffer tanks,3,488,513,513,544
144,7,12,Stabilization tanks,Stabilization tanks,1,444,444,444,552
145,1,0,Harvesting tanks A,Harvesting tanks A,2,530,530,530,554
146,1,11,Harvesting tanks A,Harvesting tanks A,1,495,495,495,555
147,11,1,Buffer tanks,Buffer tanks,0,455,508,508,564
148,13,10,Stabilization tanks,Stabilization tanks,10,416,416,416,573
149,1,13,Harvesting tanks A,Harvesting tanks A,0,563,563,563,578
150,0,11,Fermenter_4,Fermenter_4,0,54,423,423,581
151,3,11,Harvesting tanks B,Harvesting tanks B,4,495,495,495,594
152,2,11,Filters A,Filters A,1,573,573,573,594
153,3,0,Microfilter,Microfilter,3,554,554,554,598
154,0,0,Fermenter_3,Fermenter_3,0,33,440,440,599
155,5,0,Harvesting tanks B,Harvesting tanks B,2,530,530,530,600
156,4,0,Filters A,Filters A,0,554,554,554,600
157,13,1,Stabilization tanks,Stabilization tanks,5,469,469,469,604
158,4,11,Buffer tanks,Buffer tanks,1,573,573,573,605
159,2,0,Buffer tanks,Buffer tanks,0,554,564,564,608
160,7,7,Stabilization tanks,Stabilization tanks,2,508,508,508,612
161,6,11,Microfilter,Microfilter,2,575,575,575,613
162,5,11,Buffer tanks,Buffer tanks,2,591,591,591,613
163,7,0,Microfilter,Microfilter,1,584,584,584,623
164,8,11,Harvesting tanks B,Harvesting tanks B,5,558,558,558,626
165,7,11,Filters A,Filters A,2,591,591,591,626
166,9,11,Buffer tanks,Buffer tanks,3,599,599,599,638
167,10,11,Microfilter,Microfilter,0,605,605,605,638
168,6,0,Buffer tanks,Buffer tanks,1,584,605,605,644
169,2,13,Harvesting tanks A,Harvesting tanks A,3,563,563,563,648
170,0,13,Fermenter_2,Fermenter_2,0,30,479,479,666
171,6,13,Harvesting tanks B,Harvesting tanks B,0,563,563,563,680
172,5,13,Harvesting tanks B,Harvesting tanks B,3,638,638,638,680
173,3,13,Filters A,Filters A,1,661,661,661,680
174,4,13,Filters A,Filters A,0,669,669,669,680
175,7,13,Buffer tanks,Buffer tanks,0,661,661,661,689
176,8,13,Microfilter,Microfilter,3,662,662,662,689
177,9,13,Buffer tanks,Buffer tanks,2,669,669,669,692
178,11,13,Microfilter,Microfilter,2,670,670,670,697
179,10,13,Buffer tanks,Buffer tanks,3,678,678,678,697
180,0,9,Fermenter_3,Fermenter_3,0,42,599,599,705
181,8,0,Stabilization tanks,Stabilization tanks,4,575,575,575,712
182,11,11,Stabilization tanks,Stabilization tanks,3,605,605,605,727
183,0,8,Fermenter_2,Fermenter_2,0,48,666,666,727
184,2,9,Harvesting tanks B,Harvesting tanks B,1,685,685,685,744
185,1,9,Filters A,Filters A,2,716,716,716,744
186,6,9,Harvesting tanks B,Harvesting tanks B,4,685,685,685,753
187,3,9,Buffer tanks,Buffer tanks,1,716,716,716,753
188,4,9,Buffer tanks,Buffer tanks,0,716,716,716,753
189,5,9,Filters A,Filters A,1,716,716,716,753
190,7,9,Microfilter,Microfilter,1,717,717,717,753
191,8,9,Microfilter,Microfilter,0,717,717,717,753
192,9,9,Buffer tanks,Buffer tanks,2,728,728,728,762
193,10,9,Microfilter,Microfilter,3,728,728,728,762
194,11,9,Buffer tanks,Buffer tanks,3,728,728,728,764
195,12,9,Microfilter,Microfilter,2,728,728,728,764
196,2,8,Harvesting tanks B,Harvesting tanks B,2,714,714,714,765
197,1,8,Filters A,Filters A,0,748,748,748,765
198,4,8,Microfilter,Microfilter,1,750,753,753,773
199,3,8,Buffer tanks,Buffer tanks,1,748,753,753,775
200,5,8,Buffer tanks,Buffer tanks,0,758,758,758,777
201,6,8,Microfilter,Microfilter,0,758,758,758,777
202,12,13,Stabilization tanks,Stabilization tanks,6,689,689,689,786
203,1,15,Harvesting tanks A,Harvesting tanks A,2,811,811,811,826
204,13,9,Stabilization tanks,Stabilization tanks,7,728,728,728,853
205,7,8,Stabilization tanks,Stabilization tanks,9,770,770,770,866
206,2,15,Harvesting tanks A,Harvesting tanks A,1,811,811,811,896
207,0,15,Fermenter_2,Fermenter_2,0,57,727,727,914
208,6,15,Harvesting tanks B,Harvesting tanks B,0,811,811,811,928
209,5,15,Harvesting tanks B,Harvesting tanks B,5,886,886,886,928
210,3,15,Filters A,Filters A,2,909,909,909,928
211,4,15,Filters A,Filters A,1,917,917,917,928
212,7,15,Buffer tanks,Buffer tanks,2,909,909,909,937
213,8,15,Microfilter,Microfilter,3,910,910,910,937
214,9,15,Buffer tanks,Buffer tanks,3,917,917,917,940
215,11,15,Microfilter,Microfilter,2,918,918,918,945
216,10,15,Buffer tanks,Buffer tanks,1,926,926,926,945
217,12,15,Stabilization tanks,Stabilization tanks,8,937,937,937,1034
