,Activity,Product,Resource,Check_resource_type,Machine_id,Request moment,Retrieve moment,Start,Finish
0,1,5,Harvesting tanks A,Harvesting tanks A,0,57,57,57,81
1,0,22,Fermenter_2,Fermenter_2,0,0,0,0,102
2,2,5,Harvesting tanks A,Harvesting tanks A,1,57,57,57,115
3,0,4,Fermenter_1,Fermenter_1,0,12,12,12,124
4,2,4,Harvesting tanks B,Harvesting tanks B,2,106,106,106,148
5,1,22,Buffer tanks,Buffer tanks,0,117,117,117,148
6,2,22,Microfilter,Microfilter,0,119,119,119,148
7,1,4,Filters A,Filters A,2,125,125,125,148
8,4,22,Harvesting tanks B,Harvesting tanks B,0,71,71,71,158
9,3,22,Filters A,Filters A,0,117,117,117,158
10,5,22,Buffer tanks,Buffer tanks,1,132,132,132,160
11,6,22,Microfilter,Microfilter,1,132,132,132,160
12,0,5,Fermenter_3,Fermenter_3,0,15,15,15,165
13,0,3,Fermenter_4,Fermenter_4,0,9,9,9,167
14,1,55,Harvesting tanks A,Harvesting tanks A,2,129,129,129,169
15,7,22,Buffer tanks,Buffer tanks,2,145,145,145,171
16,8,22,Microfilter,Microfilter,2,145,145,145,171
17,4,4,Microfilter,Microfilter,1,126,160,160,185
18,3,4,Buffer tanks,Buffer tanks,1,125,160,160,186
19,1,3,Buffer tanks,Buffer tanks,3,160,160,160,188
20,2,3,Microfilter,Microfilter,3,160,160,160,188
21,4,3,Harvesting tanks B,Harvesting tanks B,1,145,145,145,190
22,3,3,Filters A,Filters A,1,160,160,160,190
23,1,9,Harvesting tanks A,Harvesting tanks A,0,151,151,151,191
24,5,4,Buffer tanks,Buffer tanks,2,137,171,171,195
25,6,4,Microfilter,Microfilter,2,137,171,171,195
26,2,55,Harvesting tanks A,Harvesting tanks A,3,129,129,129,197
27,5,3,Buffer tanks,Buffer tanks,0,175,175,175,203
28,6,3,Microfilter,Microfilter,0,175,175,175,203
29,2,9,Harvesting tanks A,Harvesting tanks A,1,151,151,151,219
30,3,5,Microfilter,Microfilter,1,146,185,185,222
31,8,5,Harvesting tanks B,Harvesting tanks B,3,57,57,57,224
32,0,55,Fermenter_2,Fermenter_2,0,3,102,102,224
33,7,5,Filters B,Filters B,0,115,115,115,224
34,4,55,Harvesting tanks B,Harvesting tanks B,4,129,129,129,242
35,3,55,Filters A,Filters A,2,219,219,219,242
36,0,9,Fermenter_1,Fermenter_1,0,27,124,124,247
37,6,55,Harvesting tanks B,Harvesting tanks B,5,198,198,198,248
38,5,55,Filters A,Filters A,0,231,231,231,248
39,7,4,Stabilization tanks,Stabilization tanks,2,151,151,151,254
40,8,55,Microfilter,Microfilter,1,221,222,222,256
41,4,5,Buffer tanks,Buffer tanks,1,136,186,186,257
42,5,5,Buffer tanks,Buffer tanks,3,146,188,188,262
43,9,22,Stabilization tanks,Stabilization tanks,0,148,148,148,264
44,3,9,Filters A,Filters A,1,241,241,241,264
45,4,9,Harvesting tanks B,Harvesting tanks B,0,151,158,158,271
46,6,5,Microfilter,Microfilter,3,136,188,188,272
47,6,9,Harvesting tanks B,Harvesting tanks B,1,232,232,232,272
48,5,9,Filters A,Filters A,2,254,254,254,272
49,2,39,Harvesting tanks B,Harvesting tanks B,2,249,249,249,275
50,1,39,Filters B,Filters B,0,264,264,264,275
51,0,39,Fermenter_5,Fermenter_5,0,117,117,117,279
52,1,14,Harvesting tanks A,Harvesting tanks A,2,255,255,255,279
53,9,55,Buffer tanks,Buffer tanks,3,233,262,262,287
54,11,55,Microfilter,Microfilter,1,233,256,256,289
55,7,55,Buffer tanks,Buffer tanks,1,219,257,257,293
56,13,5,Stabilization tanks,Stabilization tanks,3,146,146,146,295
57,7,3,Stabilization tanks,Stabilization tanks,1,188,188,188,296
58,13,55,Microfilter,Microfilter,3,233,272,272,306
59,10,55,Buffer tanks,Buffer tanks,3,245,287,287,308
60,1,12,Harvesting tanks A,Harvesting tanks A,0,279,279,279,311
61,9,5,Buffer tanks,Buffer tanks,2,115,195,195,320
62,10,5,Microfilter,Microfilter,2,115,195,195,320
63,0,14,Fermenter_3,Fermenter_3,0,42,165,165,324
64,0,10,Fermenter_4,Fermenter_4,0,30,167,167,325
65,5,14,Harvesting tanks B,Harvesting tanks B,3,255,255,255,325
66,4,14,Filters A,Filters A,0,279,279,279,325
67,11,5,Buffer tanks,Buffer tanks,0,125,203,203,329
68,12,5,Microfilter,Microfilter,0,125,203,203,329
69,12,55,Buffer tanks,Buffer tanks,1,231,293,293,329
70,4,39,Microfilter,Microfilter,1,264,289,289,331
