,Activity,Product,Resource,Check_resource_type,Machine_id,Request moment,Retrieve moment,Start,Finish
0,0,12,Fermenter_1,Fermenter_1,0,3,3,3,96
1,1,9,Harvesting tanks B,Harvesting tanks B,4,51,51,51,107
2,2,9,Harvesting tanks A,Harvesting tanks A,2,51,51,51,112
3,0,9,Fermenter_3,Fermenter_3,0,6,6,6,123
4,1,2,Harvesting tanks A,Harvesting tanks A,3,99,99,99,123
5,1,6,Harvesting tanks A,Harvesting tanks A,0,95,95,95,124
6,1,15,Filters B,Filters B,0,109,109,109,124
7,1,14,Harvesting tanks A,Harvesting tanks A,2,77,112,112,137
8,4,9,Harvesting tanks B,Harvesting tanks B,5,51,51,51,139
9,1,11,Harvesting tanks A,Harvesting tanks A,0,63,124,124,148
10,2,12,Harvesting tanks B,Harvesting tanks B,3,71,71,71,154
11,1,12,Filters A,Filters A,2,117,117,117,154
12,7,9,Microfilter,Microfilter,3,122,122,122,156
13,9,9,Harvesting tanks B,Harvesting tanks B,4,105,107,107,164
14,2,6,Harvesting tanks A,Harvesting tanks A,1,95,95,95,167
15,1,3,Harvesting tanks A,Harvesting tanks A,0,114,148,148,172
16,3,6,Harvesting tanks B,Harvesting tanks B,0,95,95,95,173
17,2,15,Harvesting tanks B,Harvesting tanks B,3,99,154,154,179
18,3,12,Buffer tanks,Buffer tanks,3,117,117,117,188
19,4,12,Microfilter,Microfilter,2,119,119,119,188
20,0,19,Fermenter_4,Fermenter_4,0,36,36,36,194
21,2,11,Harvesting tanks A,Harvesting tanks A,2,63,137,137,195
22,0,6,Fermenter_2,Fermenter_2,0,0,0,0,199
23,1,13,Harvesting tanks A,Harvesting tanks A,0,72,172,172,200
24,6,14,Harvesting tanks B,Harvesting tanks B,0,162,173,173,200
25,3,9,Filters A,Filters A,2,87,154,154,206
26,0,15,Fermenter_1,Fermenter_1,0,12,96,96,208
27,5,2,Harvesting tanks B,Harvesting tanks B,5,99,139,139,209
28,5,6,Harvesting tanks B,Harvesting tanks B,1,95,95,95,210
29,4,6,Filters A,Filters A,0,156,156,156,210
30,2,14,Harvesting tanks A,Harvesting tanks A,3,77,123,123,218
31,9,15,Stabilization tanks,Stabilization tanks,4,128,128,128,225
32,1,19,Harvesting tanks A,Harvesting tanks A,1,108,167,167,227
33,6,6,Buffer tanks,Buffer tanks,0,192,192,192,228
34,2,10,Harvesting tanks B,Harvesting tanks B,3,103,179,179,229
35,3,2,Microfilter,Microfilter,2,123,188,188,232
36,7,11,Filters B,Filters B,0,121,124,124,233
37,5,1,Stabilization tanks,Stabilization tanks,10,144,144,144,237
38,8,6,Harvesting tanks B,Harvesting tanks B,2,134,134,134,239
39,7,6,Filters A,Filters A,1,204,204,204,239
40,1,16,Harvesting tanks A,Harvesting tanks A,0,72,200,200,240
41,2,1,Harvesting tanks B,Harvesting tanks B,1,86,210,210,242
42,9,6,Buffer tanks,Buffer tanks,1,156,156,156,243
43,10,6,Microfilter,Microfilter,0,202,202,202,243
44,8,9,Filters A,Filters A,2,123,206,206,245
45,11,9,Microfilter,Microfilter,3,88,156,156,249
46,5,9,Buffer tanks,Buffer tanks,3,87,188,188,252
47,3,14,Filters A,Filters A,1,172,239,239,254
48,4,2,Filters A,Filters A,0,123,210,210,256
49,5,14,Filters A,Filters A,2,178,245,245,256
50,6,9,Buffer tanks,Buffer tanks,0,123,228,228,261
51,4,15,Microfilter,Microfilter,0,109,243,243,262
52,2,13,Harvesting tanks A,Harvesting tanks A,2,72,195,195,267
53,6,15,Microfilter,Microfilter,3,114,249,249,267
54,12,6,Microfilter,Microfilter,1,158,158,158,270
55,5,10,Stabilization tanks,Stabilization tanks,6,177,177,177,270
56,11,6,Buffer tanks,Buffer tanks,2,189,189,189,270
57,7,2,Microfilter,Microfilter,2,153,232,232,271
58,1,1,Filters A,Filters A,2,102,256,256,272
59,12,9,Stabilization tanks,Stabilization tanks,2,120,120,120,274
60,4,14,Harvesting tanks B,Harvesting tanks B,4,77,164,164,274
61,5,12,Stabilization tanks,Stabilization tanks,1,188,188,188,277
62,5,3,Harvesting tanks B,Harvesting tanks B,5,114,209,209,279
63,8,15,Microfilter,Microfilter,0,119,262,262,279
64,8,2,Stabilization tanks,Stabilization tanks,3,144,144,144,281
65,0,2,Fermenter_3,Fermenter_3,0,9,123,123,282
66,2,16,Harvesting tanks A,Harvesting tanks A,3,72,218,218,286
67,3,15,Buffer tanks,Buffer tanks,2,109,270,270,289
68,1,4,Harvesting tanks A,Harvesting tanks A,1,109,227,227,291
69,12,14,Stabilization tanks,Stabilization tanks,5,197,197,197,292
