,Activity,Product,Resource,Check_resource_type,Machine_id,Request moment,Retrieve moment,Start,Finish
0,1,8,Harvesting tanks A,Harvesting tanks A,2,45,45,45,69
1,1,0,Harvesting tanks A,Harvesting tanks A,0,62,62,62,87
2,2,8,Harvesting tanks A,Harvesting tanks A,3,45,45,45,103
3,1,3,Harvesting tanks A,Harvesting tanks A,2,81,81,81,111
4,0,6,Fermenter_2,Fermenter_2,0,18,18,18,120
5,0,8,Fermenter_3,Fermenter_3,0,3,3,3,153
6,2,0,Harvesting tanks A,Harvesting tanks A,1,62,62,62,157
7,2,3,Harvesting tanks A,Harvesting tanks A,0,81,87,87,157
8,0,0,Fermenter_1,Fermenter_1,0,0,0,0,169
9,3,8,Microfilter,Microfilter,2,134,134,134,171
10,4,0,Harvesting tanks B,Harvesting tanks B,0,62,62,62,172
11,3,0,Filters A,Filters A,0,157,157,157,172
12,6,0,Harvesting tanks B,Harvesting tanks B,1,147,147,147,174
13,5,0,Filters A,Filters A,1,163,163,163,174
14,0,3,Fermenter_4,Fermenter_4,0,9,9,9,176
15,4,6,Harvesting tanks B,Harvesting tanks B,5,89,89,89,176
16,1,1,Harvesting tanks A,Harvesting tanks A,3,150,150,150,178
17,0,40,Fermenter_5,Fermenter_5,0,84,84,84,180
18,7,0,Buffer tanks,Buffer tanks,0,157,157,157,182
19,8,0,Microfilter,Microfilter,0,157,157,157,182
20,4,3,Harvesting tanks B,Harvesting tanks B,3,81,81,81,184
21,3,3,Filters A,Filters A,2,157,157,157,184
22,9,0,Buffer tanks,Buffer tanks,1,163,163,163,185
23,11,0,Microfilter,Microfilter,1,163,163,163,188
24,10,0,Buffer tanks,Buffer tanks,2,170,170,170,188
25,2,40,Harvesting tanks B,Harvesting tanks B,0,165,172,172,193
26,4,8,Buffer tanks,Buffer tanks,3,124,124,124,195
27,1,40,Filters A,Filters A,2,174,184,184,196
28,6,8,Microfilter,Microfilter,3,124,124,124,208
29,8,8,Harvesting tanks B,Harvesting tanks B,2,45,45,45,212
30,7,8,Filters B,Filters B,0,103,103,103,212
31,3,6,Filters A,Filters A,1,135,174,174,215
32,2,1,Harvesting tanks A,Harvesting tanks A,2,150,150,150,222
33,1,19,Harvesting tanks A,Harvesting tanks A,1,153,157,157,238
34,0,1,Fermenter_2,Fermenter_2,0,24,120,120,242
35,6,3,Microfilter,Microfilter,1,158,188,188,249
36,12,3,Harvesting tanks B,Harvesting tanks B,4,146,146,146,251
37,0,19,Fermenter_3,Fermenter_3,0,6,153,153,251
38,11,3,Filters A,Filters A,0,167,172,172,256
39,5,8,Buffer tanks,Buffer tanks,0,134,182,182,256
40,5,3,Buffer tanks,Buffer tanks,3,157,195,195,257
41,8,3,Microfilter,Microfilter,3,168,208,208,269
42,3,19,Harvesting tanks B,Harvesting tanks B,3,234,234,234,271
43,4,1,Harvesting tanks B,Harvesting tanks B,1,216,216,216,272
44,3,1,Filters A,Filters A,2,249,249,249,272
45,0,7,Fermenter_5,Fermenter_5,0,108,180,180,276
