,Activity,Product,Resource,Check_resource_type,Machine_id,Request moment,Retrieve moment,Start,Finish
0,0,25,Fermenter_3,Fermenter_3,0,6,6,6,108
1,0,19,Fermenter_2,Fermenter_2,0,0,0,0,112
2,2,19,Harvesting tanks B,Harvesting tanks B,0,85,85,85,135
3,1,19,Filters A,Filters A,0,94,94,94,135
4,1,25,Buffer tanks,Buffer tanks,2,123,123,123,152
5,2,25,Microfilter,Microfilter,2,125,125,125,152
6,4,25,Harvesting tanks B,Harvesting tanks B,2,77,77,77,156
7,3,25,Filters A,Filters A,1,123,123,123,156
8,3,19,Buffer tanks,Buffer tanks,0,94,94,94,159
9,4,19,Microfilter,Microfilter,0,94,94,94,159
10,5,25,Buffer tanks,Buffer tanks,3,137,137,137,162
11,6,25,Microfilter,Microfilter,3,137,137,137,162
12,9,25,Harvesting tanks B,Harvesting tanks B,3,77,77,77,164
13,8,25,Filters A,Filters A,2,123,123,123,164
14,0,9,Fermenter_1,Fermenter_1,0,3,3,3,165
15,7,25,Buffer tanks,Buffer tanks,2,137,152,152,179
16,10,25,Microfilter,Microfilter,2,137,152,152,179
17,0,36,Fermenter_4,Fermenter_4,0,21,21,21,183
18,2,9,Harvesting tanks B,Harvesting tanks B,1,142,142,142,187
19,1,9,Filters B,Filters B,0,157,157,157,187
20,0,2,Fermenter_5,Fermenter_5,0,114,114,114,210
21,3,9,Buffer tanks,Buffer tanks,1,157,157,157,210
22,4,9,Microfilter,Microfilter,1,157,157,157,210
23,1,36,Harvesting tanks B,Harvesting tanks B,4,160,160,160,210
24,12,25,Microfilter,Microfilter,0,125,159,159,213
25,0,7,Fermenter_2,Fermenter_2,0,12,112,112,214
26,11,25,Buffer tanks,Buffer tanks,0,123,159,159,215
27,2,2,Harvesting tanks B,Harvesting tanks B,1,195,195,195,216
28,0,16,Fermenter_3,Fermenter_3,0,42,108,108,227
29,1,0,Harvesting tanks A,Harvesting tanks A,0,165,165,165,231
30,2,36,Buffer tanks,Buffer tanks,3,175,175,175,233
31,3,36,Microfilter,Microfilter,3,175,175,175,233
32,5,36,Harvesting tanks B,Harvesting tanks B,5,160,160,160,244
33,5,19,Stabilization tanks,Stabilization tanks,0,159,159,159,252
34,0,0,Fermenter_1,Fermenter_1,0,9,165,165,256
35,4,36,Filters B,Filters B,0,175,187,187,256
36,6,36,Buffer tanks,Buffer tanks,2,210,210,210,267
37,7,36,Microfilter,Microfilter,2,210,210,210,267
38,3,16,Harvesting tanks B,Harvesting tanks B,0,208,208,208,268
39,4,16,Harvesting tanks B,Harvesting tanks B,2,208,208,208,268
40,1,16,Filters A,Filters A,0,242,242,242,268
41,2,16,Filters A,Filters A,1,242,242,242,268
42,13,25,Stabilization tanks,Stabilization tanks,2,137,137,137,272
43,1,2,Filters A,Filters A,0,204,268,268,280
44,3,0,Harvesting tanks B,Harvesting tanks B,4,231,231,231,290
45,5,16,Buffer tanks,Buffer tanks,1,242,242,242,296
46,6,16,Buffer tanks,Buffer tanks,0,242,242,242,296
47,7,16,Microfilter,Microfilter,1,242,242,242,296
48,8,16,Microfilter,Microfilter,0,242,242,242,296
49,1,7,Buffer tanks,Buffer tanks,3,240,240,240,298
50,2,7,Microfilter,Microfilter,3,243,243,243,298
51,2,0,Filters A,Filters A,1,260,268,268,298
52,1,1,Harvesting tanks A,Harvesting tanks A,1,258,258,258,299
53,5,9,Stabilization tanks,Stabilization tanks,1,210,210,210,303
54,4,7,Harvesting tanks B,Harvesting tanks B,3,183,183,183,304
55,3,7,Filters A,Filters A,2,240,240,240,304
56,5,2,Stabilization tanks,Stabilization tanks,6,233,233,233,322
57,3,2,Buffer tanks,Buffer tanks,1,204,296,296,325
58,4,2,Microfilter,Microfilter,1,204,296,296,325
59,5,7,Buffer tanks,Buffer tanks,2,273,273,273,328
60,6,7,Microfilter,Microfilter,2,273,273,273,328
61,1,5,Harvesting tanks A,Harvesting tanks A,3,309,309,309,338
62,2,1,Harvesting tanks A,Harvesting tanks A,2,258,258,258,339
63,0,4,Fermenter_3,Fermenter_3,0,54,227,227,346
