,Activity,Product,Resource,Check_resource_type,Machine_id,Request moment,Retrieve moment,Start,Finish
0,1,3,Harvesting tanks A,Harvesting tanks A,0,87,87,87,102
1,1,14,Harvesting tanks B,Harvesting tanks B,3,51,51,51,107
2,2,14,Harvesting tanks A,Harvesting tanks A,2,51,51,51,112
3,0,14,Fermenter_3,Fermenter_3,0,6,6,6,123
4,1,37,Harvesting tanks A,Harvesting tanks A,3,93,93,93,134
5,4,14,Harvesting tanks B,Harvesting tanks B,4,51,51,51,139
6,0,54,Fermenter_1,Fermenter_1,0,0,0,0,144
7,9,14,Harvesting tanks B,Harvesting tanks B,5,105,105,105,162
8,2,3,Harvesting tanks A,Harvesting tanks A,1,87,87,87,172
9,2,54,Harvesting tanks B,Harvesting tanks B,0,116,116,116,177
10,1,54,Filters A,Filters A,0,147,147,147,177
11,2,37,Harvesting tanks A,Harvesting tanks A,0,93,102,102,183
12,0,3,Fermenter_2,Fermenter_2,0,3,3,3,190
13,3,54,Buffer tanks,Buffer tanks,0,147,147,147,192
14,4,54,Microfilter,Microfilter,0,149,149,149,192
15,0,37,Fermenter_4,Fermenter_4,0,18,18,18,198
16,6,3,Harvesting tanks B,Harvesting tanks B,2,87,87,87,204
17,5,3,Harvesting tanks B,Harvesting tanks B,1,162,162,162,204
18,3,3,Filters A,Filters A,1,185,185,185,204
19,4,3,Filters A,Filters A,2,193,193,193,204
20,5,54,Buffer tanks,Buffer tanks,1,163,163,163,206
21,6,54,Microfilter,Microfilter,1,163,163,163,206
22,1,7,Harvesting tanks A,Harvesting tanks A,2,171,171,171,211
23,7,3,Buffer tanks,Buffer tanks,2,185,185,185,213
24,8,3,Microfilter,Microfilter,2,186,186,186,213
25,9,3,Buffer tanks,Buffer tanks,3,193,193,193,216
26,11,3,Microfilter,Microfilter,3,194,194,194,221
27,10,3,Buffer tanks,Buffer tanks,0,202,202,202,221
28,4,37,Harvesting tanks B,Harvesting tanks B,3,93,107,107,224
29,7,14,Microfilter,Microfilter,0,122,192,192,226
30,3,37,Filters A,Filters A,2,187,204,204,227
