,Activity,Product,Resource,Check_resource_type,Machine_id,Request moment,Retrieve moment,Start,Finish
0,1,9,Harvesting tanks B,Harvesting tanks B,0,45,45,45,101
1,2,9,Harvesting tanks A,Harvesting tanks A,0,45,45,45,106
2,0,9,Fermenter_3,Fermenter_3,0,0,0,0,117
3,0,8,Fermenter_2,Fermenter_2,0,15,15,15,117
4,1,3,Harvesting tanks A,Harvesting tanks A,1,93,93,93,117
5,0,7,Fermenter_4,Fermenter_4,0,18,18,18,124
6,1,4,Harvesting tanks A,Harvesting tanks A,2,64,64,64,128
7,1,2,Harvesting tanks A,Harvesting tanks A,0,99,106,106,130
8,4,9,Harvesting tanks B,Harvesting tanks B,1,45,45,45,133
9,3,9,Filters A,Filters A,0,81,81,81,133
10,5,9,Buffer tanks,Buffer tanks,0,81,81,81,145
11,7,9,Microfilter,Microfilter,0,116,116,116,150
12,6,9,Buffer tanks,Buffer tanks,1,117,117,117,150
13,1,11,Harvesting tanks A,Harvesting tanks A,2,66,128,128,152
14,9,9,Harvesting tanks B,Harvesting tanks B,2,99,99,99,156
15,8,9,Filters A,Filters A,1,117,117,117,156
16,2,3,Buffer tanks,Buffer tanks,3,117,117,117,161
17,3,3,Microfilter,Microfilter,2,117,117,117,161
18,5,3,Harvesting tanks B,Harvesting tanks B,3,93,93,93,163
19,4,3,Filters A,Filters A,2,117,117,117,163
20,5,2,Harvesting tanks B,Harvesting tanks B,0,99,101,101,171
21,11,9,Microfilter,Microfilter,1,82,82,82,175
22,10,9,Buffer tanks,Buffer tanks,2,113,113,113,175
23,2,4,Harvesting tanks A,Harvesting tanks A,3,64,64,64,176
24,2,18,Harvesting tanks A,Harvesting tanks A,1,66,117,117,178
25,6,3,Buffer tanks,Buffer tanks,0,147,147,147,186
26,7,3,Microfilter,Microfilter,3,147,147,147,186
27,0,4,Fermenter_1,Fermenter_1,0,6,6,6,187
28,2,11,Harvesting tanks A,Harvesting tanks A,0,66,130,130,188
29,1,16,Harvesting tanks A,Harvesting tanks A,2,54,152,152,192
30,4,4,Harvesting tanks B,Harvesting tanks B,4,64,64,64,200
31,3,4,Filters A,Filters A,0,182,182,182,200
32,6,4,Harvesting tanks B,Harvesting tanks B,5,163,163,163,204
33,5,4,Filters A,Filters A,1,186,186,186,204
34,1,13,Harvesting tanks A,Harvesting tanks A,1,60,178,178,206
35,4,2,Filters A,Filters A,2,123,163,163,209
36,2,12,Harvesting tanks B,Harvesting tanks B,1,80,133,133,216
37,7,4,Buffer tanks,Buffer tanks,1,182,182,182,216
38,8,4,Microfilter,Microfilter,0,183,183,183,216
39,2,2,Buffer tanks,Buffer tanks,2,123,175,175,219
40,3,2,Microfilter,Microfilter,1,123,175,175,219
41,9,4,Buffer tanks,Buffer tanks,3,186,186,186,220
42,10,4,Microfilter,Microfilter,2,187,187,187,220
43,2,7,Harvesting tanks B,Harvesting tanks B,3,104,163,163,222
44,6,2,Buffer tanks,Buffer tanks,0,153,186,186,225
45,7,2,Microfilter,Microfilter,3,153,186,186,225
46,7,11,Filters B,Filters B,0,124,124,124,233
47,1,6,Harvesting tanks A,Harvesting tanks A,1,146,206,206,235
48,1,12,Filters A,Filters A,0,126,200,200,237
49,1,7,Filters A,Filters A,2,135,209,209,237
50,0,16,Fermenter_2,Fermenter_2,0,27,117,117,239
51,6,7,Harvesting tanks B,Harvesting tanks B,0,104,171,171,239
52,2,16,Harvesting tanks A,Harvesting tanks A,3,54,176,176,244
53,1,5,Filters B,Filters B,0,130,233,233,248
54,1,19,Harvesting tanks A,Harvesting tanks A,2,117,192,192,252
55,1,18,Harvesting tanks B,Harvesting tanks B,4,66,200,200,256
56,2,13,Harvesting tanks A,Harvesting tanks A,0,60,188,188,260
57,7,7,Microfilter,Microfilter,3,136,225,225,261
58,3,7,Buffer tanks,Buffer tanks,0,135,225,225,262
