,Activity,Product,Resource,Check_resource_type,Machine_id,Request moment,Retrieve moment,Start,Finish
0,0,73,Fermenter_2,Fermenter_2,0,3,3,3,64
1,0,18,Fermenter_1,Fermenter_1,0,0,0,0,76
2,2,73,Harvesting tanks B,Harvesting tanks B,1,51,51,51,102
3,1,73,Filters A,Filters A,1,85,85,85,102
4,3,73,Buffer tanks,Buffer tanks,1,85,85,85,107
5,4,73,Microfilter,Microfilter,1,87,87,87,107
6,5,73,Buffer tanks,Buffer tanks,2,95,95,95,114
7,6,73,Microfilter,Microfilter,2,95,95,95,114
8,0,51,Fermenter_4,Fermenter_4,0,9,9,9,115
9,0,192,Fermenter_3,Fermenter_3,0,15,15,15,121
10,2,18,Harvesting tanks B,Harvesting tanks B,0,52,52,52,121
11,1,18,Filters A,Filters A,0,92,92,92,121
12,1,135,Harvesting tanks A,Harvesting tanks A,0,76,76,76,142
13,3,18,Buffer tanks,Buffer tanks,0,92,92,92,145
14,4,18,Microfilter,Microfilter,0,95,95,95,145
15,2,51,Harvesting tanks B,Harvesting tanks B,2,95,95,95,154
16,1,51,Filters A,Filters A,2,126,126,126,154
17,2,192,Harvesting tanks B,Harvesting tanks B,4,101,101,101,160
18,1,192,Filters A,Filters A,0,132,132,132,160
19,6,51,Harvesting tanks B,Harvesting tanks B,3,95,95,95,163
20,3,51,Buffer tanks,Buffer tanks,3,126,126,126,163
21,4,51,Buffer tanks,Buffer tanks,1,126,126,126,163
22,5,51,Filters A,Filters A,1,126,126,126,163
23,7,51,Microfilter,Microfilter,3,127,127,127,163
24,8,51,Microfilter,Microfilter,1,127,127,127,163
25,0,135,Fermenter_1,Fermenter_1,0,6,76,76,167
26,6,192,Harvesting tanks B,Harvesting tanks B,5,101,101,101,169
27,9,51,Buffer tanks,Buffer tanks,2,138,138,138,172
28,10,51,Microfilter,Microfilter,2,138,138,138,172
29,0,3,Fermenter_2,Fermenter_2,0,12,64,64,176
30,11,51,Buffer tanks,Buffer tanks,0,138,145,145,181
31,12,51,Microfilter,Microfilter,0,138,145,145,181
32,2,228,Harvesting tanks B,Harvesting tanks B,1,156,156,156,182
33,1,228,Filters B,Filters B,0,171,171,171,182
34,0,228,Fermenter_5,Fermenter_5,0,24,24,24,186
35,5,192,Filters A,Filters A,2,132,154,154,191
36,2,3,Harvesting tanks B,Harvesting tanks B,0,149,149,149,199
37,7,192,Microfilter,Microfilter,3,133,163,163,199
38,8,192,Microfilter,Microfilter,1,133,163,163,199
39,3,192,Buffer tanks,Buffer tanks,3,132,163,163,200
40,4,192,Buffer tanks,Buffer tanks,1,132,163,163,200
41,1,3,Filters A,Filters A,0,158,160,160,201
42,2,135,Filters A,Filters A,1,171,171,171,201
43,7,73,Stabilization tanks,Stabilization tanks,1,107,107,107,203
44,9,192,Buffer tanks,Buffer tanks,2,144,172,172,206
45,10,192,Microfilter,Microfilter,2,144,172,172,206
46,3,135,Harvesting tanks B,Harvesting tanks B,2,142,154,154,213
47,11,192,Buffer tanks,Buffer tanks,0,144,181,181,217
48,12,192,Microfilter,Microfilter,0,144,181,181,217
49,0,125,Fermenter_3,Fermenter_3,0,21,121,121,227
50,5,18,Stabilization tanks,Stabilization tanks,0,145,145,145,238
51,4,228,Microfilter,Microfilter,3,171,199,199,241
52,3,228,Buffer tanks,Buffer tanks,3,171,200,200,242
53,0,233,Fermenter_1,Fermenter_1,0,39,167,167,243
54,0,230,Fermenter_2,Fermenter_2,0,18,176,176,258
55,5,135,Microfilter,Microfilter,2,173,206,206,259
56,4,135,Buffer tanks,Buffer tanks,2,171,206,206,261
57,13,51,Stabilization tanks,Stabilization tanks,2,138,138,138,263
58,4,3,Microfilter,Microfilter,1,158,199,199,264
59,3,3,Buffer tanks,Buffer tanks,1,158,200,200,265
60,2,125,Harvesting tanks B,Harvesting tanks B,3,207,207,207,266
61,1,125,Filters A,Filters A,0,238,238,238,266
62,2,230,Harvesting tanks B,Harvesting tanks B,0,235,235,235,267
63,13,192,Stabilization tanks,Stabilization tanks,3,144,144,144,269
64,0,75,Fermenter_4,Fermenter_4,0,33,115,115,273
65,6,125,Harvesting tanks B,Harvesting tanks B,5,207,207,207,275
66,5,125,Filters A,Filters A,1,238,238,238,275
67,0,183,Fermenter_5,Fermenter_5,0,27,186,186,282
68,2,233,Harvesting tanks B,Harvesting tanks B,1,219,219,219,288
69,2,183,Harvesting tanks B,Harvesting tanks B,2,267,267,267,288
70,1,230,Filters A,Filters A,1,251,275,275,291
71,1,75,Buffer tanks,Buffer tanks,0,266,266,266,294
72,2,75,Microfilter,Microfilter,0,266,266,266,294
73,7,125,Microfilter,Microfilter,2,239,259,259,295
74,1,233,Filters A,Filters A,0,259,266,266,295
75,4,75,Harvesting tanks B,Harvesting tanks B,4,251,251,251,296
76,3,75,Filters A,Filters A,2,266,266,266,296
77,3,125,Buffer tanks,Buffer tanks,2,238,261,261,298
78,8,125,Microfilter,Microfilter,1,239,264,264,300
79,5,228,Stabilization tanks,Stabilization tanks,4,213,213,213,302
80,4,125,Buffer tanks,Buffer tanks,1,238,265,265,302
81,1,183,Filters A,Filters A,1,276,291,291,303
82,5,75,Buffer tanks,Buffer tanks,3,281,281,281,309
83,6,75,Microfilter,Microfilter,3,281,281,281,309
84,6,135,Stabilization tanks,Stabilization tanks,6,226,226,226,315
85,5,3,Stabilization tanks,Stabilization tanks,5,223,223,223,316
86,9,125,Buffer tanks,Buffer tanks,0,250,294,294,328
87,10,125,Microfilter,Microfilter,0,250,294,294,328
88,12,125,Microfilter,Microfilter,2,250,295,295,331
89,11,125,Buffer tanks,Buffer tanks,2,250,298,298,334
90,4,233,Microfilter,Microfilter,1,262,300,300,350
91,3,230,Buffer tanks,Buffer tanks,3,251,309,309,351
92,4,230,Microfilter,Microfilter,3,251,309,309,351
93,1,12,Harvesting tanks A,Harvesting tanks A,1,299,299,299,353
